mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	1	5	6/8	3/4	0	2	firstMeasure					2
2	2	5	6/8	3/4	0	2						3
3	3	5	6/8	3/4	0	3						4
4	4	5	6/8	3/4	0	3						5
5	5	5	6/8	3/4	0	3						6
6	6	5	6/8	3/4	0	2						7
7	7	5	6/8	3/4	0	3						8
8	8	5	6/8	3/4	0	2						9
9	9	5	6/8	3/4	0	3						10
10	10	5	6/8	3/4	0	2						11
11	11	5	6/8	3/4	0	4						12
12	12	5	6/8	3/4	0	2						13
13	13	5	6/8	3/4	0	3						14
14	14	5	6/8	3/4	0	2						15
15	15	5	6/8	3/4	0	3						16
16	16	5	6/8	3/4	0	2						17
17	17	5	6/8	3/4	0	3						18
18	18	5	6/8	3/4	0	3						19
19	19	5	6/8	3/4	0	3						20
20	20	5	6/8	3/4	0	3						21
21	21	5	6/8	3/4	0	3						22
22	22	5	6/8	3/4	0	2						23
23	23	5	6/8	3/4	0	3						24
24	24	5	6/8	3/4	0	3						25
25	25	5	6/8	3/4	0	3						26
26	26	5	6/8	3/4	0	3						27
27	27	5	6/8	3/4	0	2						28
28	28	5	6/8	3/4	0	3						29
29	29	5	6/8	3/4	0	4						30
30	30	5	6/8	3/4	0	3						31
31	31	5	6/8	3/4	0	2						32
32	32	5	6/8	3/4	0	4						33
33	33	5	6/8	3/4	0	4						34
34	34	5	6/8	3/4	0	4						35
35	35	5	6/8	3/4	0	2						36
36	36	5	6/8	3/4	0	4						37
37	37	5	6/8	3/4	0	4						38
38	38	5	6/8	3/4	0	4						39
39	39	5	6/8	3/4	0	4						40
40	40	5	6/8	3/4	0	4						41
41	41	5	6/8	3/4	0	4						42
42	42	5	6/8	3/4	0	3						43
43	43	5	6/8	3/4	0	3						44
44	44	5	6/8	3/4	0	3						45
45	45	5	6/8	3/4	0	3			double			46
46	46	5	2/4	1/2	0	3						47
47	47	5	2/4	1/2	0	3						48
48	48	5	2/4	1/2	0	3						49
49	49	5	2/4	1/2	0	3						50
50	50	5	2/4	1/2	0	3						51
51	51	5	2/4	1/2	0	3						52
52	52	5	2/4	1/2	0	3						53
53	53	5	2/4	1/2	0	3						54
54	54	5	2/4	1/2	0	3						55
55	55	5	2/4	1/2	0	3						56
56	56	5	2/4	1/2	0	3						57
57	57	5	2/4	1/2	0	3						58
58	58	5	2/4	1/2	0	3						59
59	59	5	2/4	1/2	0	3						60
60	60	5	2/4	1/2	0	3						61
61	61	5	2/4	1/2	0	3						62
62	62	5	2/4	1/2	0	3						63
63	63	5	2/4	1/2	0	3						64
64	64	5	2/4	1/2	0	3						65
65	65	5	2/4	1/2	0	2						66
66	66	5	2/4	1/2	0	3						67
67	67	5	2/4	1/2	0	3						68
68	68	5	2/4	1/2	0	3						69
69	69	5	2/4	17/16	0	2						70
70	70	5	2/4	1/2	0	3						71
71	71	5	2/4	1/2	0	3						72
72	72	5	2/4	1/2	0	3						73
73	73	5	2/4	1/2	0	3						74
74	74	5	2/4	1/2	0	3						75
75	75	5	2/4	1/2	0	3						76
76	76	5	2/4	1/2	0	3						77
77	77	5	2/4	1/2	0	3						78
78	78	5	2/4	1/2	0	3						79
79	79	5	2/4	1/2	0	3						80
80	80	5	2/4	1/2	0	3						81
81	81	5	2/4	1/2	0	2						82
82	82	5	2/4	1/2	0	3						83
83	83	5	2/4	1/2	0	3						84
84	84	5	2/4	1/2	0	3						85
85	85	5	2/4	17/16	0	3						86
86	86	5	2/4	1/2	0	3						87
87	87	5	2/4	1/2	0	3						88
88	88	5	2/4	1/2	0	3						89
89	89	5	2/4	1	0	2						90
90	90	5	2/4	1/2	0	3						91
91	91	5	2/4	1/2	0	3						92
92	92	5	2/4	1/2	0	3						93
93	93	5	2/4	1	0	2						94
94	94	5	2/4	1/2	0	3						95
95	95	5	2/4	1/2	0	3						96
96	96	5	2/4	1/2	0	3						97
97	97	5	2/4	1/2	0	3						98
98	98	5	2/4	1/2	0	3						99
99	99	5	2/4	1/2	0	3						100
100	100	5	2/4	1/2	0	3						101
101	101	5	2/4	1/2	0	3						102
102	102	5	2/4	1/2	0	3						103
103	103	5	2/4	1/2	0	3						104
104	104	5	2/4	1/2	0	3						105
105	105	5	2/4	1/2	0	3						106
106	106	5	2/4	1/2	0	2						107
107	107	5	2/4	1/2	0	2						108
108	108	5	2/4	1/2	0	3						109
109	109	5	2/4	1/2	0	3						110
110	110	5	2/4	1/2	0	3						111
111	111	5	2/4	1/2	0	3						112
112	112	5	2/4	1/2	0	3						113
113	113	5	2/4	1/2	0	3						114
114	114	5	2/4	1/2	0	3						115
115	115	5	2/4	1/2	0	3						116
116	116	5	2/4	1/2	0	3						117
117	117	5	2/4	1/2	0	3						118
118	118	5	2/4	1/2	0	3						119
119	119	5	2/4	1/2	0	3						120
120	120	5	2/4	1/2	0	3						121
121	121	5	2/4	1/2	0	3						122
122	122	5	2/4	1/2	0	3						123
123	123	5	2/4	1/2	0	3						124
124	124	5	2/4	1/2	0	3						125
125	125	5	2/4	1/2	0	3						126
126	126	5	2/4	1/2	0	3						127
127	127	5	2/4	1/2	0	3						128
128	128	5	2/4	1/2	0	3						129
129	129	5	2/4	1/2	0	3						130
130	130	5	2/4	1/2	0	3						131
131	131	5	2/4	1/2	0	2						132
132	132	5	2/4	1/2	0	3						133
133	133	5	2/4	1/2	0	3						134
134	134	5	2/4	1/2	0	3						135
135	135	5	2/4	1/2	0	3						136
136	136	5	2/4	1/2	0	3						137
137	137	5	2/4	1/2	0	3						138
138	138	5	2/4	1/2	0	3						139
139	139	5	2/4	1/2	0	3						140
140	140	5	2/4	1/2	0	3						141
141	141	5	2/4	1/2	0	3						142
142	142	5	2/4	1/2	0	3						143
143	143	5	2/4	1/2	0	3						144
144	144	5	2/4	1/2	0	3						145
145	145	5	2/4	1/2	0	3						146
146	146	5	2/4	1/2	0	3						147
147	147	5	2/4	1/2	0	3						148
148	148	5	2/4	1/2	0	3						149
149	149	5	2/4	1/2	0	3						150
150	150	5	2/4	1/2	0	3						151
151	151	5	2/4	1/2	0	3						152
152	152	5	2/4	1/2	0	3						153
153	153	5	2/4	1/2	0	3						154
154	154	5	2/4	3/2	0	2						155
155	155	5	2/4	1/2	0	2						156
156	156	5	2/4	1/2	0	2						157
157	157	5	2/4	2	0	2						158
158	158	5	2/4	1/2	0	2						159
159	159	5	2/4	1/2	0	2						160
160	160	5	2/4	1/2	0	2						161
161	161	5	2/4	5/2	0	2						162
162	162	5	2/4	1/2	0	2						163
163	163	5	2/4	1/2	0	3						164
164	164	5	2/4	1/2	0	2						165
165	165	5	2/4	1/2	0	3						166
166	166	5	2/4	1/2	0	2						167
167	167	5	2/4	1/2	0	3						168
168	168	5	2/4	1/2	0	2						169
169	169	5	2/4	1/2	0	3						170
170	170	5	2/4	1/2	0	2						171
171	171	5	2/4	1/2	0	3						172
172	172	5	2/4	1/2	0	2						173
173	173	5	2/4	1/2	0	3						174
174	174	5	2/4	1/2	0	2						175
175	175	5	2/4	1/2	0	3						176
176	176	5	2/4	1/2	0	3						177
177	177	5	2/4	1/2	0	3						178
178	178	5	2/4	1/2	0	2						179
179	179	5	2/4	1/2	0	2						180
180	180	5	2/4	1/2	0	2						181
181	181	5	2/4	1/2	0	3						182
182	182	5	2/4	1/2	0	2						183
183	183	5	2/4	1/2	0	2						184
184	184	5	2/4	1/2	0	2						185
185	185	5	2/4	1/2	0	2						186
186	186	5	2/4	1/2	0	2						187
187	187	5	2/4	1/2	0	2						188
188	188	5	2/4	1/2	0	2	lastMeasure		end			-1
