mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-6	2/4	1/2	0						firstMeasure	2
2	2	-6	2/4	1/2	0							3
3	3	-6	2/4	1/2	0							4
4	4	-6	2/4	1/2	0							5
5	5	-6	2/4	1/2	0							6
6	6	-6	2/4	1/2	0							7
7	7	-6	2/4	1/2	0							8
8	8	-6	2/4	1/2	0							9
9	9	-6	2/4	1/2	0							10
10	10	-6	2/4	1/2	0							11
11	11	-6	2/4	1/2	0							12
12	12	-6	2/4	1/2	0							13
13	13	-6	2/4	1/2	0							14
14	14	-6	2/4	1/2	0							15
15	15	-6	2/4	1/2	0							16
16	16	-6	2/4	1/2	0							17
17	17	-6	2/4	1/2	0							18
18	18	-6	2/4	1/2	0							19
19	19	-6	2/4	1/2	0							20
20	20	-6	2/4	1/2	0							21
21	21	-6	2/4	1/2	0							22
22	22	-6	2/4	1/2	0							23
23	23	-6	2/4	1/2	0							24
24	24	-6	2/4	1/2	0							25
25	25	-6	2/4	1/2	0							26
26	26	-6	2/4	1/2	0							27
27	27	-6	2/4	1/2	0							28
28	28	-6	2/4	1/2	0							29
29	29	-6	2/4	1/2	0							30
30	30	-6	2/4	1/2	0							31
31	31	-6	2/4	1/2	0							32
32	32	-6	2/4	1/2	0							33
33	33	-6	2/4	1/2	0							34
34	34	-6	2/4	1/2	0							35
35	35	-6	2/4	1/2	0							36
36	36	-6	2/4	1/2	0							37
37	37	-6	2/4	1/2	0							38
38	38	-6	2/4	1/2	0							39
39	39	-6	2/4	1/2	0							40
40	40	-6	2/4	1/2	0							41
41	41	-6	2/4	1/2	0							42
42	42	-6	2/4	1/2	0							43
43	43	-6	2/4	1/2	0							44
44	44	-6	2/4	1/2	0							45
45	45	-6	2/4	1/2	0							46
46	46	-6	2/4	1/2	0							47
47	47	-6	2/4	1/2	0							48
48	48	-6	2/4	1/2	0							49
49	49	-6	2/4	1/2	0							50
50	50	-6	2/4	1/2	0							51
51	51	-6	2/4	1/2	0							52
52	52	-6	2/4	1/2	0							53
53	53	-6	2/4	1/2	0							54
54	54	-6	2/4	1/2	0							55
55	55	-6	2/4	1/2	0							56
56	56	-6	2/4	1/2	0							57
57	57	-6	2/4	1/2	0							58
58	58	-6	2/4	1/2	0							59
59	59	-6	2/4	1/2	0							60
60	60	-6	2/4	1/2	0				end		lastMeasure	-1
