mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.0	0	0	4/4	2	1	0	acciaccatura		1/8	1		3	57	A3	3	0
1	1	0	0	2.0	0	0	4/4	2	1	1/2			1/2	1		3	57	A3	3	1
1	1	0	0	2.0	0	0	4/4	2	1	1/2			1/2	1		3	69	A4	4	1
1	1	2	2	2.0	1/2	1/2	4/4	2	1	1/2			1/2	1		4	52	E3	3	2
1	1	2	2	2.0	1/2	1/2	4/4	2	1	1/2			1/2	1		4	64	E4	4	2
2	2	4	4	0.0	0	0	4/4	2	1	0	acciaccatura		1/8	1		3	45	A2	2	3
2	2	4	4	1.0	0	0	4/4	2	1	1/4			1/4	1		3	45	A2	2	4
2	2	4	4	1.0	0	0	4/4	2	1	1/4			1/4	1		3	57	A3	3	4
2	2	5	5	0.0	1/4	1/4	4/4	2	1	0	acciaccatura		1/8	1		3	33	A1	1	5
2	2	5	5	1.0	1/4	1/4	4/4	2	1	1/4			1/4	1		-3	39	Eb2	2	6
2	2	5	5	1.0	1/4	1/4	4/4	2	1	1/4			1/4	1		3	45	A2	2	6
2	2	5	5	1.0	1/4	1/4	4/4	2	1	1/4			1/4	1		4	52	E3	3	6
2	2	6	6	0.0	1/2	1/2	4/4	2	1	0	acciaccatura		1/8	1		-3	27	Eb1	1	7
2	2	6	6	1.0	1/2	1/2	4/4	2	1	1/4			1/4	1		3	33	A1	1	8
2	2	6	6	1.0	1/2	1/2	4/4	2	1	1/4			1/4	1		-3	39	Eb2	2	8
2	2	6	6	1.0	1/2	1/2	4/4	2	1	1/4			1/4	1		3	45	A2	2	8
2	2	7	7	1.0	3/4	3/4	4/4	2	1	1/4			1/4	1		-3	27	Eb1	1	9
2	2	7	7	1.0	3/4	3/4	4/4	2	1	1/4			1/4	1		-3	39	Eb2	2	9
3	3	8	8	4.0	0	0	4/4	2	2	1			1	1	1	4	28	E1	1	11
3	3	8	8	4.0	0	0	4/4	2	2	1			1	1	1	4	40	E2	2	11
3	3	10	10	2.0	1/2	1/2	4/4	2	1	1/2			1/2	1		3	45	A2	2	10
3	3	10	10	2.0	1/2	1/2	4/4	2	1	1/2			1/2	1		0	48	C3	3	10
3	3	10	10	2.0	1/2	1/2	4/4	2	1	1/2			1/2	1		6	54	F#3	3	10
4	4	12	12	4.0	0	0	4/4	2	2	1			1	1	0	4	28	E1	1	14
4	4	12	12	4.0	0	0	4/4	2	2	1			1	1	0	4	40	E2	2	14
4	4	12	12	2.0	0	0	4/4	2	1	1/2			1/2	1		-2	46	Bb2	2	12
4	4	12	12	2.0	0	0	4/4	2	1	1/2			1/2	1		-5	49	Db3	3	12
4	4	12	12	2.0	0	0	4/4	2	1	1/2			1/2	1		1	55	G3	3	12
4	4	14	14	2.0	1/2	1/2	4/4	2	1	1/2			1/2	1		-7	47	Cb3	3	13
4	4	14	14	2.0	1/2	1/2	4/4	2	1	1/2			1/2	1		-3	51	Eb3	3	13
4	4	14	14	2.0	1/2	1/2	4/4	2	1	1/2			1/2	1		-4	56	Ab3	3	13
5	5	16	16	1.0	0	0	4/4	2	1	1/4			1/4	1	-1	4	28	E1	1	19
5	5	16	16	1.0	0	0	4/4	2	1	1/4			1/4	1	-1	4	40	E2	2	19
5	5	16	16	3.75	0	0	4/4	1	1	15/16			1/2	15/8		-3	51	Eb3	3	15
5	5	16	16	2.0	0	0	4/4	1	2	1/2			1/2	1		-4	56	Ab3	3	17
5	5	16	16	2.0	0	0	4/4	1	2	1/2			1/2	1		-2	58	Bb3	3	17
5	5	16	16	3.75	0	0	4/4	1	1	15/16			1/2	15/8		-3	63	Eb4	4	15
5	5	17	17	0.75	1/4	1/4	4/4	2	1	3/16			1/8	3/2		-8	28	Fb1	1	20
5	5	17	17	0.75	1/4	1/4	4/4	2	1	3/16			1/8	3/2		-8	40	Fb2	2	20
5	5	71/4	71/4	0.25	7/16	7/16	4/4	2	1	1/16			1/16	1		-6	30	Gb1	1	21
5	5	71/4	71/4	0.25	7/16	7/16	4/4	2	1	1/16			1/16	1		-6	42	Gb2	2	21
5	5	18	18	1.0	1/2	1/2	4/4	2	1	1/4			1/4	1		-8	28	Fb1	1	22
5	5	18	18	1.0	1/2	1/2	4/4	2	1	1/4			1/4	1		-8	40	Fb2	2	22
5	5	18	18	2.0	1/2	1/2	4/4	1	2	1/2			1/2	1		1	55	G3	3	18
5	5	18	18	2.0	1/2	1/2	4/4	1	2	1/2			1/2	1		-2	58	Bb3	3	18
5	5	19	19	1.0	3/4	3/4	4/4	2	1	1/4			1/4	1		-3	27	Eb1	1	23
5	5	19	19	1.0	3/4	3/4	4/4	2	1	1/4			1/4	1		-3	39	Eb2	2	23
5	5	79/4	79/4	0.25	15/16	15/16	4/4	1	1	1/16			1/16	1		-3	51	Eb3	3	16
5	5	79/4	79/4	0.25	15/16	15/16	4/4	1	1	1/16			1/16	1		-3	63	Eb4	4	16
6	6	20	20	4.0	0	0	4/4	2	1	1			1	1		-4	32	Ab1	1	25
6	6	20	20	4.0	0	0	4/4	2	1	1			1	1		-3	39	Eb2	2	25
6	6	20	20	4.0	0	0	4/4	2	1	1			1	1		-4	44	Ab2	2	25
6	6	20	20	4.0	0	0	4/4	1	1	1			1	1		-3	51	Eb3	3	24
6	6	20	20	4.0	0	0	4/4	1	1	1			1	1		-4	56	Ab3	3	24
6	6	20	20	4.0	0	0	4/4	1	1	1			1	1		0	60	C4	4	24
6	6	20	20	4.0	0	0	4/4	1	1	1			1	1		-3	63	Eb4	4	24
7	7	24	24	0.0	0	0	4/4	2	1	0	acciaccatura		1/8	1		6	54	F#3	3	26
7	7	24	24	0.0	0	0	4/4	2	1	0	acciaccatura		1/8	1		0	60	C4	4	27
7	7	24	24	2.0	0	0	4/4	2	1	1/2			1/2	1		0	60	C4	4	28
7	7	24	24	2.0	0	0	4/4	2	1	1/2			1/2	1		6	66	F#4	4	28
7	7	24	24	2.0	0	0	4/4	2	1	1/2			1/2	1		0	72	C5	5	28
7	7	24	24	2.0	0	0	4/4	2	1	1/2			1/2	1		0	72	C5	5	28
7	7	26	26	2.0	1/2	1/2	4/4	2	1	1/2			1/2	1		6	54	F#3	3	29
7	7	26	26	2.0	1/2	1/2	4/4	2	1	1/2			1/2	1		6	66	F#4	4	29
8	8	28	28	0.0	0	0	4/4	2	1	0	acciaccatura		1/8	1		6	42	F#2	2	30
8	8	28	28	0.0	0	0	4/4	2	1	0	acciaccatura		1/8	1		0	48	C3	3	31
8	8	28	28	0.5	0	0	4/4	2	1	1/8			1/8	1		0	48	C3	3	32
8	8	28	28	0.5	0	0	4/4	2	1	1/8			1/8	1		6	54	F#3	3	32
8	8	28	28	0.5	0	0	4/4	2	1	1/8			1/8	1		0	60	C4	4	32
8	8	28	28	0.5	0	0	4/4	2	1	1/8			1/8	1		0	60	C4	4	32
8	8	29	29	0.0	1/4	1/4	4/4	2	1	0	acciaccatura		1/8	1		0	36	C2	2	33
8	8	29	29	1.0	1/4	1/4	4/4	2	1	1/4			1/4	1		6	42	F#2	2	34
8	8	29	29	1.0	1/4	1/4	4/4	2	1	1/4			1/4	1		0	48	C3	3	34
8	8	29	29	1.0	1/4	1/4	4/4	2	1	1/4			1/4	1		6	54	F#3	3	34
8	8	30	30	0.0	1/2	1/2	4/4	2	1	0	acciaccatura		1/8	1		6	30	F#1	1	35
8	8	30	30	1.0	1/2	1/2	4/4	2	1	1/4			1/4	1		0	36	C2	2	36
8	8	30	30	1.0	1/2	1/2	4/4	2	1	1/4			1/4	1		6	42	F#2	2	36
8	8	30	30	1.0	1/2	1/2	4/4	2	1	1/4			1/4	1		0	48	C3	3	36
8	8	31	31	1.0	3/4	3/4	4/4	2	1	1/4			1/4	1	1	6	30	F#1	1	37
8	8	31	31	1.0	3/4	3/4	4/4	2	1	1/4			1/4	1	1	6	42	F#2	2	37
9	9	32	32	4.0	0	0	4/4	2	2	1			1	1	0	6	30	F#1	1	39
9	9	32	32	4.0	0	0	4/4	2	2	1			1	1	0	6	42	F#2	2	39
9	9	34	34	2.0	1/2	1/2	4/4	2	1	1/2			1/2	1		12	48	B#2	2	38
9	9	34	34	2.0	1/2	1/2	4/4	2	1	1/2			1/2	1		9	51	D#3	3	38
9	9	34	34	2.0	1/2	1/2	4/4	2	1	1/2			1/2	1		3	57	A3	3	38
10	10	36	36	4.0	0	0	4/4	2	2	1			1	1	0	6	30	F#1	1	42
10	10	36	36	4.0	0	0	4/4	2	2	1			1	1	0	6	42	F#2	2	42
10	10	36	36	2.0	0	0	4/4	2	1	1/2			1/2	1		7	49	C#3	3	40
10	10	36	36	2.0	0	0	4/4	2	1	1/2			1/2	1		4	52	E3	3	40
10	10	36	36	2.0	0	0	4/4	2	1	1/2			1/2	1		10	58	A#3	3	40
10	10	38	38	2.0	1/2	1/2	4/4	2	1	1/2			1/2	1		2	50	D3	3	41
10	10	38	38	2.0	1/2	1/2	4/4	2	1	1/2			1/2	1		6	54	F#3	3	41
10	10	38	38	2.0	1/2	1/2	4/4	2	1	1/2			1/2	1		5	59	B3	3	41
11	11	40	40	1.0	0	0	4/4	2	1	1/4			1/4	1	-1	6	30	F#1	1	47
11	11	40	40	1.0	0	0	4/4	2	1	1/4			1/4	1	-1	6	42	F#2	2	47
11	11	40	40	3.75	0	0	4/4	1	1	15/16			1/2	15/8		6	54	F#3	3	43
11	11	40	40	2.0	0	0	4/4	1	2	1/2			1/2	1		-2	58	Bb3	3	45
11	11	40	40	2.0	0	0	4/4	1	2	1/2			1/2	1		7	61	C#4	4	45
11	11	40	40	3.75	0	0	4/4	1	1	15/16			1/2	15/8		6	66	F#4	4	43
11	11	41	41	0.75	1/4	1/4	4/4	2	1	3/16			1/8	3/2		1	31	G1	1	48
11	11	41	41	0.75	1/4	1/4	4/4	2	1	3/16			1/8	3/2		1	43	G2	2	48
11	11	167/4	167/4	0.25	7/16	7/16	4/4	2	1	1/16			1/16	1		3	33	A1	1	49
11	11	167/4	167/4	0.25	7/16	7/16	4/4	2	1	1/16			1/16	1		3	45	A2	2	49
11	11	42	42	1.0	1/2	1/2	4/4	2	1	1/4			1/4	1		1	31	G1	1	50
11	11	42	42	1.0	1/2	1/2	4/4	2	1	1/4			1/4	1		1	43	G2	2	50
11	11	42	42	2.0	1/2	1/2	4/4	1	2	1/2			1/2	1		10	58	A#3	3	46
11	11	42	42	2.0	1/2	1/2	4/4	1	2	1/2			1/2	1		0	60	C4	4	46
11	11	43	43	1.0	3/4	3/4	4/4	2	1	1/4			1/4	1		6	30	F#1	1	51
11	11	43	43	1.0	3/4	3/4	4/4	2	1	1/4			1/4	1		6	42	F#2	2	51
11	11	175/4	175/4	0.25	15/16	15/16	4/4	1	1	1/16			1/16	1		6	54	F#3	3	44
11	11	175/4	175/4	0.25	15/16	15/16	4/4	1	1	1/16			1/16	1		6	66	F#4	4	44
12	12	44	44	4.0	0	0	4/4	2	1	1			1	1		5	35	B1	1	53
12	12	44	44	4.0	0	0	4/4	2	1	1			1	1		6	42	F#2	2	53
12	12	44	44	4.0	0	0	4/4	2	1	1			1	1		5	47	B2	2	53
12	12	44	44	4.0	0	0	4/4	1	1	1			1	1		6	54	F#3	3	52
12	12	44	44	4.0	0	0	4/4	1	1	1			1	1		5	59	B3	3	52
12	12	44	44	4.0	0	0	4/4	1	1	1			1	1		9	63	D#4	4	52
12	12	44	44	4.0	0	0	4/4	1	1	1			1	1		6	66	F#4	4	52
13	13	48	48	0.0	0	0	4/4	1	1	0	acciaccatura		1/8	1		3	69	A4	4	54
13	13	48	48	0.0	0	0	4/4	1	1	0	acciaccatura		1/8	1		-3	75	Eb5	5	55
13	13	48	48	0.0	0	0	4/4	2	1	0	acciaccatura		1/8	1		-3	63	Eb4	4	58
13	13	48	48	2.0	0	0	4/4	2	1	1/2			1/2	1		-3	63	Eb4	4	59
13	13	48	48	0.5	0	0	4/4	1	1	1/8			1/8	1		-3	75	Eb5	5	56
13	13	48	48	0.5	0	0	4/4	1	1	1/8			1/8	1		3	81	A5	5	56
13	13	48	48	0.5	0	0	4/4	1	1	1/8			1/8	1		-3	87	Eb6	6	56
13	13	48	48	0.5	0	0	4/4	1	1	1/8			1/8	1		-3	87	Eb6	6	56
13	13	50	50	0.0	1/2	1/2	4/4	2	1	0	acciaccatura		1/8	1		3	57	A3	3	60
13	13	50	50	2.0	1/2	1/2	4/4	2	1	1/2			1/2	1		3	57	A3	3	61
13	13	50	50	2.0	1/2	1/2	4/4	1	1	1/2			1/2	1		3	69	A4	4	57
13	13	50	50	2.0	1/2	1/2	4/4	1	1	1/2			1/2	1		3	81	A5	5	57
14	14	52	52	0.0	0	0	4/4	1	1	0	acciaccatura		1/8	1		3	81	A5	5	62
14	14	52	52	0.0	0	0	4/4	2	1	0	acciaccatura		1/8	1		3	69	A4	4	68
14	14	52	52	0.5	0	0	4/4	2	1	1/8			1/8	1		3	69	A4	4	69
14	14	52	52	0.5	0	0	4/4	1	1	1/8			1/8	1		3	81	A5	5	63
