mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	1	1	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		1	43	G2	2	3
1	1	1	1	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1		1	55	G3	3	0
1	1	2	2	1.75	1/2	1/2	4/4	2	1	7/16		1/4	7/4		-1	41	F2	2	4
1	1	2	2	1.75	1/2	1/2	4/4	2	1	7/16		1/4	7/4		3	45	A2	2	4
1	1	2	2	1.75	1/2	1/2	4/4	1	1	7/16		1/4	7/4		-1	53	F3	3	1
1	1	2	2	1.75	1/2	1/2	4/4	1	1	7/16		1/4	7/4		3	57	A3	3	1
1	1	15/4	15/4	0.25	15/16	15/16	4/4	2	1	1/16		1/16	1		4	40	E2	2	5
1	1	15/4	15/4	0.25	15/16	15/16	4/4	2	1	1/16		1/16	1		5	47	B2	2	5
1	1	15/4	15/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		4	52	E3	3	2
1	1	15/4	15/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		1	55	G3	3	2
1	1	15/4	15/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		5	59	B3	3	2
2	2	4	4	4.0	0	0	4/4	2	1	1		1	1		4	40	E2	2	7
2	2	4	4	4.0	0	0	4/4	2	1	1		1	1		5	47	B2	2	7
2	2	4	4	4.0	0	0	4/4	1	1	1		1	1		4	52	E3	3	6
2	2	4	4	4.0	0	0	4/4	1	1	1		1	1		1	55	G3	3	6
2	2	4	4	4.0	0	0	4/4	1	1	1		1	1		5	59	B3	3	6
3	3	9	9	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		4	40	E2	2	11
3	3	9	9	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		5	47	B2	2	11
3	3	9	9	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1		4	52	E3	3	8
3	3	9	9	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1		1	55	G3	3	8
3	3	9	9	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1		5	59	B3	3	8
3	3	10	10	1.75	1/2	1/2	4/4	2	1	7/16		1/4	7/4		2	38	D2	2	12
3	3	10	10	1.75	1/2	1/2	4/4	2	1	7/16		1/4	7/4		2	50	D3	3	12
3	3	10	10	1.75	1/2	1/2	4/4	1	1	7/16		1/4	7/4		-1	53	F3	3	9
3	3	10	10	1.75	1/2	1/2	4/4	1	1	7/16		1/4	7/4		3	57	A3	3	9
3	3	10	10	1.75	1/2	1/2	4/4	1	1	7/16		1/4	7/4		2	62	D4	4	9
3	3	47/4	47/4	0.25	15/16	15/16	4/4	2	1	1/16		1/16	1		0	36	C2	2	13
3	3	47/4	47/4	0.25	15/16	15/16	4/4	2	1	1/16		1/16	1		0	48	C3	3	13
3	3	47/4	47/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		1	55	G3	3	10
3	3	47/4	47/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		0	60	C4	4	10
3	3	47/4	47/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		4	64	E4	4	10
4	4	12	12	2.0	0	0	4/4	2	1	1/2		1/2	1		0	36	C2	2	17
4	4	12	12	2.0	0	0	4/4	2	1	1/2		1/2	1		0	48	C3	3	17
4	4	12	12	2.0	0	0	4/4	1	1	1/2		1/2	1		1	55	G3	3	14
4	4	12	12	2.0	0	0	4/4	1	1	1/2		1/2	1		0	60	C4	4	14
4	4	12	12	2.0	0	0	4/4	1	1	1/2		1/2	1		4	64	E4	4	14
4	4	14	14	1.75	1/2	1/2	4/4	2	1	7/16		1/4	7/4		-1	29	F1	1	18
4	4	14	14	1.75	1/2	1/2	4/4	2	1	7/16		1/4	7/4		-1	41	F2	2	18
4	4	14	14	1.75	1/2	1/2	4/4	1	1	7/16		1/4	7/4		-1	53	F3	3	15
4	4	14	14	1.75	1/2	1/2	4/4	1	1	7/16		1/4	7/4		3	57	A3	3	15
4	4	14	14	1.75	1/2	1/2	4/4	1	1	7/16		1/4	7/4		0	60	C4	4	15
4	4	63/4	63/4	0.25	15/16	15/16	4/4	2	1	1/16		1/16	1		0	24	C1	1	19
4	4	63/4	63/4	0.25	15/16	15/16	4/4	2	1	1/16		1/16	1		0	36	C2	2	19
4	4	63/4	63/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		1	55	G3	3	16
4	4	63/4	63/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		0	60	C4	4	16
4	4	63/4	63/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		4	64	E4	4	16
4	4	63/4	63/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		1	67	G4	4	16
5	5	16	16	3.0	0	0	4/4	2	1	3/4		1/2	3/2		0	24	C1	1	22
5	5	16	16	3.0	0	0	4/4	2	1	3/4		1/2	3/2		0	36	C2	2	22
5	5	16	16	3.0	0	0	4/4	1	1	3/4		1/2	3/2		1	55	G3	3	20
5	5	16	16	3.0	0	0	4/4	1	1	3/4		1/2	3/2		0	60	C4	4	20
5	5	16	16	3.0	0	0	4/4	1	1	3/4		1/2	3/2		4	64	E4	4	20
5	5	16	16	3.0	0	0	4/4	1	1	3/4		1/2	3/2		1	67	G4	4	20
5	5	19	19	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		0	48	C3	3	23
5	5	19	19	1.0	3/4	3/4	4/4	1	1	1/4		1/4	1	1	1	55	G3	3	21
5	5	19	19	1.0	3/4	3/4	4/4	1	1	1/4		1/4	1	1	0	60	C4	4	21
5	5	19	19	1.0	3/4	3/4	4/4	1	1	1/4		1/4	1		4	64	E4	4	21
6	6	20	20	1.0	0	0	4/4	2	1	1/4		1/4	1		3	45	A2	2	30
6	6	20	20	1.0	0	0	4/4	1	1	1/4		1/4	1	-1	1	55	G3	3	24
6	6	20	20	1.0	0	0	4/4	1	1	1/4		1/4	1	-1	0	60	C4	4	24
6	6	20	20	1.0	0	0	4/4	1	1	1/4		1/4	1		-1	65	F4	4	24
6	6	21	21	2.0	1/4	1/4	4/4	2	1	1/2		1/2	1		5	47	B2	2	31
6	6	21	21	2.0	1/4	1/4	4/4	2	1	1/2		1/2	1		-1	53	F3	3	31
6	6	21	21	2.0	1/4	1/4	4/4	1	1	1/2		1/2	1		1	55	G3	3	25
6	6	21	21	2.0	1/4	1/4	4/4	1	1	1/2		1/2	1		2	62	D4	4	25
6	6	23	23	0.6666666666666666	3/4	3/4	4/4	2	2	1/6		1/4	2/3		0	48	C3	3	33
6	6	23	23	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		4	52	E3	3	32
6	6	23	23	0.6666666666666666	3/4	3/4	4/4	1	2	1/6		1/4	2/3		1	55	G3	3	28
6	6	23	23	0.6666666666666666	3/4	3/4	4/4	1	1	1/6		1/4	2/3		4	64	E4	4	26
6	6	71/3	71/3	0.3333333333333333	11/12	11/12	4/4	2	2	1/12		1/8	2/3		3	45	A2	2	34
6	6	71/3	71/3	0.3333333333333333	11/12	11/12	4/4	1	1	1/12		1/8	2/3		0	60	C4	4	27
6	6	71/3	71/3	0.3333333333333333	11/12	11/12	4/4	1	2	1/12		1/8	2/3		0	60	C4	4	29
7	7	24	24	2.0	0	0	4/4	2	1	1/2		1/2	1		1	43	G2	2	42
7	7	24	24	2.0	0	0	4/4	2	1	1/2		1/2	1		1	55	G3	3	42
7	7	24	24	1.5	0	0	4/4	1	2	3/8		1/4	3/2		0	60	C4	4	37
7	7	24	24	2.0	0	0	4/4	1	1	1/2		1/2	1		2	62	D4	4	35
7	7	51/2	51/2	0.5	3/8	3/8	4/4	1	2	1/8		1/8	1		5	59	B3	3	38
7	7	26	26	1.0	1/2	1/2	4/4	1	2	1/4		1/4	1		3	57	A3	3	39
7	7	27	27	0.75	3/4	3/4	4/4	1	2	3/16		1/8	3/2		6	54	F#3	3	40
7	7	111/4	111/4	0.25	15/16	15/16	4/4	2	1	1/16		1/16	1		0	36	C2	2	43
7	7	111/4	111/4	0.25	15/16	15/16	4/4	2	1	1/16		1/16	1		0	48	C3	3	43
7	7	111/4	111/4	0.25	15/16	15/16	4/4	1	2	1/16		1/16	1		1	55	G3	3	41
7	7	111/4	111/4	0.25	15/16	15/16	4/4	1	2	1/16		1/16	1		0	60	C4	4	41
7	7	111/4	111/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		4	64	E4	4	36
8	8	28	28	2.0	0	0	4/4	2	1	1/2		1/2	1		0	36	C2	2	47
8	8	28	28	2.0	0	0	4/4	2	1	1/2		1/2	1		0	48	C3	3	47
8	8	28	28	2.0	0	0	4/4	1	1	1/2		1/2	1		1	55	G3	3	44
8	8	28	28	2.0	0	0	4/4	1	1	1/2		1/2	1		0	60	C4	4	44
8	8	28	28	2.0	0	0	4/4	1	1	1/2		1/2	1		4	64	E4	4	44
8	8	30	30	1.75	1/2	1/2	4/4	2	1	7/16		1/4	7/4		-1	29	F1	1	48
8	8	30	30	1.75	1/2	1/2	4/4	2	1	7/16		1/4	7/4		-1	41	F2	2	48
8	8	30	30	1.75	1/2	1/2	4/4	1	1	7/16		1/4	7/4		-1	53	F3	3	45
8	8	30	30	1.75	1/2	1/2	4/4	1	1	7/16		1/4	7/4		3	57	A3	3	45
8	8	30	30	1.75	1/2	1/2	4/4	1	1	7/16		1/4	7/4		0	60	C4	4	45
8	8	127/4	127/4	0.25	15/16	15/16	4/4	2	1	1/16		1/16	1		4	28	E1	1	49
8	8	127/4	127/4	0.25	15/16	15/16	4/4	2	1	1/16		1/16	1		4	40	E2	2	49
8	8	127/4	127/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		1	55	G3	3	46
8	8	127/4	127/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		5	59	B3	3	46
8	8	127/4	127/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		4	64	E4	4	46
8	8	127/4	127/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		1	67	G4	4	46
9	9	32	32	2.0	0	0	4/4	2	1	1/2		1/2	1	1	4	28	E1	1	52
9	9	32	32	2.0	0	0	4/4	2	1	1/2		1/2	1	1	4	40	E2	2	52
9	9	32	32	3.0	0	0	4/4	1	1	3/4		1/2	3/2		1	55	G3	3	50
9	9	32	32	3.0	0	0	4/4	1	1	3/4		1/2	3/2		5	59	B3	3	50
9	9	32	32	3.0	0	0	4/4	1	1	3/4		1/2	3/2		4	64	E4	4	50
9	9	32	32	3.0	0	0	4/4	1	1	3/4		1/2	3/2		1	67	G4	4	50
9	9	34	34	0.6666666666666666	1/2	1/2	4/4	2	1	1/6		1/4	2/3	-1	4	28	E1	1	53
9	9	34	34	0.6666666666666666	1/2	1/2	4/4	2	1	1/6		1/4	2/3	-1	4	40	E2	2	53
9	9	104/3	104/3	0.3333333333333333	2/3	2/3	4/4	2	1	1/12		1/8	2/3		6	30	F#1	1	54
9	9	104/3	104/3	0.3333333333333333	2/3	2/3	4/4	2	1	1/12		1/8	2/3		6	42	F#2	2	54
9	9	35	35	0.6666666666666666	3/4	3/4	4/4	2	1	1/6		1/4	2/3		1	31	G1	1	55
9	9	35	35	0.6666666666666666	3/4	3/4	4/4	2	1	1/6		1/4	2/3		1	43	G2	2	55
9	9	35	35	1.0	3/4	3/4	4/4	1	1	1/4		1/4	1		1	55	G3	3	51
9	9	35	35	1.0	3/4	3/4	4/4	1	1	1/4		1/4	1		5	59	B3	3	51
9	9	35	35	1.0	3/4	3/4	4/4	1	1	1/4		1/4	1		4	64	E4	4	51
9	9	35	35	1.0	3/4	3/4	4/4	1	1	1/4		1/4	1		1	67	G4	4	51
9	9	107/3	107/3	0.3333333333333333	11/12	11/12	4/4	2	1	1/12		1/8	2/3		3	33	A1	1	56
9	9	107/3	107/3	0.3333333333333333	11/12	11/12	4/4	2	1	1/12		1/8	2/3		3	45	A2	2	56
10	10	36	36	1.0	0	0	4/4	2	1	1/4		1/4	1	1	0	36	C2	2	66
10	10	36	36	1.0	0	0	4/4	2	1	1/4		1/4	1	1	0	48	C3	3	66
10	10	36	36	0.6666666666666666	0	0	4/4	1	1	1/6		1/4	2/3	1	3	57	A3	3	57
10	10	36	36	0.6666666666666666	0	0	4/4	1	1	1/6		1/4	2/3		9	63	D#4	4	57
10	10	36	36	0.6666666666666666	0	0	4/4	1	1	1/6		1/4	2/3		1	67	G4	4	57
10	10	110/3	110/3	0.3333333333333333	1/6	1/6	4/4	1	1	1/12		1/8	2/3	-1	3	57	A3	3	58
10	10	110/3	110/3	0.3333333333333333	1/6	1/6	4/4	1	1	1/12		1/8	2/3		9	63	D#4	4	58
10	10	110/3	110/3	0.3333333333333333	1/6	1/6	4/4	1	1	1/12		1/8	2/3		6	66	F#4	4	58
10	10	37	37	0.6666666666666666	1/4	1/4	4/4	2	1	1/6		1/4	2/3	-1	0	36	C2	2	67
10	10	37	37	0.6666666666666666	1/4	1/4	4/4	2	1	1/6		1/4	2/3	-1	0	48	C3	3	67
10	10	37	37	2.0	1/4	1/4	4/4	1	2	1/2		1/2	1		3	57	A3	3	64
10	10	37	37	2.0	1/4	1/4	4/4	1	2	1/2		1/2	1		9	63	D#4	4	64
10	10	37	37	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1	1	1	67	G4	4	59
10	10	113/3	113/3	0.3333333333333333	5/12	5/12	4/4	2	1	1/12		1/8	2/3		0	48	C3	3	68
10	10	113/3	113/3	0.3333333333333333	5/12	5/12	4/4	2	1	1/12		1/8	2/3		0	60	C4	4	68
10	10	38	38	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		0	48	C3	3	69
10	10	38	38	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		0	60	C4	4	69
10	10	38	38	0.6666666666666666	1/2	1/2	4/4	1	1	1/6		1/4	2/3	-1	1	67	G4	4	60
10	10	116/3	116/3	0.3333333333333333	2/3	2/3	4/4	1	1	1/12		1/8	2/3		3	69	A4	4	61
10	10	39	39	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		5	47	B2	2	70
10	10	39	39	1.0	3/4	3/4	4/4	1	2	1/4		1/4	1		3	57	A3	3	65
10	10	39	39	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		5	59	B3	3	70
10	10	39	39	1.0	3/4	3/4	4/4	1	2	1/4		1/4	1		9	63	D#4	4	65
10	10	39	39	0.6666666666666666	3/4	3/4	4/4	1	1	1/6		1/4	2/3		1	67	G4	4	62
10	10	119/3	119/3	0.3333333333333333	11/12	11/12	4/4	1	1	1/12		1/8	2/3		6	66	F#4	4	63
11	11	40	40	1.5	0	0	4/4	2	2	3/8		1/4	3/2		4	52	E3	3	74
11	11	40	40	2.0	0	0	4/4	1	1	1/2		1/2	1		1	55	G3	3	71
11	11	40	40	2.0	0	0	4/4	2	1	1/2		1/2	1		5	59	B3	3	73
11	11	40	40	2.0	0	0	4/4	1	1	1/2		1/2	1		4	64	E4	4	71
11	11	83/2	83/2	0.5	3/8	3/8	4/4	2	2	1/8		1/8	1		5	47	B2	2	75
11	11	42	42	1.0	1/2	1/2	4/4	2	2	1/4		1/4	1		1	43	G2	2	76
11	11	43	43	0.6666666666666666	3/4	3/4	4/4	2	2	1/6		1/4	2/3		9	39	D#2	2	77
11	11	131/3	131/3	0.3333333333333333	11/12	11/12	4/4	2	2	1/12		1/8	2/3		4	40	E2	2	78
11	11	131/3	131/3	0.3333333333333333	11/12	11/12	4/4	1	1	1/12		1/8	2/3		1	55	G3	3	72
11	11	131/3	131/3	0.3333333333333333	11/12	11/12	4/4	1	1	1/12		1/8	2/3		5	59	B3	3	72
11	11	131/3	131/3	0.3333333333333333	11/12	11/12	4/4	1	1	1/12		1/8	2/3		4	64	E4	4	72
11	11	131/3	131/3	0.3333333333333333	11/12	11/12	4/4	1	1	1/12		1/8	2/3		1	67	G4	4	72
12	12	44	44	1.0	0	0	4/4	2	1	1/4		1/4	1		3	45	A2	2	88
12	12	44	44	0.6666666666666666	0	0	4/4	1	1	1/6		1/4	2/3	1	6	54	F#3	3	79
12	12	44	44	0.6666666666666666	0	0	4/4	1	1	1/6		1/4	2/3		0	60	C4	4	79
12	12	44	44	0.6666666666666666	0	0	4/4	1	1	1/6		1/4	2/3		4	64	E4	4	79
12	12	44	44	0.6666666666666666	0	0	4/4	1	1	1/6		1/4	2/3		1	67	G4	4	79
12	12	134/3	134/3	0.3333333333333333	1/6	1/6	4/4	1	1	1/12		1/8	2/3	-1	6	54	F#3	3	80
12	12	134/3	134/3	0.3333333333333333	1/6	1/6	4/4	1	1	1/12		1/8	2/3		0	60	C4	4	80
12	12	134/3	134/3	0.3333333333333333	1/6	1/6	4/4	1	1	1/12		1/8	2/3		2	62	D4	4	80
12	12	134/3	134/3	0.3333333333333333	1/6	1/6	4/4	1	1	1/12		1/8	2/3		1	67	G4	4	80
12	12	45	45	2.0	1/4	1/4	4/4	2	1	1/2		1/2	1		1	43	G2	2	89
12	12	45	45	2.0	1/4	1/4	4/4	1	1	1/2		1/2	1		-1	53	F3	3	81
12	12	45	45	2.0	1/4	1/4	4/4	1	1	1/2		1/2	1		1	55	G3	3	81
12	12	45	45	2.0	1/4	1/4	4/4	1	1	1/2		1/2	1		5	59	B3	3	81
12	12	45	45	1.0	1/4	1/4	4/4	1	2	1/4		1/4	1	1	4	64	E4	4	83
12	12	45	45	2.0	1/4	1/4	4/4	1	1	1/2		1/2	1		1	67	G4	4	81
12	12	46	46	0.6666666666666666	1/2	1/2	4/4	1	2	1/6		1/4	2/3	-1	4	64	E4	4	84
12	12	140/3	140/3	0.3333333333333333	2/3	2/3	4/4	1	2	1/12		1/8	2/3		-1	65	F4	4	85
12	12	47	47	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		1	31	G1	1	90
12	12	47	47	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		1	43	G2	2	90
12	12	47	47	1.0	3/4	3/4	4/4	1	1	1/4		1/4	1		-1	53	F3	3	82
12	12	47	47	1.0	3/4	3/4	4/4	1	1	1/4		1/4	1		1	55	G3	3	82
12	12	47	47	1.0	3/4	3/4	4/4	1	1	1/4		1/4	1		5	59	B3	3	82
12	12	47	47	0.6666666666666666	3/4	3/4	4/4	1	2	1/6		1/4	2/3		4	64	E4	4	86
12	12	47	47	1.0	3/4	3/4	4/4	1	1	1/4		1/4	1		1	67	G4	4	82
12	12	143/3	143/3	0.3333333333333333	11/12	11/12	4/4	1	2	1/12		1/8	2/3		2	62	D4	4	87
13	13	48	48	0.5	0	0	4/4	2	1	1/8		1/8	1		0	36	C2	2	94
13	13	48	48	2.0	0	0	4/4	2	2	1/2		1/2	1		0	36	C2	2	102
13	13	48	48	2.0	0	0	4/4	1	1	1/2		1/2	1		4	64	E4	4	91
13	13	48	48	2.0	0	0	4/4	1	1	1/2		1/2	1		1	67	G4	4	91
13	13	48	48	2.0	0	0	4/4	1	1	1/2		1/2	1		0	72	C5	5	91
13	13	48	48	2.0	0	0	4/4	1	1	1/2		1/2	1		4	76	E5	5	91
13	13	97/2	97/2	0.5	1/8	1/8	4/4	2	1	1/8		1/8	1		1	43	G2	2	95
13	13	49	49	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		0	48	C3	3	96
13	13	99/2	99/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		1	55	G3	3	97
13	13	50	50	0.5	1/2	1/2	4/4	2	1	1/8		1/8	1		-1	41	F2	2	98
13	13	50	50	2.0	1/2	1/2	4/4	2	2	1/2		1/2	1		-1	41	F2	2	103
13	13	50	50	1.75	1/2	1/2	4/4	1	1	7/16		1/4	7/4		0	60	C4	4	92
13	13	50	50	1.75	1/2	1/2	4/4	1	1	7/16		1/4	7/4		-1	65	F4	4	92
13	13	50	50	1.75	1/2	1/2	4/4	1	1	7/16		1/4	7/4		3	69	A4	4	92
13	13	50	50	1.75	1/2	1/2	4/4	1	1	7/16		1/4	7/4		0	72	C5	5	92
13	13	101/2	101/2	0.5	5/8	5/8	4/4	2	1	1/8		1/8	1		0	48	C3	3	99
13	13	51	51	0.5	3/4	3/4	4/4	2	1	1/8		1/8	1		-1	53	F3	3	100
13	13	103/2	103/2	0.5	7/8	7/8	4/4	2	1	1/8		1/8	1		0	60	C4	4	101
13	13	207/4	207/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		1	67	G4	4	93
