mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
1	1	3/8	3/16		1/8	3/2		-3	27	2	1	
1	1	1/2	1/8		1/8	1		-3	39	1	1	
1	1	5/8	1/8		1/8	1		-3	51	1	1	
2	2	0	3/16		1/8	3/2		6	30	2	1	
2	2	1/8	1/8		1/8	1		6	42	1	1	
2	2	1/4	1/8		1/8	1		-3	51	1	1	
2	2	3/8	3/16		1/8	3/2		3	33	2	1	
2	2	3/8	3/16		1/8	3/2		-3	39	2	1	
2	2	1/2	1/8		1/8	1		3	45	1	1	
2	2	5/8	1/8		1/8	1		-3	51	1	1	
3	3	0	3/16		1/8	3/2		-2	34	2	1	
3	3	0	3/16		1/8	3/2		-3	39	2	1	
3	3	1/8	1/8		1/8	1		-2	46	1	1	
3	3	1/4	1/8		1/8	1		-3	51	1	1	
3	3	3/8	3/16		1/8	3/2		5	35	2	1	
3	3	3/8	3/16		1/8	3/2		-3	39	2	1	
3	3	1/2	1/8		1/8	1		5	47	1	1	
3	3	5/8	1/8		1/8	1		-3	51	1	1	
4	4	0	3/16		1/8	3/2		0	36	2	1	
4	4	0	3/16		1/8	3/2		-3	39	2	1	
4	4	1/8	1/8		1/8	1		0	48	1	1	
4	4	1/4	1/8		1/8	1		-3	51	1	1	
4	4	3/8	3/16		1/8	3/2		3	33	2	1	
4	4	3/8	3/16		1/8	3/2		-3	39	2	1	
4	4	1/2	1/8		1/8	1		3	45	1	1	
4	4	5/8	1/8		1/8	1		-3	51	1	1	
5	5	0	3/16		1/8	3/2		6	30	2	1	
5	5	0	3/16		1/8	3/2		-3	39	2	1	
5	5	1/8	1/8		1/8	1		6	42	1	1	
5	5	1/4	1/8		1/8	1		-3	51	1	1	
5	5	3/8	3/16		1/8	3/2		-3	27	2	1	
5	5	1/2	1/8		1/8	1		-3	39	1	1	
5	5	5/8	1/8		1/8	1		-3	51	1	1	
6	6	0	3/16		1/8	3/2		6	30	2	1	
6	6	1/8	1/8		1/8	1		6	42	1	1	
6	6	1/4	1/8		1/8	1		-3	51	1	1	
6	6	3/8	3/16		1/8	3/2		3	33	2	1	
6	6	3/8	3/16		1/8	3/2		-3	39	2	1	
6	6	1/2	1/8		1/8	1		3	45	1	1	
6	6	5/8	1/8		1/8	1		-3	51	1	1	
7	7	0	3/16		1/8	3/2		-2	34	2	1	
7	7	0	3/16		1/8	3/2		-3	39	2	1	
7	7	1/8	1/8		1/8	1		-2	46	1	1	
7	7	1/4	1/8		1/8	1		-3	51	1	1	
7	7	3/8	3/16		1/8	3/2		5	35	2	1	
7	7	3/8	3/16		1/8	3/2		-3	39	2	1	
7	7	1/2	1/8		1/8	1		5	47	1	1	
7	7	5/8	1/8		1/8	1		-3	51	1	1	
8	8	0	3/16		1/8	3/2		0	36	2	1	
8	8	0	3/16		1/8	3/2		-3	39	2	1	
8	8	1/8	1/8		1/8	1		0	48	1	1	
8	8	1/4	1/8		1/8	1		-3	51	1	1	
8	8	3/8	3/16		1/8	3/2		3	33	2	1	
8	8	3/8	3/16		1/8	3/2		-3	39	2	1	
8	8	1/2	1/8		1/8	1		3	45	1	1	
8	8	5/8	1/8		1/8	1		-3	51	1	1	
9	9	0	3/16		1/8	3/2		6	30	2	1	
9	9	0	3/16		1/8	3/2		-3	39	2	1	
9	9	1/8	1/8		1/8	1		6	42	1	1	
9	9	1/4	1/8		1/8	1		-3	51	1	1	
9	9	3/8	3/16		1/8	3/2		-3	27	2	1	
9	9	1/2	1/8		1/8	1		-3	39	1	1	
9	9	5/8	1/8		1/8	1		-3	51	1	1	
10	10	0	3/16		1/8	3/2		6	30	2	1	
10	10	1/8	1/8		1/8	1		6	42	1	1	
10	10	1/4	1/8		1/8	1		6	54	1	1	
10	10	3/8	3/16		1/8	3/2		3	33	2	1	
10	10	1/2	1/8		1/8	1		3	45	1	1	
10	10	5/8	1/8		1/8	1		3	57	1	1	
11	11	0	3/16		1/8	3/2		-2	34	2	1	
11	11	1/8	1/8		1/8	1		-2	46	1	1	
11	11	1/4	1/8		1/8	1		-2	58	1	1	
11	11	3/8	3/16		1/8	3/2		5	35	2	1	
11	11	1/2	1/8		1/8	1		5	47	1	1	
11	11	5/8	1/8		1/8	1		5	59	1	1	
12	12	0	3/16		1/8	3/2		0	36	2	1	
12	12	1/8	1/8		1/8	1		0	48	1	1	
12	12	1/4	1/8		1/8	1		0	60	1	1	
12	12	3/8	3/16		1/8	3/2		7	37	2	1	
12	12	1/2	1/8		1/8	1		7	49	1	1	
12	12	5/8	1/8		1/8	1		7	61	1	1	
13	13	3/16	3/16		1/8	3/2		6	54	1	1	
13	13	3/16	3/16		1/8	3/2		3	57	1	1	
13	13	3/16	3/16		1/8	3/2		2	62	1	1	
13	13	3/8	0	acciaccatura	1/8	3/2		7	49	2	1	
13	13	3/8	3/16		1/8	3/2		2	50	2	1	
13	13	9/16	3/16		1/8	3/2		1	55	1	1	
13	13	9/16	3/16		1/8	3/2		-2	58	1	1	
13	13	9/16	3/16		1/8	3/2		-3	63	1	1	
14	14	0	3/16		1/8	3/2		2	38	2	1	
14	14	3/16	3/16		1/8	3/2		3	57	1	1	
14	14	3/16	3/16		1/8	3/2		0	60	1	1	
14	14	3/16	3/16		1/8	3/2		6	66	1	1	
14	14	3/8	0	acciaccatura	1/8	3/2		7	49	2	1	
14	14	3/8	3/16		1/8	3/2		2	50	2	1	
14	14	9/16	3/16		1/8	3/2		2	62	1	1	
14	14	9/16	3/16		1/8	3/2		-1	65	1	1	
14	14	9/16	3/16		1/8	3/2		-2	70	1	1	
15	15	0	3/16		1/8	3/2		2	38	2	1	
15	15	3/16	3/16		1/8	3/2		0	60	1	1	
15	15	3/16	3/16		1/8	3/2		-3	63	1	1	
15	15	3/16	3/16		1/8	3/2		3	69	1	1	
15	15	3/8	0	acciaccatura	1/8	3/2		7	49	2	1	
15	15	3/8	3/16		1/8	3/2		2	50	2	1	
15	15	9/16	3/16		1/8	3/2		-2	58	1	1	
15	15	9/16	3/16		1/8	3/2		2	62	1	1	
15	15	9/16	3/16		1/8	3/2		1	67	1	1	
16	16	0	3/16		1/8	3/2		2	38	2	1	
16	16	3/16	3/16		1/8	3/2		3	57	1	1	
16	16	3/16	3/16		1/8	3/2		0	60	1	1	
16	16	3/16	3/16		1/8	3/2		6	66	1	1	
16	16	3/8	0	acciaccatura	1/8	3/2		7	49	2	1	
16	16	3/8	3/16		1/8	3/2		2	50	2	1	
16	16	9/16	3/16		1/8	3/2		-2	58	1	1	
16	16	9/16	3/16		1/8	3/2		7	61	1	1	
16	16	9/16	3/16		1/8	3/2		1	67	1	1	
17	17	0	3/16		1/8	3/2		2	38	2	1	
17	17	3/16	3/16		1/8	3/2		6	54	1	1	
17	17	3/16	3/16		1/8	3/2		3	57	1	1	
17	17	3/16	3/16		1/8	3/2		2	62	1	1	
17	17	3/8	0	acciaccatura	1/8	3/2		7	49	2	1	
17	17	3/8	3/16		1/8	3/2		2	50	2	1	
17	17	9/16	3/16		1/8	3/2		1	55	1	1	
17	17	9/16	3/16		1/8	3/2		-2	58	1	1	
17	17	9/16	3/16		1/8	3/2		-3	63	1	1	
18	18	0	3/16		1/8	3/2		2	38	2	1	
18	18	3/16	3/16		1/8	3/2		3	57	1	1	
18	18	3/16	3/16		1/8	3/2		0	60	1	1	
18	18	3/16	3/16		1/8	3/2		6	66	1	1	
18	18	3/8	0	acciaccatura	1/8	3/2		7	49	2	1	
18	18	3/8	3/16		1/8	3/2		2	50	2	1	
18	18	9/16	3/16		1/8	3/2		2	62	1	1	
18	18	9/16	3/16		1/8	3/2		-1	65	1	1	
18	18	9/16	3/16		1/8	3/2		-2	70	1	1	
19	19	0	3/16		1/8	3/2		2	38	2	1	
19	19	3/16	3/16		1/8	3/2		0	60	1	1	
19	19	3/16	3/16		1/8	3/2		-3	63	1	1	
19	19	3/16	3/16		1/8	3/2		3	69	1	1	
19	19	3/8	0	acciaccatura	1/8	3/2		7	49	2	1	
19	19	3/8	3/16		1/8	3/2		2	50	2	1	
19	19	9/16	3/16		1/8	3/2		-2	58	1	1	
19	19	9/16	3/16		1/8	3/2		2	62	1	1	
19	19	9/16	3/16		1/8	3/2		1	67	1	1	
20	20	0	3/16		1/8	3/2		2	38	2	1	
20	20	3/16	3/16		1/8	3/2		3	57	1	1	
20	20	3/16	3/16		1/8	3/2		0	60	1	1	
20	20	3/16	3/16		1/8	3/2		6	66	1	1	
20	20	3/8	0	acciaccatura	1/8	3/2		7	49	2	1	
20	20	3/8	3/16		1/8	3/2		2	50	2	1	
20	20	9/16	3/16		1/8	3/2		-2	58	1	1	
20	20	9/16	3/16		1/8	3/2		7	61	1	1	
20	20	9/16	3/16		1/8	3/2		1	67	1	1	
21	21	0	3/16		1/8	3/2		2	38	2	1	
21	21	3/16	3/16		1/8	3/2		2	62	1	1	
21	21	3/16	3/16		1/8	3/2		6	66	1	1	
21	21	3/16	3/16		1/8	3/2		2	74	1	1	
21	21	3/8	3/16		1/8	3/2		2	50	2	1	
21	21	3/8	3/16		1/8	3/2		1	55	2	1	
21	21	3/8	3/16		1/8	3/2		-2	58	2	1	
21	21	9/16	3/16		1/8	3/2		-3	63	1	1	
21	21	9/16	3/16		1/8	3/2		1	67	1	1	
21	21	9/16	3/16		1/8	3/2		-3	75	1	1	
22	22	0	3/16		1/8	3/2		2	50	2	1	
22	22	0	3/16		1/8	3/2		3	57	2	1	
22	22	0	3/16		1/8	3/2		0	60	2	1	
22	22	3/16	3/16		1/8	3/2		6	66	1	1	
22	22	3/16	3/16		1/8	3/2		3	69	1	1	
22	22	3/16	3/16		1/8	3/2		6	78	1	1	
22	22	3/8	3/16		1/8	3/2		2	62	2	1	
22	22	3/8	3/16		1/8	3/2		-1	65	2	1	
22	22	9/16	3/16		1/8	3/2		-2	70	1	1	
22	22	9/16	3/16		1/8	3/2		2	74	1	1	
22	22	9/16	3/16		1/8	3/2		-2	82	1	1	
23	23	0	3/16		1/8	3/2		0	60	2	1	
23	23	0	3/16		1/8	3/2		-3	63	2	1	
23	23	3/16	3/16		1/8	3/2		3	69	1	1	
23	23	3/16	3/16		1/8	3/2		0	72	1	1	
23	23	3/16	3/16		1/8	3/2		3	81	1	1	
23	23	3/8	3/16		1/8	3/2		2	50	2	1	
23	23	3/8	3/16		1/8	3/2		-2	58	2	1	
23	23	3/8	3/16		1/8	3/2		2	62	2	1	
23	23	9/16	3/16		1/8	3/2		1	67	1	1	
23	23	9/16	3/16		1/8	3/2		-2	70	1	1	
23	23	9/16	3/16		1/8	3/2		1	79	1	1	
24	24	0	3/16		1/8	3/2		2	50	2	1	
24	24	0	3/16		1/8	3/2		3	57	2	1	
24	24	0	3/16		1/8	3/2		0	60	2	1	
24	24	3/16	3/16		1/8	3/2		6	66	1	1	
24	24	3/16	3/16		1/8	3/2		3	69	1	1	
24	24	3/16	3/16		1/8	3/2		6	78	1	1	
24	24	3/8	3/16		1/8	3/2		2	50	2	1	
24	24	3/8	3/16		1/8	3/2		-2	58	2	1	
24	24	3/8	3/16		1/8	3/2		7	61	2	1	
24	24	9/16	3/16		1/8	3/2		1	67	1	1	
24	24	9/16	3/16		1/8	3/2		-2	70	1	1	
24	24	9/16	3/16		1/8	3/2		1	79	1	1	
25	25	0	3/16		1/8	3/2		2	38	2	1	
25	25	3/16	3/16		1/8	3/2		2	62	1	1	
25	25	3/16	3/16		1/8	3/2		6	66	1	1	
25	25	3/16	3/16		1/8	3/2		2	74	1	1	
25	25	3/8	3/16		1/8	3/2		2	50	2	1	
25	25	3/8	3/16		1/8	3/2		1	55	2	1	
25	25	3/8	3/16		1/8	3/2		-2	58	2	1	
25	25	9/16	3/16		1/8	3/2		-3	63	1	1	
25	25	9/16	3/16		1/8	3/2		1	67	1	1	
25	25	9/16	3/16		1/8	3/2		-3	75	1	1	
26	26	0	3/16		1/8	3/2		2	50	2	1	
26	26	0	3/16		1/8	3/2		3	57	2	1	
26	26	0	3/16		1/8	3/2		0	60	2	1	
26	26	3/16	3/16		1/8	3/2		6	66	1	1	
26	26	3/16	3/16		1/8	3/2		3	69	1	1	
26	26	3/16	3/16		1/8	3/2		6	78	1	1	
26	26	3/8	3/16		1/8	3/2		2	62	2	1	
26	26	3/8	3/16		1/8	3/2		-1	65	2	1	
26	26	9/16	3/16		1/8	3/2		-2	70	1	1	
26	26	9/16	3/16		1/8	3/2		2	74	1	1	
26	26	9/16	3/16		1/8	3/2		-2	82	1	1	
27	27	0	3/16		1/8	3/2		0	60	2	1	
27	27	0	3/16		1/8	3/2		-3	63	2	1	
27	27	3/16	3/16		1/8	3/2		3	69	1	1	
27	27	3/16	3/16		1/8	3/2		0	72	1	1	
27	27	3/16	3/16		1/8	3/2		3	81	1	1	
27	27	3/8	3/16		1/8	3/2		2	50	2	1	
27	27	3/8	3/16		1/8	3/2		-2	58	2	1	
27	27	3/8	3/16		1/8	3/2		2	62	2	1	
27	27	9/16	3/16		1/8	3/2		1	67	1	1	
27	27	9/16	3/16		1/8	3/2		-2	70	1	1	
27	27	9/16	3/16		1/8	3/2		1	79	1	1	
28	28	0	3/16		1/8	3/2		2	50	2	1	
28	28	0	3/16		1/8	3/2		3	57	2	1	
28	28	0	3/16		1/8	3/2		0	60	2	1	
28	28	3/16	3/16		1/8	3/2		6	66	1	1	
28	28	3/16	3/16		1/8	3/2		3	69	1	1	
28	28	3/16	3/16		1/8	3/2		6	78	1	1	
28	28	3/8	3/16		1/8	3/2		2	50	2	1	
28	28	3/8	3/16		1/8	3/2		-2	58	2	1	
28	28	3/8	3/16		1/8	3/2		7	61	2	1	
28	28	9/16	3/16		1/8	3/2		1	67	1	1	
28	28	9/16	3/16		1/8	3/2		-2	70	1	1	
28	28	9/16	3/16		1/8	3/2		1	79	1	1	
29	29	0	3/16		1/8	3/2		2	38	2	1	
29	29	0	3/16		1/8	3/2		2	50	2	1	
29	29	3/16	3/16		1/8	3/2		2	62	1	1	
29	29	3/16	3/16		1/8	3/2		6	66	1	1	
29	29	3/16	3/16		1/8	3/2		2	74	1	1	
29	29	3/8	3/16		1/8	3/2		1	55	2	1	
29	29	3/8	3/16		1/8	3/2		-2	58	2	1	
29	29	3/8	3/16		1/8	3/2		-3	63	2	1	
29	29	9/16	3/16		1/8	3/2		-3	63	1	1	
29	29	9/16	3/16		1/8	3/2		1	67	1	1	
29	29	9/16	3/16		1/8	3/2		-3	75	1	1	
30	30	0	3/16		1/8	3/2		3	57	2	1	
30	30	0	3/16		1/8	3/2		0	60	2	1	
30	30	0	3/16		1/8	3/2		6	66	2	1	
30	30	3/16	3/16		1/8	3/2		6	66	1	1	
30	30	3/16	3/16		1/8	3/2		3	69	1	1	
30	30	3/16	3/16		1/8	3/2		6	78	1	1	
30	30	3/8	3/16		1/8	3/2		2	62	2	1	
30	30	3/8	3/16		1/8	3/2		-1	65	2	1	
30	30	3/8	3/16		1/8	3/2		-2	70	2	1	
30	30	9/16	3/16		1/8	3/2		-2	70	1	1	
30	30	9/16	3/16		1/8	3/2		2	74	1	1	
30	30	9/16	3/16		1/8	3/2		-2	82	1	1	
31	31	0	3/16		1/8	3/2		0	60	2	1	
31	31	0	3/16		1/8	3/2		-3	63	2	1	
31	31	0	3/16		1/8	3/2		3	69	2	1	
31	31	3/16	3/16		1/8	3/2		3	69	1	1	
31	31	3/16	3/16		1/8	3/2		0	72	1	1	
31	31	3/16	3/16		1/8	3/2		3	81	1	1	
31	31	3/8	3/16		1/8	3/2		-2	58	2	1	
31	31	3/8	3/16		1/8	3/2		2	62	2	1	
31	31	3/8	3/16		1/8	3/2		1	67	2	1	
31	31	9/16	3/16		1/8	3/2		1	67	1	1	
31	31	9/16	3/16		1/8	3/2		-2	70	1	1	
31	31	9/16	3/16		1/8	3/2		1	79	1	1	
32	32	0	3/16		1/8	3/2		3	57	2	1	
32	32	0	3/16		1/8	3/2		0	60	2	1	
32	32	0	3/16		1/8	3/2		6	66	2	1	
32	32	3/16	3/16		1/8	3/2		6	66	1	1	
32	32	3/16	3/16		1/8	3/2		3	69	1	1	
