mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	4/4	2	1	1/4		1/4	1		3	57	0
1	1	1/4	1/4	4/4	2	1	1/8		1/8	1		4	52	1
1	1	7/16	7/16	4/4	2	1	1/16		1/16	1		8	56	2
1	1	1/2	1/2	4/4	2	1	1/4		1/4	1		3	57	3
1	1	3/4	3/4	4/4	2	1	1/8		1/8	1		4	52	4
1	1	15/16	15/16	4/4	2	1	1/16		1/16	1		8	56	5
2	2	0	0	4/4	2	1	1/4		1/4	1		3	57	6
2	2	1/4	1/4	4/4	2	1	1/8		1/8	1		5	59	7
2	2	7/16	7/16	4/4	2	1	1/16		1/16	1		3	57	8
2	2	1/2	1/2	4/4	2	1	1/8		1/8	1		8	56	9
2	2	11/16	11/16	4/4	2	1	1/16		1/16	1		6	54	10
2	2	3/4	3/4	4/4	2	1	1/4		1/4	1		4	52	11
3	3	0	0	4/4	2	2	1/4		1/4	1		7	49	23
3	3	0	0	4/4	2	2	1/4		1/4	1		4	52	23
3	3	0	0	4/4	2	1	1/4		1/4	1		3	57	12
3	3	1/4	1/4	4/4	2	1	0	grace16	1/16	1		5	59	13
3	3	1/4	1/4	4/4	2	1	0	grace16	1/16	1		3	57	14
3	3	1/4	1/4	4/4	2	1	0	grace16	1/16	1		8	56	15
3	3	1/4	1/4	4/4	2	1	0	grace16	1/16	1		3	57	16
3	3	1/4	1/4	4/4	2	2	1/2		1/2	1		2	50	24
3	3	1/4	1/4	4/4	2	2	1/2		1/2	1		6	54	24
3	3	1/4	1/4	4/4	2	1	3/16		1/8	3/2		5	59	17
3	3	7/16	7/16	4/4	2	1	1/16		1/16	1		7	61	18
3	3	1/2	1/2	4/4	2	1	3/16		1/8	3/2		5	59	19
3	3	11/16	11/16	4/4	2	1	1/16		1/16	1		3	57	20
3	3	3/4	3/4	4/4	2	2	1/8		1/8	1		4	52	25
3	3	3/4	3/4	4/4	2	1	1/8		1/8	1		8	56	21
3	3	15/16	15/16	4/4	2	2	1/16		1/16	1		3	45	26
3	3	15/16	15/16	4/4	2	2	1/16		1/16	1		4	52	26
3	3	15/16	15/16	4/4	2	1	1/16		1/16	1		6	54	22
4	4	0	0	4/4	2	2	1/8		1/8	1		5	47	32
4	4	0	0	4/4	2	2	1/8		1/8	1		4	52	32
4	4	0	0	4/4	2	1	1/4		1/4	1		8	56	27
4	4	1/4	1/4	4/4	2	2	1/8		1/8	1		12	48	33
4	4	1/4	1/4	4/4	2	2	1/8		1/8	1		2	50	33
4	4	1/4	1/4	4/4	2	1	1/16		1/16	1		8	56	28
4	4	5/16	5/16	4/4	2	1	1/8		1/8	1		6	54	29
4	4	7/16	7/16	4/4	2	1	1/16		1/16	1		4	52	30
4	4	1/2	1/2	4/4	2	2	1/4		1/4	1		4	52	34
4	4	1/2	1/2	4/4	2	1	1/2		1/2	1		4	52	31
4	4	3/4	3/4	4/4	2	2	1/8		1/8	1		4	40	35
5	5	0	0	4/4	2	1	1/4		1/4	1		3	45	46
5	5	0	0	4/4	2	1	1/4		1/4	1		4	52	46
5	5	0	0	4/4	1	2	1/4		1/4	1		7	61	42
5	5	0	0	4/4	1	1	1/4		1/4	1		3	69	36
5	5	1/4	1/4	4/4	1	1	1/8		1/8	1		4	64	37
5	5	7/16	7/16	4/4	2	1	1/16		1/16	1		5	47	47
5	5	7/16	7/16	4/4	2	1	1/16		1/16	1		4	52	47
5	5	7/16	7/16	4/4	1	2	1/16		1/16	1		2	62	43
5	5	7/16	7/16	4/4	1	1	1/16		1/16	1		8	68	38
5	5	1/2	1/2	4/4	2	1	1/4		1/4	1		7	49	48
5	5	1/2	1/2	4/4	2	1	1/4		1/4	1		4	52	48
5	5	1/2	1/2	4/4	1	2	1/4		1/4	1		7	61	44
5	5	1/2	1/2	4/4	1	1	1/4		1/4	1		3	69	39
5	5	3/4	3/4	4/4	1	1	1/8		1/8	1		4	64	40
5	5	15/16	15/16	4/4	2	1	1/16		1/16	1		2	50	49
5	5	15/16	15/16	4/4	2	1	1/16		1/16	1		4	52	49
5	5	15/16	15/16	4/4	1	2	1/16		1/16	1		5	59	45
5	5	15/16	15/16	4/4	1	1	1/16		1/16	1		8	68	41
6	6	0	0	4/4	2	1	1/4		1/4	1		7	49	59
6	6	0	0	4/4	2	1	1/4		1/4	1		4	52	59
6	6	0	0	4/4	1	2	1/4		1/4	1		4	64	56
6	6	0	0	4/4	1	1	1/4		1/4	1		3	69	50
6	6	1/4	1/4	4/4	2	1	1/4		1/4	1		2	50	60
6	6	1/4	1/4	4/4	2	1	1/4		1/4	1		6	54	60
6	6	1/4	1/4	4/4	1	2	1/4		1/4	1		5	59	57
6	6	1/4	1/4	4/4	1	1	1/8		1/8	1		5	71	51
6	6	7/16	7/16	4/4	1	1	1/16		1/16	1		3	69	52
6	6	1/2	1/2	4/4	2	1	1/8		1/8	1		4	52	61
6	6	1/2	1/2	4/4	2	1	1/8		1/8	1		8	56	61
6	6	1/2	1/2	4/4	1	2	1/8		1/8	1		5	59	58
6	6	1/2	1/2	4/4	1	1	1/8		1/8	1		8	68	53
6	6	11/16	11/16	4/4	1	1	1/16		1/16	1		6	66	54
6	6	3/4	3/4	4/4	1	1	1/4		1/4	1		4	64	55
7	7	0	0	4/4	2	1	1/4		1/4	1		6	54	72
7	7	0	0	4/4	1	2	1/4		1/4	1		3	57	68
7	7	0	0	4/4	1	2	1/4		1/4	1		7	61	68
7	7	0	0	4/4	1	1	1/4		1/4	1		3	69	62
7	7	1/4	1/4	4/4	2	1	1/8		1/8	1		7	49	73
7	7	1/4	1/4	4/4	2	1	1/8		1/8	1		8	56	73
7	7	1/4	1/4	4/4	1	2	1/8		1/8	1		7	61	69
7	7	1/4	1/4	4/4	1	1	1/8		1/8	1		4	64	63
7	7	7/16	7/16	4/4	1	1	1/16		1/16	1		8	68	64
7	7	1/2	1/2	4/4	2	1	1/4		1/4	1		6	54	74
7	7	1/2	1/2	4/4	1	2	1/4		1/4	1		3	57	70
7	7	1/2	1/2	4/4	1	2	1/4		1/4	1		7	61	70
