mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	1	1	0.5	1/4	1/4	12/8	1	1	1/8	1/8	1		-4	68	Ab4	4	0
1	1	3/2	3/2	0.25	3/8	3/8	12/8	1	2	1/16	1/16	1		-4	68	Ab4	4	4
1	1	3/2	3/2	1.0	3/8	3/8	12/8	1	1	1/4	1/4	1		-2	70	Bb4	4	1
1	1	7/4	7/4	0.25	7/16	7/16	12/8	1	2	1/16	1/16	1		-5	61	Db4	4	5
1	1	2	2	0.5	1/2	1/2	12/8	2	1	1/8	1/8	1		-3	51	Eb3	3	22
1	1	2	2	0.25	1/2	1/2	12/8	1	2	1/16	1/16	1		-3	63	Eb4	4	6
1	1	9/4	9/4	0.25	9/16	9/16	12/8	1	2	1/16	1/16	1		1	67	G4	4	7
1	1	5/2	5/2	0.25	5/8	5/8	12/8	1	2	1/16	1/16	1		-5	61	Db4	4	8
1	1	5/2	5/2	0.5	5/8	5/8	12/8	2	1	1/8	1/8	1		-3	75	Eb5	5	23
1	1	11/4	11/4	0.25	11/16	11/16	12/8	1	2	1/16	1/16	1		-3	63	Eb4	4	9
1	1	3	3	0.25	3/4	3/4	12/8	1	2	1/16	1/16	1		-2	70	Bb4	4	10
1	1	3	3	1.0	3/4	3/4	12/8	1	1	1/4	1/4	1		0	72	C5	5	2
1	1	13/4	13/4	0.25	13/16	13/16	12/8	1	2	1/16	1/16	1		0	60	C4	4	11
1	1	7/2	7/2	0.5	7/8	7/8	12/8	2	1	1/8	1/8	1		-4	56	Ab3	3	24
1	1	7/2	7/2	0.25	7/8	7/8	12/8	1	2	1/16	1/16	1		-3	63	Eb4	4	12
1	1	15/4	15/4	0.25	15/16	15/16	12/8	1	2	1/16	1/16	1		-4	68	Ab4	4	13
1	1	4	4	0.25	1	1	12/8	1	2	1/16	1/16	1		0	60	C4	4	14
1	1	4	4	0.5	1	1	12/8	2	1	1/8	1/8	1		-4	80	Ab5	5	25
1	1	17/4	17/4	0.25	17/16	17/16	12/8	1	2	1/16	1/16	1		-3	63	Eb4	4	15
1	1	9/2	9/2	0.25	9/8	9/8	12/8	1	2	1/16	1/16	1		-4	68	Ab4	4	16
1	1	9/2	9/2	1.0	9/8	9/8	12/8	1	1	1/4	1/4	1		-2	70	Bb4	4	3
1	1	19/4	19/4	0.25	19/16	19/16	12/8	1	2	1/16	1/16	1		-5	61	Db4	4	17
1	1	5	5	0.5	5/4	5/4	12/8	2	1	1/8	1/8	1		-3	51	Eb3	3	26
1	1	5	5	0.25	5/4	5/4	12/8	1	2	1/16	1/16	1		-3	63	Eb4	4	18
1	1	21/4	21/4	0.25	21/16	21/16	12/8	1	2	1/16	1/16	1		1	67	G4	4	19
1	1	11/2	11/2	0.25	11/8	11/8	12/8	1	2	1/16	1/16	1		-5	61	Db4	4	20
1	1	11/2	11/2	0.5	11/8	11/8	12/8	2	1	1/8	1/8	1		-3	75	Eb5	5	27
1	1	23/4	23/4	0.25	23/16	23/16	12/8	1	2	1/16	1/16	1		-3	63	Eb4	4	21
2	2	6	6	0.25	0	0	12/8	1	2	1/16	1/16	1		-2	70	Bb4	4	32
2	2	6	6	1.0	0	0	12/8	1	1	1/4	1/4	1		0	72	C5	5	28
