fname	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	harmony_version	annotated_key	annotators	reviewers	score_integrity	composed_start	composed_end	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	musescore	ms3_version	title_text	subtitle_text	lyricist_text	composer_text	has_drumset	ambitus	PDF	annotator	originalFormat	typesetter	subdirectory	rel_path	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument	staff_3_ambitus	staff_3_instrument	staff_4_ambitus	staff_4_instrument
160.01_Chapelle_de_Guillaume_Tell	1: 4/4	1: 0	97	97	388.0	97	97	388.0		1902.42	2879	1069	0	0	174	2.3.0	C	Adrian Nagel (2.1.1), Amelia Brey (2.3.0)	JH, AB, AN	Tom Schreyer	1848	1855	Franz Liszt	Au bord d'une source								2019-01-26	3.02	Microsoft Windows	https://musescore.com/score/3987861		3.6.2	1.0.2	ANNÉES DE PÈLERINAGE	Première Année - Suisse; 1. CHAPELLE DE GUILLAUME TELL	Concert Grand]	Franz Liszt	False	24-40 (C1-E2)	https://imslp.org/wiki/Special:ReverseLookup/176824		xml		MS3	MS3/160.01_Chapelle_de_Guillaume_Tell.mscx	40-40 (E2-E2)	Piano	24-24 (C1-C1)	Piano				
160.02_Au_Lac_de_Wallenstadt	1: 3/8, 102: 2/4	1: -4	112	112	173.5	112	112	173.5		512.13	1213	791	0	0	84	2.3.0	Ab	Adrian Nagel (2.1.1), Amelia Brey (2.3.0)	JH, AB, AN	Tom Schreyer	1848	1855	Franz Liszt	Au bord d'une source								2019-01-26	3.02	Microsoft Windows	http://musescore.com/user/2749876/scores/3987861		3.6.2	1.0.2	2. AU LAC DE WALLENSTADT		Concert Grand]	Franz Liszt	False	44-61 (Ab2-Db4)	https://imslp.org/wiki/Special:ReverseLookup/176824		mxl	https://musescore.com/user/2749876	MS3	MS3/160.02_Au_Lac_de_Wallenstadt.mscx	61-61 (Db4-Db4)	Piano	44-44 (Ab2-Ab2)	Piano				
160.03_Pastorale	1: 12/8, 12: 6/8, 25: 12/8, 35: 6/8	1: 4	49	48	206.0	49	48	206.0		705.0	984	484	0	0	200	2.3.0	E	Adrian Nagel (2.1.1), Amelia Brey (2.3.0)	JH, AB, AN	Tom Schreyer	1848	1855	Franz Liszt	Au bord d'une source								2019-01-26	3.02	Microsoft Windows	http://musescore.com/user/2749876/scores/4094931		3.6.2	1.0.2	3. PASTORALE			Franz Liszt	False	40-59 (E2-B3)	https://imslp.org/wiki/Special:ReverseLookup/176824		mxl	https://musescore.com/user/2749876	MS3	MS3/160.03_Pastorale.mscx	59-59 (B3-B3)	Piano	40-40 (E2-E2)	Piano				
160.04_Au_Bord_dUne_Source	1: 12/8	1: -4, 17: 4, 19: -4	66	66	396.0	66	66	396.0		1169.75	2785	1481	0	0	465	2.3.0	Ab	Adrian Nagel (2.1.1), Amelia Brey (2.3.0)	JH, AB, AN	Tom Schreyer	1848	1855	Franz Liszt	Au bord d'une source								2019-01-26	3.02	Microsoft Windows	http://musescore.com/user/2749876/scores/4078941		3.6.2	1.0.2	4. AU BORD D'UNE SOURCE		"In säuselnder Kühle
Beginnen die Spiele
Der jungen Natur.
                     "	Franz Liszt	False	32-39 (Ab1-Eb2)	https://imslp.org/wiki/Special:ReverseLookup/176824		mxl	https://musescore.com/user/2749876	MS3	MS3/160.04_Au_Bord_dUne_Source.mscx	39-39 (Eb2-Eb2)	Piano	32-32 (Ab1-Ab1)	Piano				
160.05_Orage	1: 2/2	1: -3, 39: 0, 57: 6, 75: 0, 94: -3	163	160	732.0	163	160	732.0		2811.25	4407	1574	0	0	307	2.3.0	c	Adrian Nagel (2.1.1), Amelia Brey (2.3.0)	JH, AB, AN	Tom Schreyer	1848	1855	Franz Liszt	Au bord d'une source								2019-01-26	3.02	Microsoft Windows			3.6.2	1.0.2	5. ORAGE		"But where of ye, O tempests! is the goal?
Are ye like those within the human breast?
Or do ye find, at length, like eagles, some high nest?
                                                                           "	Franz Liszt	False	23-47 (B0-B2)	https://imslp.org/wiki/Special:ReverseLookup/176824		xml		MS3	MS3/160.05_Orage.mscx	47-47 (B2-B2)	Piano	23-23 (B0-B0)	Piano				
160.06_Vallee_dObermann	1: 4/4	1: 1, 78: 0, 123: 1, 174: 4	221	216	899.25	221	216	899.25		3505.17	7378	2635	0	0	631	2.3.0	e	Adrian Nagel (2.1.1), Amelia Brey (2.3.0)	JH, AB, AN	Tom Schreyer	1848	1855	Franz Liszt	Au bord d'une source								2019-01-26	3.02	Microsoft Windows	http://musescore.com/user/2749876/scores/4078266		3.6.2	1.0.2	6. VALLÉE D'OBERMANN			Franz Liszt	False	23-33 (B0-A1)	https://imslp.org/wiki/Special:ReverseLookup/176824		mxl	https://musescore.com/user/2749876	MS3	MS3/160.06_Vallee_dObermann.mscx	33-33 (A1-A1)	Piano	23-23 (B0-B0)	Piano				
160.07_Eglogue	1: 4/4	1: -4	118	117	469.0	118	117	469.0		1927.67	1637	841	0	0	214	2.3.0	Ab	Adrian Nagel (2.1.1), Amelia Brey (2.3.0)	JH, AB, AN	Tom Schreyer	1848	1855	Franz Liszt	Au bord d'une source								2019-01-26	3.02	Microsoft Windows	http://musescore.com/user/2749876/scores/4083526		3.6.2	1.0.2	7. EGLOGUE		"The morn is up again, the dewy morn,
With breath all incense, and with cheek all bloom,
Laughing the clouds away with playful scorn,
And living as if earth contain'd no tomb, - ...
                                                                      "	Franz Liszt	False	32-56 (Ab1-Ab3)	https://imslp.org/wiki/Special:ReverseLookup/176824		mxl	https://musescore.com/user/2749876	MS3	MS3/160.07_Eglogue.mscx	56-56 (Ab3-Ab3)	Piano	32-32 (Ab1-Ab1)	Piano				
160.08_Le_Mal_du_Pays_(Heimweh)	1: 4/4, 20: 6/8, 27: 4/4, 47: 6/8, 66: 4/4	1: 1, 20: 5, 28: -2, 47: 2	70	70	254.0	70	70	254.0		723.0	1207	545	0	0	200	2.3.0	e	Adrian Nagel (2.1.1), Amelia Brey (2.3.0)	JH, AB, AN	Tom Schreyer	1848	1855	Franz Liszt	Au bord d'une source								2019-01-26	3.02	Microsoft Windows			3.6.2	1.0.2	"8. LE MAL DU PAYS
(Heimweh)
DE L'EXPRESSION ROMANTIQUE, ET DU RANZ DES VACHES"			Franz Liszt	False	28-47 (E1-B2)	https://imslp.org/wiki/Special:ReverseLookup/176824		xml		MS3	MS3/160.08_Le_Mal_du_Pays_(Heimweh).mscx	47-47 (B2-B2)	Piano	28-28 (E1-E1)	Piano				
160.09_Les_Cloches_de_Geneve_(Nocturne)	1: 6/8, 46: 2/4	1: 5	188	188	453.25	188	188	453.25		1146.25	1847	1194	0	0	205	2.3.0	B	Adrian Nagel (2.1.1), Amelia Brey (2.3.0)	JH, AB, AN	Tom Schreyer	1848	1855	Franz Liszt	Au bord d'une source								2019-01-26	3.02	Microsoft Windows			3.6.2	1.0.2	9. LES CLOCHES DE GENÈVE	Nocturne		Franz Liszt	False	25-42 (C#1-F#2)	https://imslp.org/wiki/Special:ReverseLookup/176824		mxl		MS3	MS3/160.09_Les_Cloches_de_Geneve_(Nocturne).mscx	42-42 (F#2-F#2)	Piano	25-25 (C#1-C#1)	Piano				
161.01_Sposalizio	1: 6/4, 27: 4/4, 29: 6/4	1: 4, 38: 1, 68: 4	133	133	794.0	133	133	794.0		3323.0	2367	1018	0	0	237	2.3.0	E	Adrian Nagel (2.1.1), Amelia Brey (2.3.0)	JH, AB, AN	Tom Schreyer	1846	1849	Gabriel Fauré	Nocturne No. 1								2019-01-26	3.02	Microsoft Windows	https://musescore.com/user/2749876/scores/5137056		3.6.2	1.0.2	Deuxième Année : Italie	1. Sposalizio		Franz Liszt.	False	28-47 (E1-B2)	https://imslp.org/wiki/Special:ReverseLookup/177125		xml	https://musescore.com/user/2749876	MS3	MS3/161.01_Sposalizio.mscx	47-47 (B2-B2)	Piano	28-28 (E1-E1)	Piano				
