mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	diminuendo_line	decrescendo_hairpin	Trill:trill	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va
1	1	0	0	0.0	0	0	Tempo	6/8	1	1	0								QuasiAllegretto	110.0			1.0								
1	1	0	0	0.0	0	0	Spanner	6/8	4	1	0																		0	0	
1	1	1/2	1/2	0.0	1/8	1/8	Dynamic	6/8	4	1	0					p													0	0	
1	1	1/2	1/2	0.0	1/8	1/8	StaffText	6/8	4	1	0							una corda e tranquillo											0	0	
1	1	1/2	1/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	0									0					0	0	
1	1	1	1	0.5	1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	1														0	0	
1	1	3/2	3/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	2									1					0	0	
1	1	2	2	0.5	1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	3									1					0	0	
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	4														0	0	
1	1	3/2	3/2	1.5	3/8	3/8	Chord	6/8	4	2	3/8		1/4	3/2	5														0	0	
2	2	3	3	0.0	0	0	Tempo	6/8	1	1	0								𝅘𝅥=120	120.0	𝅘𝅥	120.0	0.0								
2	2	5	5	0.0	1/2	1/2	Tempo	6/8	1	1	0								𝅘𝅥=130	130.0	𝅘𝅥	130.0	0.0								
2	2	9/2	9/2	0.0	3/8	3/8	Dynamic	6/8	3	1	0					other-dynamics															
2	2	5	5	0.25	1/2	1/2	Chord	6/8	3	1	1/16		1/16	1	6									2							
2	2	21/4	21/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16		1/16	1	7									2							
2	2	11/2	11/2	0.25	5/8	5/8	Chord	6/8	3	1	1/16		1/16	1	8									2							
2	2	23/4	23/4	0.25	11/16	11/16	Chord	6/8	3	1	1/16		1/16	1	9									2							
2	2	3	3	0.5	0	0	Chord	6/8	4	1	1/8		1/8	1	10									3					0	0	
2	2	7/2	7/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	11									3					0	0	
2	2	4	4	0.5	1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	12														0	0	
2	2	9/2	9/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	13									4					0	0	
2	2	5	5	0.5	1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	14									4					0	0	
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	15														0	0	
3	3	8	8	0.0	1/2	1/2	Tempo	6/8	1	1	0								𝅘𝅥=120	120.0	𝅘𝅥	120.0	0.0								
3	3	6	6	0.25	0	0	Chord	6/8	3	1	1/16		1/16	1	16									2							
3	3	25/4	25/4	0.25	1/16	1/16	Chord	6/8	3	1	1/16		1/16	1	17																
3	3	13/2	13/2	0.25	1/8	1/8	Chord	6/8	3	1	1/16		1/16	1	18									5							
3	3	27/4	27/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16		1/16	1	19									5							
3	3	7	7	0.25	1/4	1/4	Chord	6/8	3	1	1/16		1/16	1	20									5							
3	3	29/4	29/4	0.25	5/16	5/16	Chord	6/8	3	1	1/16		1/16	1	21									5							
3	3	15/2	15/2	0.25	3/8	3/8	Chord	6/8	3	1	1/16		1/16	1	22									5							
3	3	31/4	31/4	0.25	7/16	7/16	Chord	6/8	3	1	1/16		1/16	1	23																
3	3	8	8	0.25	1/2	1/2	Chord	6/8	3	1	1/16		1/16	1	24									6							
3	3	33/4	33/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16		1/16	1	25									6							
3	3	17/2	17/2	0.25	5/8	5/8	Chord	6/8	3	1	1/16		1/16	1	26									6							
3	3	35/4	35/4	0.25	11/16	11/16	Chord	6/8	3	1	1/16		1/16	1	27									6							
3	3	6	6	0.5	0	0	Chord	6/8	4	1	1/8		1/8	1	28									7					0	0	
3	3	13/2	13/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	29									7					0	0	
3	3	7	7	0.5	1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	30														0	0	
3	3	15/2	15/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	31									8					0	0	
3	3	8	8	0.5	1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	32									8					0	0	
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	33														0	0	
