mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	TextLine	TextLine_ritard.	TextLine_stringendo	decrescendo_hairpin	crescendo_line	crescendo_hairpin	diminuendo_line	Ottava:8va
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	85				16								
10	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	86				16								
10	9	36	36	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	87				16								
10	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	88				16								
11	10	37	37	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	89				14						1		
11	10	39	39	0.0	1/2	1/2	Spanner	4/4	1	1	0								14								
11	10	39	39	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	90				14								
11	10	81/2	81/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	91												
11	10	75/2	75/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	92				16								
11	10	38	38	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	93				16								
11	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	94				16								
11	10	39	39	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	95												
12	11	41	41	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	96				17								
12	11	43	43	0.0	1/2	1/2	Spanner	4/4	1	1	0								17						2		
12	11	43	43	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	97				17						2		
12	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	98				17						2		
12	11	44	44	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	99				17						2		
12	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	100										2		
12	11	42	42	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	101				18						2		
12	11	43	43	1.5	1/2	1/2	Chord	4/4	1	2	3/8		1/4	3/2	102										2		
12	11	83/2	83/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	103				19								
12	11	42	42	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	104				19								
12	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	105				19								
12	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	106				19								
12	11	44	44	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	107				19								
12	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	108				19								
13	12	45	45	0.0	0	0	Spanner	4/4	1	1	0																
13	12	45	45	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	109		articAccentAbove		20								
13	12	47	47	0.0	1/2	1/2	StaffText	4/4	1	1	0							riten.	20								
13	12	47	47	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	110				20								
13	12	48	48	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	111												
13	12	91/2	91/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	112				19								
13	12	46	46	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	113				19								
13	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	114				19								
13	12	47	47	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	115												
14	13	49	49	0.0	0	0	Spanner	4/4	1	1	0												1				
14	13	49	49	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	116				21				1				
14	13	99/2	99/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	117				21				1				
14	13	101/2	101/2	0.0	3/8	3/8	Spanner	4/4	1	1	0								21								
14	13	101/2	101/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	118				21								
14	13	51	51	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	119				21								
14	13	103/2	103/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	120				21								
14	13	52	52	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	121				21								
14	13	105/2	105/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	122												
14	13	99/2	99/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	123				22								
14	13	50	50	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	124				22								
14	13	101/2	101/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	125				22								
14	13	51	51	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	126				22								
14	13	103/2	103/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	127				22								
14	13	52	52	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	128				22								
14	13	105/2	105/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	129												
14	13	49	49	4.0	0	0	Chord	4/4	2	2	1		1	1	130												
15	14	53	53	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	131				23								
15	14	54	54	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	132												
15	14	55	55	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	133		articAccentAbove		24								
15	14	56	56	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	134												
15	14	107/2	107/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	135				25								
15	14	54	54	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	136				25								
15	14	109/2	109/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	137				25								
15	14	55	55	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	138				25								
15	14	111/2	111/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	139				25								
15	14	56	56	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	140				25								
15	14	113/2	113/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	141												
16	15	57	57	0.0	0	0	Spanner	4/4	1	1	0												2				
16	15	57	57	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	142				26				2				
16	15	115/2	115/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	143				26				2				
16	15	117/2	117/2	0.0	3/8	3/8	Spanner	4/4	1	1	0								26								
16	15	117/2	117/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	144				26								
16	15	59	59	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	145				26								
16	15	119/2	119/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	146				26								
16	15	60	60	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	147				26								
16	15	243/4	243/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	148												
16	15	115/2	115/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	149												
16	15	58	58	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	150												
16	15	117/2	117/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	151												
16	15	59	59	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	152												
16	15	119/2	119/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	153												
16	15	60	60	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	154												
16	15	121/2	121/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	155												
16	15	57	57	4.0	0	0	Chord	4/4	2	2	1		1	1	156												
17	16	61	61	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	157				27								
17	16	62	62	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	158												
17	16	63	63	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	159		articAccentAbove		28								
17	16	64	64	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	160												
17	16	123/2	123/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	161												
17	16	62	62	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	162												
17	16	125/2	125/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	163												
17	16	63	63	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	164												
17	16	127/2	127/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	165												
17	16	64	64	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	166												
17	16	129/2	129/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	167												
18	17	65	65	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	168				29								
18	17	131/2	131/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	169				29								
18	17	133/2	133/2	0.0	3/8	3/8	Spanner	4/4	1	1	0								29					0			
18	17	133/2	133/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	170				29					0			
18	17	67	67	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	171				29					0			
18	17	135/2	135/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	172				29					0			
18	17	68	68	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	173				29					0			
18	17	137/2	137/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	174				29					0			
18	17	131/2	131/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	175												
18	17	66	66	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	176												
18	17	133/2	133/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	177												
18	17	135/2	135/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	178												
18	17	68	68	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	179												
18	17	137/2	137/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	180												
19	18	69	69	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	181				29					0			
19	18	70	70	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	182				29					0			
19	18	72	72	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	183									0			
19	18	139/2	139/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	184												
19	18	70	70	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	185												
19	18	141/2	141/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	186												
19	18	143/2	143/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	187												
19	18	72	72	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	188												
19	18	145/2	145/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	189												
20	19	73	73	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	190				30					0			
20	19	147/2	147/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	191				30					0			
20	19	149/2	149/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	192				30					0			
20	19	75	75	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	193				30					0			
20	19	151/2	151/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	194				30					0			
20	19	76	76	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	195				30					0			
20	19	153/2	153/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	196									0			
20	19	147/2	147/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	197												
20	19	74	74	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	198												
20	19	149/2	149/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	199												
20	19	151/2	151/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	200												
20	19	76	76	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	201												
20	19	153/2	153/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	202												
21	20	77	77	0.0	0	0	StaffText	4/4	1	1	0							rinforz.									
21	20	77	77	0.0	0	0	Spanner	4/4	1	1	0																
21	20	77	77	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	203				31								
21	20	155/2	155/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	204				31								
21	20	157/2	157/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	205				31								
21	20	79	79	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	206				31								
21	20	159/2	159/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	207				31								
21	20	80	80	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	208				31								
21	20	161/2	161/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	209												
21	20	155/2	155/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	210				32								
21	20	78	78	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	211				32								
21	20	157/2	157/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	212				32								
21	20	79	79	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	213				32								
21	20	159/2	159/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	214				32								
21	20	80	80	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	215				32								
21	20	161/2	161/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	216												
21	20	77	77	4.0	0	0	Chord	4/4	2	2	1		1	1	217												
22	21	81	81	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	218				33								
22	21	163/2	163/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	219				33								
22	21	165/2	165/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	220				33								
22	21	83	83	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	221				33								
22	21	167/2	167/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	222				33								
22	21	84	84	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	223				33								
22	21	169/2	169/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	224												
22	21	81	81	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	225												
22	21	81	81	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	226				34								
22	21	163/2	163/2	1.0	1/8	1/8	Chord	4/4	2	1	1/4		1/4	1	227				34								
22	21	165/2	165/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	228				34								
22	21	83	83	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	229				34								
22	21	167/2	167/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	230				34								
22	21	84	84	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	231				34								
22	21	169/2	169/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	232												
22	21	81	81	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	233												
23	22	85	85	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	234				35								
23	22	86	86	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	235				35								
23	22	87	87	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	236				35								
23	22	88	88	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	237												
23	22	85	85	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	238				36								
23	22	86	86	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	239				36								
23	22	87	87	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	240				36								
23	22	88	88	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	241												
24	23	89	89	0.0	0	0	StaffText	4/4	1	1	0							ritard.									
24	23	89	89	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	242				37								
24	23	90	90	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	243				37								
24	23	91	91	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	244				37								
24	23	92	92	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	245												
24	23	89	89	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	246				38								
24	23	90	90	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	247				38								
24	23	91	91	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	248				38								
24	23	92	92	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	249												
25	24	93	93	4.0	0	0	Chord	4/4	1	1	1		1	1	250				39								
25	24	93	93	4.0	0	0	Chord	4/4	2	1	1		1	1	251				40								
26	25	97	97	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	252												
26	25	97	97	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	253												
27	25	100	100	0.0	0	3/4	Dynamic	4/4	1	1	0					p											
27	25	100	100	0.0	0	3/4	StaffText	4/4	1	1	0							Più lento									
27	25	100	100	1.0	0	3/4	Chord	4/4	1	1	1/4		1/4	1	254				41								
27	25	100	100	1.0	0	3/4	Chord	4/4	2	1	1/4		1/4	1	255												
28	26	101	101	0.0	0	0	Spanner	4/4	1	1	0								41						3		
28	26	101	101	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	256				41						3		
28	26	102	102	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	257				41						3		
28	26	104	104	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	258				41						3		
28	26	101	101	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	259										3		
28	26	103	103	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	260										3		
28	26	101	101	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	261												
28	26	103	103	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	262												
29	27	105	105	0.0	0	0	Spanner	4/4	1	1	0								41								
29	27	105	105	0.0	0	0	Spanner	4/4	1	1	0								41				3				
29	27	105	105	4.0	0	0	Chord	4/4	1	1	1		1	1	263				41				3				
