mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	TextLine	TextLine_ritard.	TextLine_stringendo	decrescendo_hairpin	crescendo_line	crescendo_hairpin	diminuendo_line	Ottava:8va
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0							Lento assai									
1	1	1/2	1/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	0				0								
1	1	1	1	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	1				0								
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	2				0								
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	3				0								
1	1	3	3	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	4				0								
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	5												
1	1	0	0	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""12""/>espressivo"									
1	1	0	0	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	6				1								
1	1	1/2	1/2	1.0	1/8	1/8	Chord	4/4	2	1	1/4		1/4	1	7				1								
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	8				1								
1	1	2	2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	9				1								
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	10				1								
1	1	3	3	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	11				1								
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	12				1								
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	13				2								
2	2	5	5	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	14				2								
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	15				2								
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	16				2								
2	2	7	7	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	17				2								
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	18												
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	19				1								
2	2	5	5	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	20												
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	21				3								
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	22				4								
3	3	9	9	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	23				4								
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	24												
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	25				5								
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	26												
3	3	8	8	0.0	0	0	Spanner	4/4	2	1	0								3				0				
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	27				3				0				
3	3	9	9	0.75	1/4	1/4	Chord	4/4	2	1	3/16		1/8	3/2	28				3				0				
3	3	39/4	39/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	29				3				0				
3	3	10	10	0.0	1/2	1/2	Spanner	4/4	2	1	0								3								
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	30				3								
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	31				3								
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	32				6								
4	4	13	13	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	33				6								
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	34				6								
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	35												
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	36				3								
4	4	14	14	0.0	1/2	1/2	Spanner	4/4	2	1	0								3						0		
4	4	14	14	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	37				3						0		
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	38				3						0		
4	4	15	15	0.75	3/4	3/4	Chord	4/4	2	1	3/16		1/8	3/2	39				3						0		
4	4	63/4	63/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	40										0		
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	41				7								
5	5	17	17	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	42				7								
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	43				7								
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	44				7								
5	5	19	19	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	45				7								
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	46												
5	5	16	16	0.0	0	0	Spanner	4/4	2	1	0																
5	5	16	16	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	47				8								
5	5	33/2	33/2	1.0	1/8	1/8	Chord	4/4	2	1	1/4		1/4	1	48		articAccentAbove		8								
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	49				8								
5	5	18	18	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	50				8								
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	51				8								
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	52				8								
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	53				8								
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	54				9								
6	6	21	21	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	55				9								
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	56				9								
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	57				9								
6	6	23	23	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	58				9								
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	59												
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	60				8								
6	6	21	21	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	61												
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	62				10								
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	63				11								
7	7	25	25	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	64				11								
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	65												
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	66				12								
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	67												
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	68		articAccentAbove		10								
7	7	25	25	0.75	1/4	1/4	Chord	4/4	2	1	3/16		1/8	3/2	69				10								
7	7	103/4	103/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	70				10								
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	71				10								
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	72				10								
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	73				13								
8	8	29	29	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	74				13								
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	75				13								
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	76												
8	8	28	28	3.0	0	0	Chord	4/4	2	1	3/4		1/2	3/2	77												
9	8	32	32	0.0	0	0	StaffText	4/4	1	1	0							"<font size=""12""/>sotto voce"									
9	8	32	32	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	78												
10	9	33	33	3.5	0	0	Chord	4/4	1	1	7/8		1/2	7/4	79				14								
10	9	73/2	73/2	0.0	7/8	7/8	Spanner	4/4	1	1	0								14						1		
10	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	80				14						1		
10	9	34	34	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	81				15						1		
10	9	35	35	1.5	1/2	1/2	Chord	4/4	1	2	3/8		1/4	3/2	82										1		
10	9	67/2	67/2	0.0	1/8	1/8	Dynamic	4/4	2	1	0					p											
10	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	83				16								
10	9	34	34	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	84				16								
