mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	TextLine	TextLine_ritard.	crescendo_hairpin	crescendo_line	decrescendo_hairpin	Ottava:8va
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	38										
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	39										
7	7	27	27	0.75	3/4	3/4	Chord	4/4	1	2	3/16		1/8	3/2	40										
7	7	111/4	111/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	41										
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	42										
7	7	111/4	111/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	43										
8	8	28	28	0.0	0	0	Dynamic	4/4	1	1	0					ff									
8	8	28	28	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	44				8						
8	8	30	30	1.75	1/2	1/2	Chord	4/4	1	1	7/16		1/4	7/4	45				8						
8	8	127/4	127/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	46										
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	47				9						
8	8	30	30	1.75	1/2	1/2	Chord	4/4	2	1	7/16		1/4	7/4	48				9						
8	8	127/4	127/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	49										
9	9	32	32	3.0	0	0	Chord	4/4	1	1	3/4		1/2	3/2	50		articMarcatoAbove								
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	51										
9	9	32	32	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	52				10						
9	9	34	34	0.6666666666666666	1/2	1/2	Chord	4/4	2	1	1/6		1/4	2/3	53				10						
9	9	104/3	104/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	54				10						
9	9	35	35	0.6666666666666666	3/4	3/4	Chord	4/4	2	1	1/6		1/4	2/3	55				10						
9	9	107/3	107/3	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	56										
10	10	36	36	0.0	0	0	StaffText	4/4	1	1	0							"<font size=""12""/>espressivo"							
10	10	36	36	0.6666666666666666	0	0	Chord	4/4	1	1	1/6		1/4	2/3	57		articStaccatoBelow								
10	10	110/3	110/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	1	1/12		1/8	2/3	58		articStaccatoBelow								
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	59		articAccentAbove								
10	10	38	38	0.6666666666666666	1/2	1/2	Chord	4/4	1	1	1/6		1/4	2/3	60										
10	10	116/3	116/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	1	1/12		1/8	2/3	61										
10	10	39	39	0.6666666666666666	3/4	3/4	Chord	4/4	1	1	1/6		1/4	2/3	62										
10	10	119/3	119/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	63										
10	10	37	37	2.0	1/4	1/4	Chord	4/4	1	2	1/2		1/2	1	64				11						
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	65				11						
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	66										
10	10	37	37	0.6666666666666666	1/4	1/4	Chord	4/4	2	1	1/6		1/4	2/3	67										
10	10	113/3	113/3	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	68										
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	69										
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	70										
11	11	40	40	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	71										
11	11	131/3	131/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	72										
11	11	40	40	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	73										
11	11	40	40	1.5	0	0	Chord	4/4	2	2	3/8		1/4	3/2	74				12						
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	75				12						
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	76				12						
11	11	43	43	0.6666666666666666	3/4	3/4	Chord	4/4	2	2	1/6		1/4	2/3	77				12						
11	11	131/3	131/3	0.3333333333333333	11/12	11/12	Chord	4/4	2	2	1/12		1/8	2/3	78										
12	12	44	44	0.6666666666666666	0	0	Chord	4/4	1	1	1/6		1/4	2/3	79		articStaccatoBelow								
12	12	134/3	134/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	1	1/12		1/8	2/3	80		articStaccatoBelow								
12	12	45	45	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	81										
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	82										
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	83				13						
12	12	46	46	0.6666666666666666	1/2	1/2	Chord	4/4	1	2	1/6		1/4	2/3	84				13						
12	12	140/3	140/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	2	1/12		1/8	2/3	85				13						
12	12	47	47	0.6666666666666666	3/4	3/4	Chord	4/4	1	2	1/6		1/4	2/3	86				13						
12	12	143/3	143/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	2	1/12		1/8	2/3	87										
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	88										
12	12	45	45	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	89										
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	90										
13	13	48	48	0.0	0	0	StaffText	4/4	1	1	0							"<font size=""12""/>dolce"							
13	13	48	48	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	91				14						
13	13	50	50	1.75	1/2	1/2	Chord	4/4	1	1	7/16		1/4	7/4	92				14						
13	13	207/4	207/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	93										
13	13	48	48	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	94				15						
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	95				15						
13	13	49	49	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	96				15						
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	97										
13	13	50	50	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	98				16						
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	99				16						
13	13	51	51	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	100				16						
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	101										
13	13	48	48	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	102										
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	103										
14	14	52	52	0.0	0	0	StaffText	4/4	1	1	0							"<font size=""12""/>rinforz."							
14	14	52	52	3.0	0	0	Chord	4/4	1	1	3/4		1/2	3/2	104		articMarcatoAbove								
14	14	55	55	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	105				17						
14	14	52	52	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	106				18						
14	14	105/2	105/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	107				18						
14	14	53	53	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	108				18						
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	109										
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	110										
14	14	55	55	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	111				19						
14	14	52	52	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	112										
15	15	56	56	0.0	0	0	Spanner	4/4	1	1	0								17					1	
15	15	56	56	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	113				17					1	
15	15	57	57	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	114				17					1	
15	15	59	59	0.6666666666666666	3/4	3/4	Chord	4/4	1	1	1/6		1/4	2/3	115				17					1	
15	15	179/3	179/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	116				17					1	
15	15	56	56	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	117				19						
15	15	57	57	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	118				19						
15	15	59	59	0.6666666666666666	3/4	3/4	Chord	4/4	2	1	1/6		1/4	2/3	119				19						
15	15	179/3	179/3	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	120				19						
16	16	60	60	0.0	0	0	Spanner	4/4	1	1	0														
16	16	60	60	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	121										
16	16	60	60	1.75	0	0	Chord	4/4	2	1	7/16		1/4	7/4	122										
16	16	247/4	247/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	123										
16	16	62	62	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	124		articStaccatoBelow		20						
16	16	63	63	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	125		articStaccatoBelow								
17	17	64	64	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	126				21						
17	17	66	66	0.0	1/2	1/2	Spanner	4/4	1	1	0								21			2			
17	17	66	66	1.75	1/2	1/2	Chord	4/4	1	1	7/16		1/4	7/4	127				21			2			
17	17	271/4	271/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	128							2			
17	17	64	64	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	129				22						
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	130				22						
17	17	65	65	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	131				22						
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	132										
17	17	66	66	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	133				23						
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	134				23						
17	17	67	67	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	135				23						
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	136										
17	17	64	64	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	137										
17	17	66	66	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	138										
18	18	68	68	0.0	0	0	Dynamic	4/4	1	1	0					sf									
18	18	68	68	0.0	0	0	Spanner	4/4	1	1	0														
18	18	68	68	3.0	0	0	Chord	4/4	1	1	3/4		1/2	3/2	139										
18	18	71	71	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	140		articAccentAbove								
18	18	68	68	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	141										
18	18	68	68	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	142				24						
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	143				24						
18	18	69	69	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	144				24						
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	145										
18	18	70	70	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	146										
18	18	71	71	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	147										
18	18	68	68	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	148										
19	19	72	72	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	149										
19	19	73	73	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	150				25						
19	19	75	75	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	151				25						
19	19	73	73	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	152										
19	19	74	74	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	153										
19	19	149/2	149/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	154										
19	19	75	75	0.75	3/4	3/4	Chord	4/4	1	2	3/16		1/8	3/2	155										
19	19	303/4	303/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	156										
19	19	72	72	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	157										
19	19	73	73	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	158										
19	19	74	74	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	159										
19	19	149/2	149/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	160										
19	19	75	75	0.75	3/4	3/4	Chord	4/4	2	1	3/16		1/8	3/2	161										
19	19	303/4	303/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	162										
19	19	73	73	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	163				26						
19	19	74	74	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	164				26						
20	20	76	76	3.0	0	0	Chord	4/4	1	1	3/4		1/2	3/2	165										
20	20	76	76	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	166										
20	20	76	76	3.0	0	0	Chord	4/4	2	1	3/4		1/2	3/2	167										
20	20	76	76	3.0	0	0	Chord	4/4	2	2	3/4		1/2	3/2	168										
21	21	663/8	663/8	0.0	23/32	23/32	Dynamic	4/4	1	1	0					f									
21	21	663/8	663/8	0.0	23/32	23/32	StaffText	4/4	1	1	0							"<font size=""12""/>marcato"							
21	21	663/8	663/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	169										
21	21	83	83	0.875	3/4	3/4	Chord	4/4	1	1	7/32		1/8	7/4	170										
21	21	671/8	671/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	171										
21	21	80	80	0.0	0	0	Dynamic	4/4	2	1	0					pp									
21	21	80	80	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""12""/>tremolando sempre"							
21	21	80	80	0.125	0	0	Chord	4/4	2	1	1/32		1/32	1	172										
21	21	641/8	641/8	0.125	1/32	1/32	Chord	4/4	2	1	1/32		1/32	1	173										
21	21	321/4	321/4	0.125	1/16	1/16	Chord	4/4	2	1	1/32		1/32	1	174										
21	21	643/8	643/8	0.125	3/32	3/32	Chord	4/4	2	1	1/32		1/32	1	175										
21	21	161/2	161/2	0.125	1/8	1/8	Chord	4/4	2	1	1/32		1/32	1	176										
21	21	645/8	645/8	0.125	5/32	5/32	Chord	4/4	2	1	1/32		1/32	1	177										
21	21	323/4	323/4	0.125	3/16	3/16	Chord	4/4	2	1	1/32		1/32	1	178										
21	21	647/8	647/8	0.125	7/32	7/32	Chord	4/4	2	1	1/32		1/32	1	179										
21	21	81	81	0.125	1/4	1/4	Chord	4/4	2	1	1/32		1/32	1	180										
21	21	649/8	649/8	0.125	9/32	9/32	Chord	4/4	2	1	1/32		1/32	1	181										
21	21	325/4	325/4	0.125	5/16	5/16	Chord	4/4	2	1	1/32		1/32	1	182										
21	21	651/8	651/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	183										
21	21	163/2	163/2	0.125	3/8	3/8	Chord	4/4	2	1	1/32		1/32	1	184										
21	21	653/8	653/8	0.125	13/32	13/32	Chord	4/4	2	1	1/32		1/32	1	185										
21	21	327/4	327/4	0.125	7/16	7/16	Chord	4/4	2	1	1/32		1/32	1	186										
21	21	655/8	655/8	0.125	15/32	15/32	Chord	4/4	2	1	1/32		1/32	1	187										
21	21	82	82	0.125	1/2	1/2	Chord	4/4	2	1	1/32		1/32	1	188										
21	21	657/8	657/8	0.125	17/32	17/32	Chord	4/4	2	1	1/32		1/32	1	189										
21	21	329/4	329/4	0.125	9/16	9/16	Chord	4/4	2	1	1/32		1/32	1	190										
21	21	659/8	659/8	0.125	19/32	19/32	Chord	4/4	2	1	1/32		1/32	1	191										
21	21	165/2	165/2	0.125	5/8	5/8	Chord	4/4	2	1	1/32		1/32	1	192										
21	21	661/8	661/8	0.125	21/32	21/32	Chord	4/4	2	1	1/32		1/32	1	193										
21	21	331/4	331/4	0.125	11/16	11/16	Chord	4/4	2	1	1/32		1/32	1	194										
21	21	663/8	663/8	0.125	23/32	23/32	Chord	4/4	2	1	1/32		1/32	1	195										
21	21	83	83	0.125	3/4	3/4	Chord	4/4	2	1	1/32		1/32	1	196										
21	21	665/8	665/8	0.125	25/32	25/32	Chord	4/4	2	1	1/32		1/32	1	197										
21	21	333/4	333/4	0.125	13/16	13/16	Chord	4/4	2	1	1/32		1/32	1	198										
21	21	667/8	667/8	0.125	27/32	27/32	Chord	4/4	2	1	1/32		1/32	1	199										
21	21	167/2	167/2	0.125	7/8	7/8	Chord	4/4	2	1	1/32		1/32	1	200										
21	21	669/8	669/8	0.125	29/32	29/32	Chord	4/4	2	1	1/32		1/32	1	201										
21	21	335/4	335/4	0.125	15/16	15/16	Chord	4/4	2	1	1/32		1/32	1	202										
21	21	671/8	671/8	0.125	31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	203										
22	22	84	84	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	204		articMarcatoAbove								
22	22	695/8	695/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	205										
22	22	87	87	0.875	3/4	3/4	Chord	4/4	1	1	7/32		1/8	7/4	206										
22	22	703/8	703/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	207										
22	22	84	84	0.125	0	0	Chord	4/4	2	1	1/32		1/32	1	208										
22	22	673/8	673/8	0.125	1/32	1/32	Chord	4/4	2	1	1/32		1/32	1	209										
22	22	337/4	337/4	0.125	1/16	1/16	Chord	4/4	2	1	1/32		1/32	1	210										
22	22	675/8	675/8	0.125	3/32	3/32	Chord	4/4	2	1	1/32		1/32	1	211										
22	22	169/2	169/2	0.125	1/8	1/8	Chord	4/4	2	1	1/32		1/32	1	212										
22	22	677/8	677/8	0.125	5/32	5/32	Chord	4/4	2	1	1/32		1/32	1	213										
22	22	339/4	339/4	0.125	3/16	3/16	Chord	4/4	2	1	1/32		1/32	1	214										
22	22	679/8	679/8	0.125	7/32	7/32	Chord	4/4	2	1	1/32		1/32	1	215										
22	22	85	85	0.125	1/4	1/4	Chord	4/4	2	1	1/32		1/32	1	216										
22	22	681/8	681/8	0.125	9/32	9/32	Chord	4/4	2	1	1/32		1/32	1	217										
22	22	341/4	341/4	0.125	5/16	5/16	Chord	4/4	2	1	1/32		1/32	1	218										
22	22	683/8	683/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	219										
22	22	171/2	171/2	0.125	3/8	3/8	Chord	4/4	2	1	1/32		1/32	1	220										
22	22	685/8	685/8	0.125	13/32	13/32	Chord	4/4	2	1	1/32		1/32	1	221										
22	22	343/4	343/4	0.125	7/16	7/16	Chord	4/4	2	1	1/32		1/32	1	222										
22	22	687/8	687/8	0.125	15/32	15/32	Chord	4/4	2	1	1/32		1/32	1	223										
22	22	86	86	0.125	1/2	1/2	Chord	4/4	2	1	1/32		1/32	1	224										
22	22	689/8	689/8	0.125	17/32	17/32	Chord	4/4	2	1	1/32		1/32	1	225										
22	22	345/4	345/4	0.125	9/16	9/16	Chord	4/4	2	1	1/32		1/32	1	226										
22	22	691/8	691/8	0.125	19/32	19/32	Chord	4/4	2	1	1/32		1/32	1	227										
22	22	173/2	173/2	0.125	5/8	5/8	Chord	4/4	2	1	1/32		1/32	1	228										
22	22	693/8	693/8	0.125	21/32	21/32	Chord	4/4	2	1	1/32		1/32	1	229										
22	22	347/4	347/4	0.125	11/16	11/16	Chord	4/4	2	1	1/32		1/32	1	230										
22	22	695/8	695/8	0.125	23/32	23/32	Chord	4/4	2	1	1/32		1/32	1	231										
22	22	87	87	0.125	3/4	3/4	Chord	4/4	2	1	1/32		1/32	1	232										
22	22	697/8	697/8	0.125	25/32	25/32	Chord	4/4	2	1	1/32		1/32	1	233										
22	22	349/4	349/4	0.125	13/16	13/16	Chord	4/4	2	1	1/32		1/32	1	234										
22	22	699/8	699/8	0.125	27/32	27/32	Chord	4/4	2	1	1/32		1/32	1	235										
22	22	175/2	175/2	0.125	7/8	7/8	Chord	4/4	2	1	1/32		1/32	1	236										
22	22	701/8	701/8	0.125	29/32	29/32	Chord	4/4	2	1	1/32		1/32	1	237										
22	22	351/4	351/4	0.125	15/16	15/16	Chord	4/4	2	1	1/32		1/32	1	238										
22	22	703/8	703/8	0.125	31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	239										
23	23	88	88	3.0	0	0	Chord	4/4	1	1	3/4		1/2	3/2	240		articMarcatoAbove		27						
23	23	91	91	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	241				27						
23	23	88	88	0.125	0	0	Chord	4/4	2	1	1/32		1/32	1	242										
23	23	705/8	705/8	0.125	1/32	1/32	Chord	4/4	2	1	1/32		1/32	1	243										
23	23	353/4	353/4	0.125	1/16	1/16	Chord	4/4	2	1	1/32		1/32	1	244										
23	23	707/8	707/8	0.125	3/32	3/32	Chord	4/4	2	1	1/32		1/32	1	245										
23	23	177/2	177/2	0.125	1/8	1/8	Chord	4/4	2	1	1/32		1/32	1	246										
23	23	709/8	709/8	0.125	5/32	5/32	Chord	4/4	2	1	1/32		1/32	1	247										
23	23	355/4	355/4	0.125	3/16	3/16	Chord	4/4	2	1	1/32		1/32	1	248										
23	23	711/8	711/8	0.125	7/32	7/32	Chord	4/4	2	1	1/32		1/32	1	249										
23	23	89	89	0.125	1/4	1/4	Chord	4/4	2	1	1/32		1/32	1	250										
23	23	713/8	713/8	0.125	9/32	9/32	Chord	4/4	2	1	1/32		1/32	1	251										
23	23	357/4	357/4	0.125	5/16	5/16	Chord	4/4	2	1	1/32		1/32	1	252										
23	23	715/8	715/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	253										
23	23	179/2	179/2	0.125	3/8	3/8	Chord	4/4	2	1	1/32		1/32	1	254										
23	23	717/8	717/8	0.125	13/32	13/32	Chord	4/4	2	1	1/32		1/32	1	255										
23	23	359/4	359/4	0.125	7/16	7/16	Chord	4/4	2	1	1/32		1/32	1	256										
23	23	719/8	719/8	0.125	15/32	15/32	Chord	4/4	2	1	1/32		1/32	1	257										
23	23	90	90	0.125	1/2	1/2	Chord	4/4	2	1	1/32		1/32	1	258										
23	23	721/8	721/8	0.125	17/32	17/32	Chord	4/4	2	1	1/32		1/32	1	259										
23	23	361/4	361/4	0.125	9/16	9/16	Chord	4/4	2	1	1/32		1/32	1	260										
23	23	723/8	723/8	0.125	19/32	19/32	Chord	4/4	2	1	1/32		1/32	1	261										
23	23	181/2	181/2	0.125	5/8	5/8	Chord	4/4	2	1	1/32		1/32	1	262										
23	23	725/8	725/8	0.125	21/32	21/32	Chord	4/4	2	1	1/32		1/32	1	263										
