mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	crescendo_hairpin	decrescendo_hairpin	Ottava:8va	Ottava:8vb
13	13	48	48	0.0	0	0	Chord	4/4	1	1	0	acciaccatura		1/8	1	54														
13	13	48	48	0.0	0	0	Chord	4/4	1	1	0	acciaccatura		1/8	1	55														
13	13	48	48	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	56														
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	57														
13	13	48	48	0.0	0	0	Spanner	4/4	2	1	0															4				
13	13	48	48	0.0	0	0	Chord	4/4	2	1	0	acciaccatura		1/8	1	58										4				
13	13	48	48	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	59										4				
13	13	50	50	0.0	1/2	1/2	Chord	4/4	2	1	0	acciaccatura		1/8	1	60										4				
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	61										4				
14	14	52	52	0.0	0	0	Chord	4/4	1	1	0	acciaccatura		1/8	1	62														
14	14	52	52	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	63		articStaccatissimoAbove												
14	14	105/2	105/2	0.0	1/8	1/8	Chord	4/4	1	1	0	acciaccatura		1/8	1	64														
14	14	105/2	105/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	65														
14	14	53	53	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	66		articStaccatissimoAbove												
14	14	55	55	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	67		articStaccatissimoBelow												
14	14	52	52	0.0	0	0	Chord	4/4	2	1	0	acciaccatura		1/8	1	68										4				
14	14	52	52	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	69		articStaccatissimoBelow								4				
14	14	53	53	0.0	1/4	1/4	Chord	4/4	2	1	0	acciaccatura		1/8	1	70										4				
14	14	53	53	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	71		articStaccatissimoBelow								4				
14	14	54	54	0.0	1/2	1/2	Spanner	4/4	2	1	0																			
14	14	55	55	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	72		articStaccatissimoBelow												
15	15	56	56	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	73		articStaccatissimoBelow												
15	15	56	56	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	74		articStaccatissimoBelow												
16	16	60	60	0.0	0	0	Chord	4/4	1	1	0	acciaccatura		1/8	1	75														
16	16	60	60	0.0	0	0	Chord	4/4	1	1	0	acciaccatura		1/8	1	76														
16	16	60	60	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	77														
16	16	62	62	0.0	1/2	1/2	Spanner	4/4	1	1	0																		0	
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	78													0	
16	16	60	60	0.0	0	0	Spanner	4/4	2	1	0															5				
16	16	60	60	0.0	0	0	Chord	4/4	2	1	0	acciaccatura		1/8	1	79										5				
16	16	60	60	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	80										5				
16	16	62	62	0.0	1/2	1/2	Chord	4/4	2	1	0	acciaccatura		1/8	1	81										5				
16	16	62	62	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	82										5				
17	17	64	64	0.0	0	0	Chord	4/4	1	1	0	acciaccatura		1/8	1	83													0	
17	17	64	64	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	84		articStaccatissimoAbove											0	
17	17	129/2	129/2	0.0	1/8	1/8	Chord	4/4	1	1	0	acciaccatura		1/8	1	85													0	
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	86													0	
17	17	65	65	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	87		articStaccatissimoAbove											0	
17	17	131/2	131/2	0.0	3/8	3/8	Spanner	4/4	1	1	0																			
17	17	67	67	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	88		articStaccatissimoBelow												
17	17	64	64	0.0	0	0	Chord	4/4	2	1	0	acciaccatura		1/8	1	89										5				
17	17	64	64	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	90		articStaccatissimoAbove								5				
17	17	65	65	0.0	1/4	1/4	Chord	4/4	2	1	0	acciaccatura		1/8	1	91										5				
17	17	65	65	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	92		articStaccatissimoBelow								5				
17	17	131/2	131/2	0.0	3/8	3/8	Spanner	4/4	2	1	0																			
17	17	67	67	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	93		articStaccatissimoBelow												
18	18	68	68	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	94		articStaccatissimoBelow												
18	18	137/2	137/2	0.0	1/8	1/8	Chord	4/4	1	1	0	acciaccatura		1/8	1	95														
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	96														
18	18	69	69	0.0	1/4	1/4	Spanner	4/4	1	1	0																		1	
18	18	69	69	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	97		articStaccatissimoBelow											1	
18	18	139/2	139/2	0.0	3/8	3/8	Chord	4/4	1	1	0	acciaccatura		1/8	1	98													1	
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	99													1	
18	18	70	70	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	100		articStaccatissimoBelow											1	
18	18	141/2	141/2	0.0	5/8	5/8	Spanner	4/4	1	1	0																			
18	18	68	68	0.0	0	0	Spanner	4/4	2	1	0															6				
18	18	68	68	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	101		articStaccatissimoBelow								6				
18	18	137/2	137/2	0.0	1/8	1/8	Chord	4/4	2	1	0	acciaccatura		1/8	1	102										6				
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	103										6				
18	18	69	69	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	104		articStaccatissimoBelow								6				
18	18	139/2	139/2	0.0	3/8	3/8	Chord	4/4	2	1	0	acciaccatura		1/8	1	105										6				
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	106										6				
18	18	70	70	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	107		articStaccatissimoAbove								6				
18	18	141/2	141/2	0.0	5/8	5/8	Spanner	4/4	2	1	0																			
19	19	72	72	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	108														
19	19	145/2	145/2	0.0	1/8	1/8	Chord	4/4	1	1	0	acciaccatura		1/8	1	109														
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	110														
19	19	73	73	0.0	1/4	1/4	Spanner	4/4	1	1	0																		2	
19	19	73	73	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	111													2	
19	19	147/2	147/2	0.0	3/8	3/8	Chord	4/4	1	1	0	acciaccatura		1/8	1	112													2	
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	113													2	
19	19	74	74	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	114													2	
19	19	75	75	0.0	3/4	3/4	Dynamic	4/4	1	1	0						ff												2	
19	19	303/4	303/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	115													2	
19	19	72	72	0.0	0	0	Spanner	4/4	2	1	0															7				
19	19	72	72	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	116										7				
19	19	145/2	145/2	0.0	1/8	1/8	Chord	4/4	2	1	0	acciaccatura		1/8	1	117										7				
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	118										7				
19	19	73	73	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	119										7				
19	19	147/2	147/2	0.0	3/8	3/8	Chord	4/4	2	1	0	acciaccatura		1/8	1	120										7				
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	121										7				
19	19	74	74	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	122										7				
19	19	149/2	149/2	0.0	5/8	5/8	Spanner	4/4	2	1	0																			
19	19	303/4	303/4	0.0	15/16	15/16	Spanner	4/4	2	1	0															8				
19	19	303/4	303/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	123										8				
20	20	76	76	1.75	0	0	Chord	4/4	1	1	7/16			1/4	7/4	124													2	
20	20	311/4	311/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	125													2	
20	20	78	78	1.75	1/2	1/2	Chord	4/4	1	1	7/16			1/4	7/4	126													2	
20	20	319/4	319/4	0.0	15/16	15/16	Spanner	4/4	1	1	0																			
20	20	319/4	319/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	127														
20	20	76	76	1.75	0	0	Chord	4/4	2	1	7/16			1/4	7/4	128										8				
20	20	311/4	311/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	129										8				
20	20	78	78	1.75	1/2	1/2	Chord	4/4	2	1	7/16			1/4	7/4	130										8				
20	20	319/4	319/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	131										8				
21	21	80	80	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	132														
21	21	323/4	323/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	133														
21	21	81	81	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	134														
21	21	327/4	327/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	135														
21	21	82	82	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	136														
21	21	331/4	331/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	137														
21	21	83	83	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	138														
21	21	335/4	335/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	139														
21	21	80	80	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	140										8				
21	21	323/4	323/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	141										8				
21	21	81	81	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	142										8				
21	21	327/4	327/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	143										8				
21	21	82	82	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	144										8				
21	21	331/4	331/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	145										8				
21	21	83	83	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	146										8				
21	21	335/4	335/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	147										8				
22	22	84	84	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	148														
22	22	339/4	339/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	149														
22	22	85	85	2.0	1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	150		articAccentAbove												
22	22	87	87	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	151		articAccentAbove												
22	22	84	84	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	152										8				
22	22	339/4	339/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	153										8				
22	22	85	85	0.0	1/4	1/4	Spanner	4/4	2	1	0																			
22	22	85	85	2.0	1/4	1/4	Chord	4/4	2	1	1/2			1/2	1	154														
22	22	87	87	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	155														
23	23	88	88	0.0	0	0	StaffText	4/4	1	1	0								"<font size=""9.2082""/><font face=""Plantin MT Std""/>riten. molto"											
23	23	88	88	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	156														
23	23	89	89	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	157		articAccentAbove							0					
23	23	90	90	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	158									0					
23	23	91	91	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	159									0					
23	23	90	90	2.0	1/2	1/2	Chord	4/4	1	2	1/2			1/2	1	160														
23	23	88	88	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	161														
23	23	89	89	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	162														
23	23	90	90	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	163														
23	23	91	91	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	164														
23	23	90	90	2.0	1/2	1/2	Chord	4/4	2	2	1/2			1/2	1	165														
24	24	92	92	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	166														
24	24	92	92	1.0	0	0	Chord	4/4	1	2	1/4			1/4	1	167														
24	24	92	92	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	168														
24	24	92	92	1.0	0	0	Chord	4/4	2	2	1/4			1/4	1	169														
25	25	199/2	199/2	0.3333333333333333	7/8	7/8	Chord	4/4	1	1	1/12			1/8	2/3	170														
25	25	599/6	599/6	0.16666666666666666	23/24	23/24	Chord	4/4	1	1	1/24			1/16	2/3	171														
25	25	298/3	298/3	0.0	5/6	5/6	Dynamic	4/4	2	1	0						p													
25	25	298/3	298/3	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12			1/8	2/3	172														
25	25	299/3	299/3	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12			1/8	2/3	173														
26	26	100	100	0.0	0	0	Spanner	4/4	1	1	0																2			
26	26	100	100	0.16666666666666666	0	0	Chord	4/4	1	1	1/24			1/16	2/3	174											2			
26	26	601/6	601/6	0.3333333333333333	1/24	1/24	Chord	4/4	1	1	1/12			1/8	2/3	175											2			
26	26	201/2	201/2	0.3333333333333333	1/8	1/8	Chord	4/4	1	1	1/12			1/8	2/3	176											2			
26	26	605/6	605/6	0.3333333333333333	5/24	5/24	Chord	4/4	1	1	1/12			1/8	2/3	177											2			
26	26	607/6	607/6	0.3333333333333333	7/24	7/24	Chord	4/4	1	1	1/12			1/8	2/3	178											2			
26	26	203/2	203/2	0.3333333333333333	3/8	3/8	Chord	4/4	1	1	1/12			1/8	2/3	179											2			
26	26	611/6	611/6	0.16666666666666666	11/24	11/24	Chord	4/4	1	1	1/24			1/16	2/3	180											2			
26	26	102	102	0.16666666666666666	1/2	1/2	Chord	4/4	1	1	1/24			1/16	2/3	181											2			
26	26	613/6	613/6	0.0	13/24	13/24	Spanner	4/4	1	1	0																			
26	26	613/6	613/6	0.3333333333333333	13/24	13/24	Chord	4/4	1	1	1/12			1/8	2/3	182														
26	26	100	100	0.3333333333333333	0	0	Chord	4/4	2	1	1/12			1/8	2/3	183														
26	26	301/3	301/3	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12			1/8	2/3	184														
26	26	302/3	302/3	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12			1/8	2/3	185														
26	26	101	101	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12			1/8	2/3	186														
26	26	304/3	304/3	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12			1/8	2/3	187														
26	26	305/3	305/3	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12			1/8	2/3	188														
26	26	102	102	0.0	1/2	1/2	Dynamic	4/4	2	1	0						p													
26	26	102	102	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	189														
27	27	215/2	215/2	0.3333333333333333	7/8	7/8	Chord	4/4	1	1	1/12			1/8	2/3	190														
27	27	647/6	647/6	0.16666666666666666	23/24	23/24	Chord	4/4	1	1	1/24			1/16	2/3	191														
27	27	322/3	322/3	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12			1/8	2/3	192														
27	27	323/3	323/3	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12			1/8	2/3	193														
28	28	108	108	0.0	0	0	Spanner	4/4	1	1	0																3			
28	28	108	108	0.16666666666666666	0	0	Chord	4/4	1	1	1/24			1/16	2/3	194											3			
28	28	649/6	649/6	0.3333333333333333	1/24	1/24	Chord	4/4	1	1	1/12			1/8	2/3	195											3			
28	28	217/2	217/2	0.3333333333333333	1/8	1/8	Chord	4/4	1	1	1/12			1/8	2/3	196											3			
28	28	653/6	653/6	0.3333333333333333	5/24	5/24	Chord	4/4	1	1	1/12			1/8	2/3	197											3			
28	28	655/6	655/6	0.0	7/24	7/24	Spanner	4/4	1	1	0																			
28	28	655/6	655/6	0.0	7/24	7/24	Spanner	4/4	1	1	0																	2		
28	28	655/6	655/6	0.3333333333333333	7/24	7/24	Chord	4/4	1	1	1/12			1/8	2/3	198												2		
28	28	219/2	219/2	0.3333333333333333	3/8	3/8	Chord	4/4	1	1	1/12			1/8	2/3	199												2		
28	28	659/6	659/6	0.16666666666666666	11/24	11/24	Chord	4/4	1	1	1/24			1/16	2/3	200												2		
28	28	110	110	0.16666666666666666	1/2	1/2	Chord	4/4	1	1	1/24			1/16	2/3	201												2		
28	28	661/6	661/6	0.3333333333333333	13/24	13/24	Chord	4/4	1	1	1/12			1/8	2/3	202												2		
28	28	221/2	221/2	0.0	5/8	5/8	Spanner	4/4	1	1	0																			
28	28	108	108	0.3333333333333333	0	0	Chord	4/4	2	1	1/12			1/8	2/3	203														
28	28	325/3	325/3	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12			1/8	2/3	204														
28	28	326/3	326/3	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12			1/8	2/3	205														
28	28	109	109	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12			1/8	2/3	206														
28	28	328/3	328/3	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12			1/8	2/3	207														
28	28	329/3	329/3	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12			1/8	2/3	208														
28	28	110	110	0.0	1/2	1/2	Dynamic	4/4	2	1	0						p													
28	28	110	110	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	209														
29	29	463/4	463/4	0.0	15/16	15/16	Dynamic	4/4	2	1	0						p													
29	29	463/4	463/4	0.0	15/16	15/16	Spanner	4/4	2	1	0															9				
29	29	463/4	463/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	210										9				
30	30	116	116	0.0	0	0	StaffText	4/4	1	1	0								"<font size=""9.2082""/><font face=""Plantin MT Std""/>stringendo"											
30	30	465/4	465/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	211														
30	30	233/2	233/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	212														
30	30	469/4	469/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	213														
30	30	235/2	235/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	214														
30	30	473/4	473/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	215														
30	30	237/2	237/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	216														
30	30	477/4	477/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	217														
30	30	239/2	239/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	218														
30	30	116	116	0.25	0	0	Chord	4/4	2	1	1/16			1/16	1	219										9				
30	30	467/4	467/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	220										9				
30	30	117	117	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1	221										9				
30	30	471/4	471/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	222										9				
