mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	crescendo_hairpin	decrescendo_hairpin	Ottava:8va
1	0	0	0	0.0	0	7/8	StaffText	4/4	1	1	0							"<font size=""10.6033""/><font face=""Plantin MT Std""/><b>Agitato assai</b>"										
1	0	0	0	0.5	0	7/8	Chord	4/4	1	1	1/8		1/8	1	0													
1	0	0	0	0.5	0	7/8	Chord	4/4	1	2	1/8		1/8	1	1		articStaccatoBelow											
1	0	0	0	0.0	0	7/8	Dynamic	4/4	2	1	0					f												
1	0	0	0	0.5	0	7/8	Chord	4/4	2	1	1/8		1/8	1	2		articStaccatoBelow											
2	1	1/2	1/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	3													
2	1	1	1	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	4		articTenutoBelow											
2	1	2	2	1.0	3/8	3/8	Chord	4/4	1	1	1/4		1/4	1	5		articTenutoBelow											
2	1	3	3	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	6		articAccentBelow											
2	1	4	4	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	7													
2	1	1/2	1/2	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	8		articStaccatoBelow											
2	1	4	4	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	9		articStaccatoBelow											
2	1	1/2	1/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	10		articStaccatoBelow											
2	1	4	4	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	11		articStaccatoBelow											
3	2	9/2	9/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	12													
3	2	5	5	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	13		articTenutoBelow											
3	2	6	6	1.0	3/8	3/8	Chord	4/4	1	1	1/4		1/4	1	14		articTenutoBelow											
3	2	7	7	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	15		articAccentBelow											
3	2	8	8	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	16													
3	2	9/2	9/2	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	17		articStaccatoBelow											
3	2	8	8	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	18		articStaccatoBelow											
3	2	9/2	9/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	19		articStaccatoBelow											
3	2	8	8	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	20		articStaccatoBelow											
4	3	17/2	17/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	21													
