mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	crescendo_line	decrescendo_hairpin	Ottava:8va
6	6	47/2	47/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	40				10				
6	6	95/4	95/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	41								
7	7	24	24	0.0	0	0	Spanner	4/4	1	1	0												
7	7	24	24	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	42				11				
7	7	97/4	97/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	43				11				
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	44								
7	7	25	25	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	45				12				
7	7	101/4	101/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	46				12				
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	47								
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	48				13				
7	7	27	27	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	49		articStaccatoBelow						
7	7	24	24	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	50				14				
7	7	49/2	49/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	51				14				
7	7	99/4	99/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	52								
7	7	25	25	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	53				15				
7	7	51/2	51/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	54				15				
7	7	103/4	103/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	55								
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	56								
8	8	28	28	0.0	0	0	Spanner	4/4	1	1	0											0	
8	8	28	28	0.3333333333333333	0	0	Chord	4/4	1	1	1/12		1/8	2/3	57				16			0	
8	8	85/3	85/3	0.3333333333333333	1/12	1/12	Chord	4/4	1	1	1/12		1/8	2/3	58				16			0	
8	8	86/3	86/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	1	1/12		1/8	2/3	59							0	
8	8	29	29	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	60				17			0	
8	8	88/3	88/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	61				17			0	
8	8	89/3	89/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	62							0	
8	8	30	30	0.0	1/2	1/2	StaffText	4/4	1	1	0							rall.					
8	8	30	30	0.0	1/2	1/2	Spanner	4/4	1	1	0												
8	8	30	30	0.3333333333333333	1/2	1/2	Chord	4/4	1	1	1/12		1/8	2/3	63				18				
8	8	91/3	91/3	0.3333333333333333	7/12	7/12	Chord	4/4	1	1	1/12		1/8	2/3	64				18				
8	8	92/3	92/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	1	1/12		1/8	2/3	65								
8	8	31	31	0.6666666666666666	3/4	3/4	Chord	4/4	1	1	1/6		1/4	2/3	66				19				
8	8	95/3	95/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	67		articStaccatoBelow						
8	8	28	28	0.6666666666666666	0	0	Chord	4/4	2	1	1/6		1/4	2/3	68								
8	8	86/3	86/3	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	69								
8	8	29	29	0.6666666666666666	1/4	1/4	Chord	4/4	2	1	1/6		1/4	2/3	70								
8	8	89/3	89/3	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	71								
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	72								
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	73								
8	8	28	28	3.0	0	0	Chord	4/4	2	2	3/4		1/2	3/2	74								
9	9	32	32	0.0	0	0	Spanner	4/4	1	1	0											1	
9	9	32	32	0.3333333333333333	0	0	Chord	4/4	1	1	1/12		1/8	2/3	75				20			1	
9	9	97/3	97/3	0.3333333333333333	1/12	1/12	Chord	4/4	1	1	1/12		1/8	2/3	76				20			1	
9	9	98/3	98/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	1	1/12		1/8	2/3	77							1	
9	9	33	33	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	78				21			1	
9	9	100/3	100/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	79				21			1	
9	9	101/3	101/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	80							1	
9	9	34	34	0.0	1/2	1/2	StaffText	4/4	1	1	0							rall.					
9	9	34	34	0.0	1/2	1/2	Spanner	4/4	1	1	0												
9	9	34	34	0.3333333333333333	1/2	1/2	Chord	4/4	1	1	1/12		1/8	2/3	81				22				
9	9	103/3	103/3	0.3333333333333333	7/12	7/12	Chord	4/4	1	1	1/12		1/8	2/3	82				22				
9	9	104/3	104/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	1	1/12		1/8	2/3	83								
9	9	35	35	0.6666666666666666	3/4	3/4	Chord	4/4	1	1	1/6		1/4	2/3	84		articTenutoBelow		23				
9	9	107/3	107/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	85		articStaccatoBelow						
9	9	32	32	0.6666666666666666	0	0	Chord	4/4	2	1	1/6		1/4	2/3	86								
9	9	98/3	98/3	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	87								
9	9	33	33	0.6666666666666666	1/4	1/4	Chord	4/4	2	1	1/6		1/4	2/3	88								
9	9	101/3	101/3	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	89								
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	90								
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	91								
9	9	32	32	3.0	0	0	Chord	4/4	2	2	3/4		1/2	3/2	92								
10	10	36	36	0.6666666666666666	0	0	Chord	4/4	1	1	1/6		1/4	2/3	93		articTenutoBelow		24				
10	10	110/3	110/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	1	1/12		1/8	2/3	94		articStaccatoBelow						
10	10	37	37	0.6666666666666666	1/4	1/4	Chord	4/4	1	1	1/6		1/4	2/3	95		articTenutoBelow		25				
10	10	113/3	113/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	96		articStaccatoBelow						
10	10	38	38	0.6666666666666666	1/2	1/2	Chord	4/4	1	1	1/6		1/4	2/3	97		articTenutoBelow		26				
10	10	116/3	116/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	1	1/12		1/8	2/3	98		articStaccatoBelow						
10	10	39	39	0.6666666666666666	3/4	3/4	Chord	4/4	1	1	1/6		1/4	2/3	99		articTenutoBelow		27				
10	10	119/3	119/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	100		articStaccatoBelow						
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	101								
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	102								
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	103								
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	104								
11	11	40	40	0.6666666666666666	0	0	Chord	4/4	1	1	1/6		1/4	2/3	105		articTenutoBelow		28				
