mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin	crescendo_line	HairPin:2_poco a poco cresc.	Ottava:8va
1	1	0	0	0.0	0	0	StaffText	6/4	1	1	0						Andante								
1	1	1	1	0.0	1/4	1/4	Dynamic	6/4	2	1	0				p										
1	1	1	1	1.0	1/4	1/4	Chord	6/4	2	1	1/4	1/4	1	0				0							
1	1	2	2	1.0	1/2	1/2	Chord	6/4	2	1	1/4	1/4	1	1				0							
1	1	3	3	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	2				0							
1	1	4	4	1.0	1	1	Chord	6/4	2	1	1/4	1/4	1	3				0							
1	1	5	5	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	4				0							
2	2	6	6	1.0	0	0	Chord	6/4	2	1	1/4	1/4	1	5				0							
2	2	7	7	1.5	1/4	1/4	Chord	6/4	2	1	3/8	1/4	3/2	6				0							
2	2	17/2	17/2	0.5	5/8	5/8	Chord	6/4	2	1	1/8	1/8	1	7				0							
2	2	9	9	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	8				0							
2	2	10	10	2.0	1	1	Chord	6/4	2	1	1/2	1/2	1	9				0							
3	3	13	13	0.0	1/4	1/4	StaffText	6/4	1	1	0						<i>dolce</i>								
3	3	13	13	0.0	1/4	1/4	Spanner	6/4	1	1	0										0				
3	3	13	13	2.0	1/4	1/4	Chord	6/4	1	1	1/2	1/2	1	10							0				
3	3	15	15	1.0	3/4	3/4	Chord	6/4	1	1	1/4	1/4	1	11							0				
3	3	16	16	0.0	1	1	Spanner	6/4	1	1	0														
3	3	13	13	1.5	1/4	1/4	Chord	6/4	1	2	3/8	1/4	3/2	12											
3	3	29/2	29/2	0.5	5/8	5/8	Chord	6/4	1	2	1/8	1/8	1	13											
3	3	12	12	3.0	0	0	Chord	6/4	2	1	3/4	1/2	3/2	14											
3	3	17	17	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	15											
4	4	19	19	0.0	1/4	1/4	Spanner	6/4	1	1	0										1				
4	4	19	19	2.0	1/4	1/4	Chord	6/4	1	1	1/2	1/2	1	16							1				
4	4	21	21	1.0	3/4	3/4	Chord	6/4	1	1	1/4	1/4	1	17							1				
4	4	22	22	0.0	1	1	Spanner	6/4	1	1	0														
4	4	19	19	1.5	1/4	1/4	Chord	6/4	1	2	3/8	1/4	3/2	18											
4	4	41/2	41/2	0.5	5/8	5/8	Chord	6/4	1	2	1/8	1/8	1	19											
4	4	18	18	3.0	0	0	Chord	6/4	2	1	3/4	1/2	3/2	20											
5	5	25	25	0.0	1/4	1/4	Dynamic	6/4	2	1	0				mf										
5	5	25	25	1.0	1/4	1/4	Chord	6/4	2	1	1/4	1/4	1	21				1							
5	5	26	26	1.0	1/2	1/2	Chord	6/4	2	1	1/4	1/4	1	22				1							
5	5	27	27	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	23				1							
5	5	28	28	1.0	1	1	Chord	6/4	2	1	1/4	1/4	1	24				1							
5	5	29	29	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	25				1							
6	6	30	30	1.0	0	0	Chord	6/4	2	1	1/4	1/4	1	26				1							
6	6	31	31	1.5	1/4	1/4	Chord	6/4	2	1	3/8	1/4	3/2	27				1							
6	6	65/2	65/2	0.5	5/8	5/8	Chord	6/4	2	1	1/8	1/8	1	28				1							
6	6	33	33	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	29				1							
6	6	34	34	1.0	1	1	Chord	6/4	2	1	1/4	1/4	1	30				1							
6	6	35	35	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	31				1							
7	7	37	37	0.0	1/4	1/4	Spanner	6/4	1	1	0										2				
7	7	37	37	2.0	1/4	1/4	Chord	6/4	1	1	1/2	1/2	1	32							2				
7	7	39	39	1.0	3/4	3/4	Chord	6/4	1	1	1/4	1/4	1	33							2				
7	7	40	40	0.0	1	1	Spanner	6/4	1	1	0														
7	7	37	37	1.5	1/4	1/4	Chord	6/4	1	2	3/8	1/4	3/2	34				2							
