mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	diminuendo_line
3	2	21/2	21/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	16						
3	2	11	11	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	17		articStaccatoAbove		5		
3	2	23/2	23/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	18		articStaccatoAbove		5		
3	2	12	12	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	19		articStaccatoAbove				
3	2	25/2	25/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	20				6		
3	2	13	13	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	21						
3	2	27/2	27/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	22						
3	2	19/2	19/2	1.0	3/8	3/8	Chord	12/8	1	2	1/4	1/4	1	23						
3	2	21/2	21/2	0.5	5/8	5/8	Chord	12/8	1	2	1/8	1/8	1	24						
3	2	11	11	0.5	3/4	3/4	Chord	12/8	1	2	1/8	1/8	1	25		articStaccatoBelow				
3	2	23/2	23/2	0.5	7/8	7/8	Chord	12/8	1	2	1/8	1/8	1	26		articStaccatoBelow				
3	2	12	12	0.5	1	1	Chord	12/8	1	2	1/8	1/8	1	27		articStaccatoBelow				
3	2	25/2	25/2	1.0	9/8	9/8	Chord	12/8	1	2	1/4	1/4	1	28						
3	2	27/2	27/2	0.5	11/8	11/8	Chord	12/8	1	2	1/8	1/8	1	29						
3	2	9	9	0.5	1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	30				7		
3	2	19/2	19/2	1.0	3/8	3/8	Chord	12/8	2	1	1/4	1/4	1	31				7		
3	2	21/2	21/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	32				7		
3	2	11	11	1.0	3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	33				7		
3	2	12	12	0.5	1	1	Chord	12/8	2	1	1/8	1/8	1	34				7		
3	2	25/2	25/2	1.0	9/8	9/8	Chord	12/8	2	1	1/4	1/4	1	35				7		
3	2	27/2	27/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	36						
3	2	8	8	6.0	0	0	Chord	12/8	2	2	3/2	1	3/2	37						
4	3	14	14	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	38		articStaccatoAbove		8		
4	3	29/2	29/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	39		articStaccatoAbove		8		
4	3	15	15	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	40		articStaccatoAbove				
4	3	31/2	31/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	41				9		
4	3	16	16	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	42						
4	3	33/2	33/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	43						
4	3	17	17	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	44		articStaccatoAbove		10		
4	3	35/2	35/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	45		articStaccatoAbove		10		
4	3	18	18	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	46		articStaccatoAbove				
4	3	37/2	37/2	1.0	9/8	9/8	Chord	12/8	1	1	1/4	1/4	1	47						
4	3	31/2	31/2	1.0	3/8	3/8	Chord	12/8	1	2	1/4	1/4	1	48						
