mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	TextLine	TextLine_stringendo	decrescendo_hairpin	crescendo_line	crescendo_hairpin	Ottava:8va
1	1	0	0	0.0	0	0	Dynamic	6/8	1	1	0					pp									
1	1	0	0	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	0										
1	1	1/2	1/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	1										
1	1	1	1	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	2										
2	2	3	3	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	3										
2	2	7/2	7/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	4										
2	2	4	4	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	5										
3	3	6	6	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	6										
3	3	13/2	13/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	7										
3	3	7	7	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	8										
3	3	6	6	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	9										
3	3	6	6	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	10										
4	4	9	9	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	11										
4	4	19/2	19/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	12										
4	4	10	10	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	13										
4	4	9	9	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	14										
4	4	9	9	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	15										
5	5	12	12	0.0	0	0	Dynamic	6/8	1	1	0					pp									
5	5	12	12	0.0	0	0	StaffText	6/8	1	1	0							Quasi allegretto							
5	5	12	12	0.0	0	0	StaffText	6/8	2	1	0							"<font size=""12""/>una corda"							
5	5	12	12	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	16										
5	5	25/2	25/2	0.0	1/8	1/8	StaffText	6/8	2	1	0							"<font size=""12""/>dolcissimo"							
5	5	25/2	25/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	17										
5	5	13	13	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	18										
5	5	27/2	27/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	19										
5	5	14	14	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	20										
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	21										
5	5	12	12	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	22										
6	6	31/2	31/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	23		articStaccatoAbove		0						
6	6	16	16	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	24		articStaccatoAbove		0						
6	6	33/2	33/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	25		articStaccatoAbove		0						
6	6	17	17	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	26		articStaccatoAbove		0						
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	27		articStaccatoAbove								
6	6	15	15	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	28										
6	6	31/2	31/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	29										
6	6	16	16	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	30										
6	6	33/2	33/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	31										
6	6	17	17	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	32										
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	33										
7	7	18	18	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	34										
7	7	39/2	39/2	0.0	3/8	3/8	Chord	6/8	1	1	0	acciaccatura	1/8	1	35										
7	7	39/2	39/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	36										
7	7	18	18	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	37										
7	7	37/2	37/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	38										
7	7	19	19	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	39										
7	7	39/2	39/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	40										
7	7	20	20	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	41										
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	42										
7	7	18	18	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	43										
8	8	21	21	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	44				1						
8	8	43/2	43/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	45				1						
8	8	22	22	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	46				1						
8	8	45/2	45/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	47				1						
8	8	23	23	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	48				1						
8	8	47/2	47/2	0.0	5/8	5/8	Chord	6/8	1	1	0	acciaccatura	1/8	1	49										
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	50										
8	8	21	21	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	51										
8	8	43/2	43/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	52										
8	8	22	22	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	53										
8	8	45/2	45/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	54										
8	8	23	23	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	55										
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	56										
9	9	24	24	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	57										
9	9	51/2	51/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	58										
9	9	24	24	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	59										
9	9	49/2	49/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	60										
9	9	25	25	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	61										
9	9	51/2	51/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	62										
9	9	26	26	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	63										
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	64										
9	9	24	24	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	65										
10	10	27	27	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	66										
10	10	55/2	55/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	67		articStaccatoAbove		2						
10	10	28	28	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	68		articStaccatoAbove		2						
10	10	57/2	57/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	69		articStaccatoAbove		2						
10	10	29	29	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	70		articStaccatoAbove		2						
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	71		articStaccatoAbove								
10	10	27	27	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	72										
10	10	55/2	55/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	73										
10	10	28	28	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	74										
10	10	57/2	57/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	75										
10	10	29	29	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	76										
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	77										
11	11	30	30	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	78										
11	11	63/2	63/2	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	79										
11	11	63/2	63/2	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	80										
11	11	63/2	63/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	81										
11	11	30	30	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	82										
11	11	61/2	61/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	83										
11	11	31	31	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	84										
11	11	63/2	63/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	85										
11	11	32	32	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	86										
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	87										
11	11	30	30	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	88										
12	12	33	33	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	89				3						
12	12	67/2	67/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	90				3						
12	12	34	34	0.0	1/4	1/4	Chord	6/8	1	1	0	acciaccatura	1/8	1	91				3						
12	12	34	34	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	92				3						
12	12	69/2	69/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	93				3						
12	12	35	35	0.0	1/2	1/2	StaffText	6/8	1	1	0							"<font size=""12""/>poco rit."	3						
12	12	35	35	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	94				3						
12	12	141/4	141/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	95				3						
12	12	71/2	71/2	0.375	5/8	5/8	Chord	6/8	1	1	3/32		1/16	3/2	96				3						
12	12	287/8	287/8	0.125	23/32	23/32	Chord	6/8	1	1	1/32		1/32	1	97										
12	12	33	33	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	98										
12	12	67/2	67/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	99										
12	12	34	34	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	100										
12	12	69/2	69/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	101										
12	12	35	35	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	102										
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	103										
13	13	36	36	0.0	0	0	StaffText	6/8	1	1	0							"<font size=""12""/><i>a tempo</i>"							
13	13	36	36	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	104										
13	13	75/2	75/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	105										
