mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_line	crescendo_hairpin	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	0	0	0.0	0	0	StaffText	3/8	1	1	0							Andante placido							
1	1	0	0	0.0	0	0	Dynamic	3/8	2	1	0					pp									
1	1	0	0	0.0	0	0	StaffText	3/8	2	1	0							"<font size=""12""/>dolcissimo egualmente"							
1	1	0	0	0.0	0	0	StaffText	3/8	2	1	0							"<font size=""12""/>una corda"							
1	1	0	0	0.0	0	0	Spanner	3/8	2	1	0													0	0
1	1	0	0	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	0		articTenutoAbove		0					0	0
1	1	1/6	1/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	1				0					0	0
1	1	1/3	1/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	2				0					0	0
1	1	1/2	1/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	3				0					0	0
1	1	3/4	3/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	4				0					0	0
1	1	1	1	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	5				0					0	0
1	1	5/4	5/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	6									0	0
1	1	0	0	1.0	0	0	Chord	3/8	2	2	1/4		1/4	1	7									0	0
2	2	3/2	3/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	8				1					0	0
2	2	5/3	5/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	9				1					0	0
2	2	11/6	11/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	10				1					0	0
2	2	2	2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	11				1					0	0
2	2	9/4	9/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	12				1					0	0
2	2	5/2	5/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	13				1					0	0
