mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_line	crescendo_hairpin	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>
2	2	11/4	11/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	14									0	0
3	3	3	3	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	15		articTenutoAbove		2					0	0
3	3	19/6	19/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	16				2					0	0
3	3	10/3	10/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	17				2					0	0
3	3	7/2	7/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	18				2					0	0
3	3	15/4	15/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	19				2					0	0
3	3	4	4	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	20				2					0	0
3	3	17/4	17/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	21									0	0
3	3	3	3	1.0	0	0	Chord	3/8	2	2	1/4		1/4	1	22									0	0
4	4	11/2	11/2	0.0	1/4	1/4	StaffText	3/8	1	1	0							"<font size=""12""/>dolce"							
4	4	11/2	11/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	23										
4	4	9/2	9/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	24				3					0	0
4	4	14/3	14/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	25				3					0	0
4	4	29/6	29/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	26				3					0	0
4	4	5	5	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	27				3					0	0
4	4	21/4	21/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	28				3					0	0
4	4	11/2	11/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	29				3					0	0
4	4	23/4	23/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	30									0	0
5	5	6	6	0.0	0	0	StaffText	3/8	1	1	0							"<font size=""12""/>cantabile"							
5	5	6	6	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	31				4						
5	5	13/2	13/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	32				4						
5	5	7	7	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	33				4						
5	5	6	6	0.0	0	0	Spanner	3/8	2	1	0														
5	5	6	6	0.0	0	0	Spanner	3/8	2	1	0													1	1
5	5	6	6	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	34				5					1	1
5	5	37/6	37/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	35				5					1	1
5	5	19/3	19/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	36				5					1	1
5	5	13/2	13/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	37				5					1	1
5	5	27/4	27/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	38				5					1	1
5	5	7	7	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	39				5					1	1
5	5	29/4	29/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	40									1	1
6	6	15/2	15/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	41				4						
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	42										
6	6	15/2	15/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	43				6					1	1
6	6	23/3	23/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	44				6					1	1
6	6	47/6	47/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	45				6					1	1
6	6	8	8	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	46				6					1	1
6	6	33/4	33/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	47				6					1	1
6	6	17/2	17/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	48				6					1	1
6	6	35/4	35/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	49									1	1
7	7	9	9	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	50				7						
7	7	10	10	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	51				7						
7	7	9	9	0.0	0	0	Spanner	3/8	2	1	0														
7	7	9	9	0.0	0	0	Spanner	3/8	2	1	0													2	2
7	7	9	9	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	52				8					2	2
7	7	55/6	55/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	53				8					2	2
7	7	28/3	28/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	54				8					2	2
7	7	19/2	19/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	55				8					2	2
7	7	39/4	39/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	56				8					2	2
7	7	10	10	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	57				8					2	2
7	7	41/4	41/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	58									2	2
8	8	21/2	21/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	59										
8	8	23/2	23/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	60				9						
8	8	21/2	21/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	61				10					2	2
8	8	32/3	32/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	62				10					2	2
8	8	65/6	65/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	63				10					2	2
8	8	11	11	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	64				10					2	2
8	8	45/4	45/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	65				10					2	2
8	8	23/2	23/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	66				10					2	2
8	8	47/4	47/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	67									2	2
9	9	12	12	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	68				9						
9	9	25/2	25/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	69				9						
9	9	13	13	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	70				9						
9	9	12	12	0.0	0	0	Spanner	3/8	2	1	0														
9	9	12	12	0.0	0	0	Spanner	3/8	2	1	0													3	3
9	9	12	12	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	71				11					3	3
9	9	73/6	73/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	72				11					3	3
9	9	37/3	37/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	73				11					3	3
9	9	25/2	25/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	74				11					3	3
9	9	51/4	51/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	75				11					3	3
9	9	13	13	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	76				11					3	3
9	9	53/4	53/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	77									3	3
10	10	27/2	27/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	78										
10	10	29/2	29/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	79				12						
10	10	27/2	27/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	80				13					3	3
10	10	41/3	41/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	81				13					3	3
10	10	83/6	83/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	82				13					3	3
10	10	14	14	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	83				13					3	3
10	10	57/4	57/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	84				13					3	3
10	10	29/2	29/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	85				13					3	3
10	10	59/4	59/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	86									3	3
11	11	15	15	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	87				12						
11	11	31/2	31/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	88				12						
11	11	16	16	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	89										
11	11	15	15	0.0	0	0	Spanner	3/8	2	1	0														
11	11	15	15	0.0	0	0	Spanner	3/8	2	1	0													4	4
11	11	15	15	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	90				14					4	4
11	11	91/6	91/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	91				14					4	4
11	11	46/3	46/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	92				14					4	4
11	11	31/2	31/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	93				14					4	4
11	11	63/4	63/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	94				14					4	4
11	11	16	16	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	95				14					4	4
11	11	65/4	65/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	96									4	4
12	12	33/2	33/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	97				15						
12	12	35/2	35/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	98										
12	12	33/2	33/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	99				16					4	4
12	12	50/3	50/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	100				16					4	4
12	12	101/6	101/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	101				16					4	4
12	12	17	17	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	102				16					4	4
12	12	69/4	69/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	103				16					4	4
12	12	35/2	35/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	104				16					4	4
12	12	71/4	71/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	105									4	4
13	13	18	18	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	106				17						
13	13	37/2	37/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	107				17						
13	13	19	19	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	108				17						
13	13	18	18	0.0	0	0	Spanner	3/8	2	1	0														
13	13	18	18	0.0	0	0	Spanner	3/8	2	1	0													5	5
13	13	18	18	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	109				18					5	5
13	13	109/6	109/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	110				18					5	5
13	13	55/3	55/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	111				18					5	5
13	13	37/2	37/2	0.0	1/8	1/8	Spanner	3/8	2	1	0								18			0		5	5
13	13	37/2	37/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	112				18			0		5	5
13	13	75/4	75/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	113				18			0		5	5
13	13	19	19	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	114				18			0		5	5
13	13	77/4	77/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	115							0		5	5
14	14	39/2	39/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	116				17						
14	14	41/2	41/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	117										
14	14	39/2	39/2	0.0	0	0	StaffText	3/8	2	1	0							"<font size=""12""/><i>simile</i>"				0		5	5
14	14	39/2	39/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	118				19			0		5	5
14	14	59/3	59/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	119				19			0		5	5
14	14	119/6	119/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	120				19			0		5	5
14	14	20	20	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	121				19			0		5	5
14	14	81/4	81/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	122				19			0		5	5
14	14	41/2	41/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	123				19			0		5	5
14	14	83/4	83/4	0.0	5/16	5/16	Spanner	3/8	2	1	0													5	5
14	14	83/4	83/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	124									5	5
15	15	21	21	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	125				20						
15	15	22	22	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	126				20						
15	15	21	21	0.0	0	0	Spanner	3/8	2	1	0														
15	15	21	21	0.0	0	0	Spanner	3/8	2	1	0													6	6
15	15	21	21	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	127				21					6	6
15	15	127/6	127/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	128				21					6	6
15	15	64/3	64/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	129				21					6	6
15	15	43/2	43/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	130				21					6	6
15	15	87/4	87/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	131				21					6	6
15	15	22	22	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	132				21					6	6
15	15	89/4	89/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	133									6	6
16	16	45/2	45/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	134										
16	16	47/2	47/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	135										
16	16	45/2	45/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	136				22					6	6
16	16	68/3	68/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	137				22					6	6
16	16	137/6	137/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	138				22					6	6
16	16	23	23	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	139				22					6	6
16	16	93/4	93/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	140				22					6	6
16	16	47/2	47/2	0.0	1/4	1/4	Spanner	3/8	2	1	0								22	0				6	6
16	16	47/2	47/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	141				22	0				6	6
16	16	95/4	95/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	142					0				6	6
17	17	24	24	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	143				23						
17	17	49/2	49/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	144				23						
17	17	25	25	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	145										
17	17	24	24	0.0	0	0	Spanner	3/8	2	1	0									0					
17	17	24	24	0.0	0	0	Spanner	3/8	2	1	0									0				7	7
17	17	24	24	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	146				24	0				7	7
17	17	145/6	145/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	147				24	0				7	7
17	17	73/3	73/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	148				24	0				7	7
17	17	49/2	49/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	149				24	0				7	7
17	17	99/4	99/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	150				24	0				7	7
17	17	25	25	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	151				24	0				7	7
17	17	101/4	101/4	0.0	5/16	5/16	Spanner	3/8	2	1	0													7	7
17	17	101/4	101/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	152									7	7
18	18	51/2	51/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	153				25						
18	18	53/2	53/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	154										
18	18	51/2	51/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	155				26					7	7
18	18	77/3	77/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	156				26					7	7
18	18	155/6	155/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	157				26					7	7
18	18	26	26	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	158				26					7	7
18	18	105/4	105/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	159				26					7	7
18	18	53/2	53/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	160				26					7	7
18	18	107/4	107/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	161									7	7
19	19	27	27	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	162										
19	19	27	27	0.0	0	0	Spanner	3/8	2	1	0														
19	19	27	27	0.0	0	0	Spanner	3/8	2	1	0													8	8
19	19	27	27	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	163				27					8	8
19	19	163/6	163/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	164				27					8	8
19	19	82/3	82/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	165				27					8	8
19	19	55/2	55/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	166				27					8	8
19	19	111/4	111/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	167				27					8	8
19	19	28	28	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	168				27					8	8
19	19	113/4	113/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	169									8	8
20	20	59/2	59/2	0.0	1/4	1/4	StaffText	3/8	1	1	0							"<font size=""12""/>sempre dolce"							
20	20	59/2	59/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	170		articStaccatoAbove		28						
20	20	57/2	57/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	171				29					8	8
20	20	86/3	86/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	172				29					8	8
20	20	173/6	173/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	173				29					8	8
20	20	29	29	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	174				29					8	8
20	20	117/4	117/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	175				29					8	8
20	20	59/2	59/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	176				29					8	8
20	20	119/4	119/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	177									8	8
21	21	30	30	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	178		articStaccatoAbove		28						
21	21	61/2	61/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	179		articStaccatoAbove		28						
21	21	31	31	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	180		articStaccatoAbove		28						
21	21	30	30	0.0	0	0	Spanner	3/8	2	1	0														
21	21	30	30	0.0	0	0	Spanner	3/8	2	1	0													9	9
21	21	30	30	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	181				30					9	9
21	21	181/6	181/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	182				30					9	9
21	21	91/3	91/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	183				30					9	9
21	21	61/2	61/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	184				30					9	9
21	21	123/4	123/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	185				30					9	9
21	21	31	31	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	186				30					9	9
21	21	125/4	125/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	187									9	9
22	22	63/2	63/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	188		articStaccatoAbove		28						
22	22	65/2	65/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	189		articStaccatoAbove								
22	22	63/2	63/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	190				31					9	9
22	22	95/3	95/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	191				31					9	9
22	22	191/6	191/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	192				31					9	9
22	22	32	32	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	193				31					9	9
22	22	129/4	129/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	194				31					9	9
22	22	65/2	65/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	195				31					9	9
22	22	131/4	131/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	196									9	9
23	23	33	33	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	197				32						
23	23	34	34	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	198										
23	23	33	33	0.0	0	0	Spanner	3/8	2	1	0														
23	23	33	33	0.0	0	0	Spanner	3/8	2	1	0													10	10
23	23	33	33	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	199				33					10	10
23	23	199/6	199/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	200				33					10	10
23	23	100/3	100/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	201				33					10	10
23	23	67/2	67/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	202				33					10	10
23	23	135/4	135/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	203				33					10	10
23	23	34	34	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	204				33					10	10
23	23	137/4	137/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	205									10	10
24	24	69/2	69/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	206										
24	24	71/2	71/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	207		articStaccatoAbove		34						
24	24	69/2	69/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	208				35					10	10
24	24	104/3	104/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	209				35					10	10
24	24	209/6	209/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	210				35					10	10
24	24	35	35	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	211				35					10	10
24	24	141/4	141/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	212				35					10	10
24	24	71/2	71/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	213				35					10	10
24	24	143/4	143/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	214									10	10
25	25	36	36	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	215		articStaccatoAbove		34						
25	25	73/2	73/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	216		articStaccatoAbove		34						
25	25	37	37	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	217		articStaccatoAbove								
25	25	36	36	0.0	0	0	Spanner	3/8	2	1	0														
25	25	36	36	0.0	0	0	Spanner	3/8	2	1	0													11	11
25	25	36	36	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	218				36					11	11
25	25	217/6	217/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	219				36					11	11
25	25	109/3	109/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	220				36					11	11
25	25	73/2	73/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	221				36					11	11
25	25	147/4	147/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	222				36					11	11
25	25	37	37	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	223				36					11	11
25	25	149/4	149/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	224									11	11
26	26	75/2	75/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	225				37						
26	26	77/2	77/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	226		articStaccatoAbove								
