mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	TextLine	TextLine_rall.	decrescendo_hairpin	crescendo_line	crescendo_hairpin	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	0	0	0.0	0	0	StaffText	2/2	1	1	0						Allegro molto									
1	1	1	1	0.0	1/4	1/4	Dynamic	2/2	1	1	0				ff											
1	1	1	1	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	0		articStaccatissimoBelow										
1	1	2	2	1.5	1/2	1/2	Chord	2/2	1	1	3/8	1/4	3/2	1		articMarcatoAbove										
1	1	7/2	7/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	2												
1	1	1	1	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	3		articStaccatissimoBelow										
1	1	2	2	1.5	1/2	1/2	Chord	2/2	2	1	3/8	1/4	3/2	4		articMarcatoAbove										
1	1	7/2	7/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	5												
2	2	9/2	9/2	0.0	1/8	1/8	Spanner	2/2	1	1	0												0			
2	2	9/2	9/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	6									0			
2	2	5	5	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	7									0			
2	2	11/2	11/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	8									0			
2	2	6	6	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	9									0			
2	2	13/2	13/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	10		articStaccatissimoBelow							0			
2	2	7	7	0.0	3/4	3/4	Spanner	2/2	1	1	0															
2	2	9/2	9/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	11												
2	2	5	5	0.5	1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	12												
2	2	11/2	11/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	13												
2	2	6	6	0.5	1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	14												
2	2	13/2	13/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	15		articStaccatissimoBelow										
3	3	9	9	0.0	1/4	1/4	Dynamic	2/2	1	1	0				ff											
3	3	9	9	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	16		articStaccatissimoBelow										
3	3	10	10	1.5	1/2	1/2	Chord	2/2	1	1	3/8	1/4	3/2	17		articMarcatoAbove										
3	3	23/2	23/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	18												
3	3	9	9	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	19		articStaccatissimoBelow										
3	3	10	10	1.5	1/2	1/2	Chord	2/2	2	1	3/8	1/4	3/2	20		articMarcatoAbove										
3	3	23/2	23/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	21												
4	4	25/2	25/2	0.0	1/8	1/8	Spanner	2/2	1	1	0												1			
4	4	25/2	25/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	22									1			
4	4	13	13	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	23									1			
4	4	27/2	27/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	24									1			
4	4	14	14	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	25									1			
4	4	29/2	29/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	26		articStaccatissimoBelow							1			
4	4	15	15	0.0	3/4	3/4	Spanner	2/2	1	1	0															
4	4	25/2	25/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	27												
4	4	13	13	0.5	1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	28												
4	4	27/2	27/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	29												
4	4	14	14	0.5	1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	30												
4	4	29/2	29/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	31		articStaccatissimoBelow										
5	5	17	17	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	32		articStaccatissimoBelow										
5	5	18	18	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	33		articStaccatissimoAbove										
5	5	19	19	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	34		articStaccatissimoBelow										
5	5	17	17	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	35		articStaccatissimoBelow										
5	5	18	18	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	36		articStaccatissimoAbove										
5	5	19	19	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	37		articStaccatissimoBelow										
6	6	20	20	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	38		articStaccatissimoAbove										
6	6	43/2	43/2	0.0	3/8	3/8	Spanner	2/2	1	1	0													0		
6	6	43/2	43/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	39										0		
6	6	22	22	0.0	1/2	1/2	Dynamic	2/2	1	1	0				sf									0		
6	6	22	22	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	40										0		
6	6	20	20	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	41		articStaccatissimoAbove										
6	6	43/2	43/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	42												
