mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_line	HairPin:2_poco a poco cresc.	HairPin:2_poco cresc.	crescendo_hairpin	diminuendo_line	HairPin:3_sempre dim.	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>
31	31	363/4	363/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/8	3/2	148						0	0					0		
31	31	369/4	369/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/8	3/2	149						0	0					0		
31	31	90	90	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	150														
31	31	183/2	183/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	151														
32	32	375/4	375/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/8	3/2	152						0	0					0		
32	32	381/4	381/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/8	3/2	153						0	0					0		
32	32	93	93	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	154														
32	32	189/2	189/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	155														
33	33	387/4	387/4	0.0	3/16	3/16	Dynamic	6/8	1	1	0					other-dynamics											0		
33	33	387/4	387/4	0.0	3/16	3/16	Spanner	6/8	1	1	0																0		
33	33	387/4	387/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/8	3/2	156												0		
33	33	393/4	393/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/8	3/2	157												0		
33	33	96	96	0.0	0	0	Spanner	6/8	2	1	0																	3	3
33	33	96	96	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	158													3	3
33	33	195/2	195/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	159													3	3
34	34	399/4	399/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/8	3/2	160												0		
34	34	405/4	405/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/8	3/2	161												0		
34	34	99	99	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	162													3	3
34	34	201/2	201/2	0.0	3/8	3/8	Spanner	6/8	2	1	0																		
34	34	201/2	201/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	163														
35	35	411/4	411/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/8	3/2	164												0		
35	35	417/4	417/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/8	3/2	165												0		
35	35	102	102	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	166														
35	35	207/2	207/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	167														
36	36	423/4	423/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/8	3/2	168												0		
36	36	429/4	429/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/8	3/2	169												0		
36	36	105	105	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	170														
36	36	213/2	213/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	171														
37	37	108	108	0.0	0	0	Spanner	6/8	1	1	0																		
38	38	111	111	0.0	0	0	Dynamic	6/8	1	1	0					p													
38	38	111	111	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	172		articStaccatoBelow												
38	38	223/2	223/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	173		articStaccatoBelow												
38	38	112	112	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	174		articStaccatoBelow												
38	38	225/2	225/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	175														
38	38	113	113	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	176														
38	38	227/2	227/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	177														
38	38	225/2	225/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	178		articStaccatoAbove												
39	39	114	114	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	179		articStaccatoBelow												
39	39	229/2	229/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	180		articStaccatoBelow												
39	39	115	115	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	181		articStaccatoBelow												
39	39	231/2	231/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	182														
39	39	116	116	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	183														
39	39	233/2	233/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	184														
39	39	231/2	231/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	185		articStaccatoAbove												
40	40	117	117	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	186														
40	40	235/2	235/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	187														
40	40	118	118	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	188														
40	40	237/2	237/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	189														
40	40	119	119	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	190														
40	40	239/2	239/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	191														
40	40	237/2	237/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	192		articStaccatoAbove												
41	41	120	120	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	193														
41	41	241/2	241/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	194														
41	41	121	121	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	195														
41	41	243/2	243/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	196		articAccentBelow												
41	41	122	122	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	197														
41	41	245/2	245/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	198														
41	41	243/2	243/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	199														
42	42	123	123	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	200														
42	42	247/2	247/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	201														
42	42	124	124	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	202														
42	42	249/2	249/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	203														
42	42	125	125	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	204														
42	42	251/2	251/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	205														
42	42	249/2	249/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	206														
43	43	126	126	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	207														
43	43	253/2	253/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	208														
43	43	127	127	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	209														
43	43	255/2	255/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	210														
43	43	128	128	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	211														
43	43	257/2	257/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	212														
43	43	255/2	255/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	213														
44	44	129	129	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	214														
44	44	259/2	259/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	215														
44	44	130	130	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	216														
44	44	261/2	261/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	217														
44	44	131	131	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	218														
44	44	263/2	263/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	219														
44	44	261/2	261/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	220														
45	45	132	132	0.0	0	0	Spanner	6/8	1	1	0													1					
45	45	132	132	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	221									1					
45	45	265/2	265/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	222									1					
45	45	133	133	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	223									1					
45	45	267/2	267/2	0.0	3/8	3/8	Spanner	6/8	1	1	0																		
45	45	267/2	267/2	0.75	3/8	3/8	Chord	6/8	1	1	3/16		1/8	3/2	224		articStaccatissimoAbove												
45	45	132	132	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	225														
45	45	267/2	267/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	226		articStaccatissimoAbove												
46	46	135	135	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	227		articStaccatissimoAbove												
46	46	273/2	273/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	228														
46	46	137	137	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	229														
46	46	275/2	275/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	230														
46	46	135	135	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	231		articStaccatissimoAbove												
46	46	273/2	273/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	232														
47	47	138	138	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	233														
47	47	277/2	277/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	234														
47	47	139	139	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	235														
47	47	279/2	279/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	236														
47	47	140	140	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	237														
47	47	281/2	281/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	238														
47	47	279/2	279/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	239														
48	48	141	141	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	240														
48	48	283/2	283/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	241														
48	48	142	142	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	242														
48	48	285/2	285/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	243														
48	48	143	143	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	244														
48	48	287/2	287/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	245														
