mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_line	HairPin:2_poco a poco cresc.	HairPin:2_poco cresc.	crescendo_hairpin	diminuendo_line	HairPin:3_sempre dim.	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	0	0	0.0	0	0	StaffText	6/8	1	1	0							Presto											
1	1	3/2	3/2	0.0	3/8	3/8	Dynamic	6/8	1	1	0					pp													
1	1	2	2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	0				0										
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1														
1	1	3/2	3/2	0.0	3/8	3/8	Spanner	6/8	2	1	0																	0	0
1	1	3/2	3/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	2		articStaccatissimoBelow											0	0
2	2	7/2	7/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	3				1										
2	2	4	4	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	4														
2	2	5	5	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	5				2										
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	6														
2	2	3	3	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	7		articStaccatissimoBelow											0	0
2	2	9/2	9/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	8		articStaccatissimoBelow											0	0
3	3	13/2	13/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	9				3										
3	3	7	7	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	10														
3	3	8	8	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	11				4										
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	12														
3	3	6	6	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	13		articStaccatissimoBelow											0	0
3	3	15/2	15/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	14		articStaccatissimoBelow											0	0
4	4	19/2	19/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	15				5										
4	4	10	10	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	16														
4	4	11	11	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	17				6										
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	18														
4	4	9	9	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	19		articStaccatissimoBelow											0	0
4	4	21/2	21/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	20		articStaccatissimoBelow											0	0
5	5	25/2	25/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	21				7										
5	5	13	13	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	22														
5	5	14	14	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	23				8										
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	24														
5	5	12	12	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	25		articStaccatissimoBelow											0	0
5	5	27/2	27/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	26		articStaccatissimoBelow											0	0
6	6	31/2	31/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	27				9										
6	6	16	16	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	28														
6	6	17	17	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	29				10										
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	30														
6	6	15	15	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	31		articStaccatissimoBelow											0	0
6	6	33/2	33/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	32		articStaccatissimoBelow											0	0
7	7	37/2	37/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	33				11										
7	7	19	19	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	34														
7	7	20	20	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	35				12										
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	36														
7	7	18	18	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	37		articStaccatissimoBelow											0	0
7	7	39/2	39/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	38		articStaccatissimoBelow											0	0
8	8	43/2	43/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	39				13										
8	8	22	22	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	40														
8	8	23	23	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	41				14										
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	42														
8	8	21	21	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	43													0	0
8	8	45/2	45/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	44													0	0
9	9	49/2	49/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	45				15										
9	9	25	25	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	46														
9	9	26	26	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	47				16										
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	48														
9	9	24	24	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	49													0	0
9	9	51/2	51/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	50													0	0
10	10	27	27	0.0	0	0	Spanner	6/8	1	1	0													0					
10	10	55/2	55/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	51				17					0					
10	10	28	28	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	52									0					
10	10	29	29	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	53				18					0					
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	54									0					
10	10	27	27	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	55													0	0
10	10	57/2	57/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	56													0	0
11	11	61/2	61/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	57				19					0					
11	11	31	31	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	58									0					
11	11	32	32	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	59				20					0					
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	60									0					
11	11	30	30	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	61													0	0
11	11	63/2	63/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	62													0	0
12	12	67/2	67/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	63				21					0					
12	12	34	34	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	64									0					
12	12	69/2	69/2	0.0	3/8	3/8	Spanner	6/8	1	1	0																		
12	12	35	35	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	65				22										
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	66														
12	12	33	33	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	67													0	0
12	12	69/2	69/2	0.0	3/8	3/8	Spanner	6/8	2	1	0																		
12	12	69/2	69/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	68														
13	13	36	36	0.0	0	0	StaffText	6/8	1	1	0							<i>scherzando molto staccato</i>											
13	13	147/4	147/4	0.0	3/16	3/16	Dynamic	6/8	1	1	0					p													
13	13	147/4	147/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/8	3/2	69		articStaccatissimoBelow												
13	13	153/4	153/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/8	3/2	70		articStaccatissimoBelow												
13	13	75/2	75/2	0.0	3/8	3/8	Chord	6/8	2	1	0	acciaccatura	1/8	3/2	71														
13	13	75/2	75/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	72		articStaccatissimoAbove												
14	14	159/4	159/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/8	3/2	73		articStaccatissimoBelow												
14	14	165/4	165/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/8	3/2	74		articStaccatissimoBelow												
14	14	39	39	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	75		articStaccatissimoBelow												
14	14	81/2	81/2	0.0	3/8	3/8	Chord	6/8	2	1	0	acciaccatura	1/8	3/2	76														
14	14	81/2	81/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	77		articStaccatissimoAbove												
15	15	171/4	171/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/8	3/2	78		articStaccatissimoBelow												
15	15	177/4	177/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/8	3/2	79		articStaccatissimoBelow												
15	15	42	42	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	80		articStaccatissimoBelow												
15	15	87/2	87/2	0.0	3/8	3/8	Chord	6/8	2	1	0	acciaccatura	1/8	3/2	81														
15	15	87/2	87/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	82		articStaccatissimoAbove												
16	16	183/4	183/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/8	3/2	83		articStaccatissimoBelow												
16	16	189/4	189/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/8	3/2	84		articStaccatissimoBelow												
16	16	45	45	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	85		articStaccatissimoBelow												
16	16	93/2	93/2	0.0	3/8	3/8	Chord	6/8	2	1	0	acciaccatura	1/8	3/2	86														
16	16	93/2	93/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	87		articStaccatissimoAbove												
17	17	48	48	0.0	0	0	StaffText	6/8	1	1	0							<i>sempre staccato</i>											
17	17	195/4	195/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/8	3/2	88														
17	17	201/4	201/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/8	3/2	89														
17	17	48	48	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	90														
17	17	99/2	99/2	0.0	3/8	3/8	Chord	6/8	2	1	0	acciaccatura	1/8	3/2	91														
17	17	99/2	99/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	92														
18	18	207/4	207/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/8	3/2	93														
18	18	213/4	213/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/8	3/2	94														
18	18	51	51	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	95														
18	18	105/2	105/2	0.0	3/8	3/8	Chord	6/8	2	1	0	acciaccatura	1/8	3/2	96														
18	18	105/2	105/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	97														
19	19	219/4	219/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/8	3/2	98														
19	19	225/4	225/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/8	3/2	99														
19	19	54	54	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	100														
19	19	111/2	111/2	0.0	3/8	3/8	Chord	6/8	2	1	0	acciaccatura	1/8	3/2	101														
19	19	111/2	111/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	102														
20	20	231/4	231/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/8	3/2	103														
20	20	237/4	237/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/8	3/2	104														
20	20	57	57	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	105														
20	20	117/2	117/2	0.0	3/8	3/8	Chord	6/8	2	1	0	acciaccatura	1/8	3/2	106														
20	20	117/2	117/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	107														
21	21	243/4	243/4	0.0	3/16	3/16	Spanner	6/8	1	1	0										0	0							
21	21	243/4	243/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/8	3/2	108						0	0							
21	21	249/4	249/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/8	3/2	109						0	0							
21	21	60	60	0.0	0	0	Spanner	6/8	2	1	0																	1	1
21	21	60	60	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	110													1	1
21	21	123/2	123/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	111													1	1
22	22	255/4	255/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/8	3/2	112						0	0							
22	22	261/4	261/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/8	3/2	113						0	0							
22	22	63	63	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	114													1	1
22	22	129/2	129/2	0.0	3/8	3/8	Spanner	6/8	2	1	0																		
22	22	129/2	129/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	115														
23	23	267/4	267/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/8	3/2	116						0	0							
23	23	273/4	273/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/8	3/2	117						0	0							
23	23	66	66	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	118														
23	23	135/2	135/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	119														
24	24	279/4	279/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/8	3/2	120						0	0							
24	24	285/4	285/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/8	3/2	121						0	0							
24	24	69	69	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	122														
24	24	141/2	141/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	123														
25	25	291/4	291/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/8	3/2	124						0	0							
25	25	297/4	297/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/8	3/2	125						0	0							
25	25	72	72	0.0	0	0	Spanner	6/8	2	1	0																	2	2
25	25	72	72	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	126													2	2
25	25	147/2	147/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	127													2	2
26	26	303/4	303/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/8	3/2	128						0	0							
26	26	309/4	309/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/8	3/2	129						0	0							
26	26	75	75	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	130													2	2
26	26	153/2	153/2	0.0	3/8	3/8	Spanner	6/8	2	1	0																		
26	26	153/2	153/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	131														
27	27	315/4	315/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/8	3/2	132						0	0							
27	27	321/4	321/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/8	3/2	133						0	0							
27	27	78	78	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	134														
27	27	159/2	159/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	135														
28	28	327/4	327/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/8	3/2	136						0	0							
28	28	333/4	333/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/8	3/2	137						0	0							
28	28	81	81	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	138														
28	28	165/2	165/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	139														
29	29	339/4	339/4	0.0	3/16	3/16	Spanner	6/8	1	1	0										0	0					0		
29	29	339/4	339/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/8	3/2	140						0	0					0		
29	29	345/4	345/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/8	3/2	141						0	0					0		
29	29	84	84	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	142														
29	29	171/2	171/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	143														
30	30	351/4	351/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/8	3/2	144						0	0					0		
30	30	357/4	357/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/8	3/2	145						0	0					0		
30	30	87	87	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	146														
30	30	177/2	177/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	147														
