mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	Ottava:8va	pedal
3	3	25/3	25/3	0.3333333333333333	1/12	1/12	Chord	4/4	1	1	1/12		1/8	2/3	28									2				
3	3	26/3	26/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	1	1/12		1/8	2/3	29									2				
3	3	9	9	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	30									2				
3	3	28/3	28/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	31									2				
3	3	29/3	29/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	32									2				
3	3	10	10	0.3333333333333333	1/2	1/2	Chord	4/4	1	1	1/12		1/8	2/3	33									2				
3	3	31/3	31/3	0.3333333333333333	7/12	7/12	Chord	4/4	1	1	1/12		1/8	2/3	34									2				
3	3	32/3	32/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	1	1/12		1/8	2/3	35									2				
3	3	11	11	0.3333333333333333	3/4	3/4	Chord	4/4	1	1	1/12		1/8	2/3	36									2				
3	3	34/3	34/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	1	1/12		1/8	2/3	37									2				
3	3	35/3	35/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	38													
3	3	8	8	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""9.8903""/><font face=""Opus Text Std""/>P"										
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	39													
3	3	9	9	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	40		articTenutoBelow											
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	41		articStaccatoBelow											
4	4	37/3	37/3	0.3333333333333333	1/12	1/12	Chord	4/4	1	1	1/12		1/8	2/3	42									3				
4	4	38/3	38/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	1	1/12		1/8	2/3	43									3				
4	4	13	13	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	44									3				
4	4	40/3	40/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	45									3				
4	4	41/3	41/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	46									3				
4	4	14	14	0.3333333333333333	1/2	1/2	Chord	4/4	1	1	1/12		1/8	2/3	47									3				
4	4	43/3	43/3	0.3333333333333333	7/12	7/12	Chord	4/4	1	1	1/12		1/8	2/3	48									3				
4	4	44/3	44/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	1	1/12		1/8	2/3	49									3				
4	4	15	15	0.3333333333333333	3/4	3/4	Chord	4/4	1	1	1/12		1/8	2/3	50									3				
4	4	46/3	46/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	1	1/12		1/8	2/3	51									3				
4	4	47/3	47/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	52													
4	4	12	12	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""9.8903""/><font face=""Opus Text Std""/>P"										
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	53													
4	4	13	13	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	54		articTenutoBelow											
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	55		articStaccatoAbove											
5	5	17	17	0.0	1/4	1/4	Spanner	4/4	1	1	0																0	
5	5	17	17	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	56												0	
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	57												0	
5	5	16	16	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""9.8903""/><font face=""Opus Text Std""/>P"										
5	5	49/3	49/3	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	58													
5	5	50/3	50/3	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	59													
5	5	17	17	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	60													
5	5	52/3	52/3	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	61													
5	5	53/3	53/3	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	62													
5	5	18	18	0.0	1/2	1/2	StaffText	4/4	2	1	0							"<font size=""9.8903""/><font face=""Opus Text Std""/>P"										
5	5	55/3	55/3	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	63													
5	5	56/3	56/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	64													
5	5	19	19	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	65													
5	5	58/3	58/3	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	66													
5	5	59/3	59/3	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	67													
5	5	16	16	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	68													
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	69													
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	70									4			0	
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	71												0	
6	6	22	22	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	72												0	
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	73		articStaccatoAbove							5			0	
6	6	23	23	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	74		articStaccatoAbove							5			0	
6	6	95/4	95/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	75		articStaccatoAbove										0	
6	6	61/3	61/3	0.0	1/12	1/12	StaffText	4/4	2	1	0							"<font size=""9.8903""/><font face=""Opus Text Std""/>P"										
6	6	61/3	61/3	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	76													
6	6	62/3	62/3	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	77													
6	6	21	21	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	78													
6	6	64/3	64/3	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	79													
6	6	65/3	65/3	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	80													
6	6	22	22	0.0	1/2	1/2	StaffText	4/4	2	1	0							"<font size=""9.8903""/><font face=""Opus Text Std""/>P"										
6	6	67/3	67/3	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	81													
6	6	68/3	68/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	82													
6	6	23	23	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	83													
6	6	70/3	70/3	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	84													
6	6	71/3	71/3	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	85													
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	86													
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	87									6			0	
7	7	25	25	0.0	1/4	1/4	Spanner	4/4	1	1	0																	
7	7	25	25	3.0	1/4	1/4	Chord	4/4	1	1	3/4		1/2	3/2	88													
7	7	24	24	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>rinforz."										
7	7	24	24	0.0	0	0	Spanner	4/4	2	1	0																	0
7	7	73/3	73/3	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	89													0
7	7	74/3	74/3	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	90													0
7	7	25	25	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	91													0
7	7	76/3	76/3	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	92													0
7	7	77/3	77/3	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	93													0
7	7	26	26	0.0	1/2	1/2	Spanner	4/4	2	1	0																	0
7	7	26	26	0.0	1/2	1/2	Spanner	4/4	2	1	0																	0
7	7	26	26	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	94													0
7	7	79/3	79/3	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	95													0
7	7	80/3	80/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	96													0
7	7	27	27	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	97													0
7	7	82/3	82/3	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	98													0
7	7	83/3	83/3	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	99													0
7	7	24	24	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	100													0
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	101		articStaccatoBelow							7				
8	8	31	31	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	102		articStaccatoBelow							7				
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	103		articStaccatoBelow											
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	104									8				
9	9	33	33	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	105													
9	9	97/3	97/3	0.3333333333333333	1/12	1/12	Chord	4/4	1	2	1/12		1/8	2/3	106													
9	9	98/3	98/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	2	1/12		1/8	2/3	107													
9	9	33	33	0.3333333333333333	1/4	1/4	Chord	4/4	1	2	1/12		1/8	2/3	108													
9	9	100/3	100/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	2	1/12		1/8	2/3	109													
9	9	101/3	101/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	2	1/12		1/8	2/3	110													
9	9	34	34	0.3333333333333333	1/2	1/2	Chord	4/4	1	2	1/12		1/8	2/3	111													
9	9	103/3	103/3	0.3333333333333333	7/12	7/12	Chord	4/4	1	2	1/12		1/8	2/3	112													
9	9	104/3	104/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	2	1/12		1/8	2/3	113													
9	9	35	35	0.3333333333333333	3/4	3/4	Chord	4/4	1	2	1/12		1/8	2/3	114													
9	9	106/3	106/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	2	1/12		1/8	2/3	115													
9	9	107/3	107/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	2	1/12		1/8	2/3	116													
9	9	32	32	0.0	0	0	Spanner	4/4	2	1	0																	
9	9	32	32	0.0	0	0	Spanner	4/4	2	1	0																	1
9	9	97/3	97/3	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	117													1
9	9	98/3	98/3	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	118													1
9	9	33	33	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	119													1
9	9	100/3	100/3	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	120													1
9	9	101/3	101/3	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	121													1
9	9	34	34	0.0	1/2	1/2	Spanner	4/4	2	1	0																	
9	9	34	34	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	122													
9	9	103/3	103/3	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	123													
9	9	104/3	104/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	124													
9	9	35	35	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	125													
9	9	106/3	106/3	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	126													
9	9	107/3	107/3	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	127													
9	9	32	32	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	128													
10	10	112/3	112/3	0.6666666666666666	1/3	1/3	Chord	4/4	1	1	1/6		1/4	2/3	129		articStaccatoBelow							9				
10	10	38	38	0.6666666666666666	1/2	1/2	Chord	4/4	1	1	1/6		1/4	2/3	130		articStaccatoBelow							9				
10	10	116/3	116/3	0.6666666666666666	2/3	2/3	Chord	4/4	1	1	1/6		1/4	2/3	131		articStaccatoBelow							9				
10	10	118/3	118/3	0.6666666666666666	5/6	5/6	Chord	4/4	1	1	1/6		1/4	2/3	132		articStaccatoBelow											
11	11	40	40	0.0	0	0	StaffText	4/4	1	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>espressivo"										
11	11	40	40	0.0	0	0	Dynamic	4/4	1	1	0					p												
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	133		articTenutoAbove											
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	134		articTenutoAbove											
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	135		articTenutoAbove							10				
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	136													
11	11	122/3	122/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	2	1/12		1/8	2/3	137		articStaccatoBelow											
11	11	125/3	125/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	2	1/12		1/8	2/3	138		articStaccatoBelow											
11	11	128/3	128/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	2	1/12		1/8	2/3	139													
11	11	131/3	131/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	2	1/12		1/8	2/3	140		articStaccatoBelow											
11	11	122/3	122/3	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	141													
11	11	125/3	125/3	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	142													
11	11	128/3	128/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	143													
11	11	131/3	131/3	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	144													
12	12	44	44	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	145		articTenutoAbove											
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	146		articTenutoAbove											
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	147		articTenutoAbove							11				
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	148													
12	12	134/3	134/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	2	1/12		1/8	2/3	149													
12	12	137/3	137/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	2	1/12		1/8	2/3	150													
12	12	140/3	140/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	2	1/12		1/8	2/3	151													
12	12	143/3	143/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	2	1/12		1/8	2/3	152													
12	12	134/3	134/3	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	153													
12	12	137/3	137/3	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	154													
12	12	140/3	140/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	155													
12	12	143/3	143/3	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	156													
13	13	48	48	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	157		articTenutoAbove											
13	13	49	49	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	158		articTenutoAbove											
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	159		articTenutoAbove											
13	13	51	51	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	160		articTenutoAbove											
13	13	146/3	146/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	2	1/12		1/8	2/3	161													
13	13	149/3	149/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	2	1/12		1/8	2/3	162													
13	13	152/3	152/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	2	1/12		1/8	2/3	163													
13	13	155/3	155/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	2	1/12		1/8	2/3	164													
13	13	146/3	146/3	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	165													
13	13	148/3	148/3	0.0	1/3	1/3	StaffText	4/4	2	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>cresc. appassionato"										
13	13	149/3	149/3	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	166													
13	13	152/3	152/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	167													
13	13	155/3	155/3	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	168													
14	14	52	52	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	169		articTenutoAbove											
14	14	53	53	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	170		articTenutoAbove											
14	14	54	54	0.0	1/2	1/2	StaffText	4/4	1	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>riten."										
14	14	54	54	0.0	1/2	1/2	Chord	4/4	1	1	0	grace16	1/16	1	171													
14	14	54	54	0.0	1/2	1/2	Chord	4/4	1	1	0	grace16	1/16	1	172													
14	14	54	54	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	173		articMarcatoAbove											
14	14	55	55	0.3333333333333333	3/4	3/4	Chord	4/4	1	1	1/12		1/8	2/3	174													
14	14	166/3	166/3	0.5	5/6	5/6	Chord	4/4	1	1	1/8		1/8	1	175													
14	14	335/6	335/6	0.16666666666666666	23/24	23/24	Chord	4/4	1	1	1/24		1/16	2/3	176													
14	14	158/3	158/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	2	1/12		1/8	2/3	177													
14	14	161/3	161/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	2	1/12		1/8	2/3	178													
14	14	109/2	109/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	179													
14	14	158/3	158/3	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	180													
14	14	161/3	161/3	0.0	5/12	5/12	StaffText	4/4	2	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>rinforz."										
14	14	161/3	161/3	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	181													
14	14	164/3	164/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	182													
15	15	56	56	0.0	0	0	StaffText	4/4	1	1	0							"<font size=""10.7894""/><font face=""Plantin MT Std""/><b>Sempre lento</b>"										
15	15	56	56	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=60	60.0	𝅘𝅥	60.0	1.0					
15	15	117/2	117/2	0.0	5/8	5/8	StaffText	4/4	1	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>cantando"										
15	15	117/2	117/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	183		articStaccatoBelow							12				
15	15	59	59	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	184		articStaccatoBelow							12				
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	185		articStaccatoBelow											
15	15	56	56	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>dolcissimo"										
16	16	60	60	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	186													
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	187													
16	16	62	62	0.3333333333333333	1/2	1/2	Chord	4/4	1	1	1/12		1/8	2/3	188									13				
16	16	187/3	187/3	0.3333333333333333	7/12	7/12	Chord	4/4	1	1	1/12		1/8	2/3	189									13				
16	16	188/3	188/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	1	1/12		1/8	2/3	190									13				
16	16	63	63	0.3333333333333333	3/4	3/4	Chord	4/4	1	1	1/12		1/8	2/3	191									13				
16	16	190/3	190/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	1	1/12		1/8	2/3	192									13				
16	16	191/3	191/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	193													
16	16	61	61	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	194		articStaccatoBelow											
16	16	63	63	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	195													
16	16	61	61	0.0	1/4	1/4	Spanner	4/4	2	1	0																	2
16	16	61	61	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	196		articStaccatoAbove											2
16	16	63	63	0.0	3/4	3/4	Spanner	4/4	2	1	0																	
16	16	63	63	0.0	3/4	3/4	Spanner	4/4	2	1	0																	3
16	16	63	63	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	197		articStaccatoAbove											3
16	16	127/2	127/2	0.0	7/8	7/8	Spanner	4/4	2	1	0																	
17	17	64	64	0.3333333333333333	0	0	Chord	4/4	1	1	1/12		1/8	2/3	198									14				
17	17	193/3	193/3	0.3333333333333333	1/12	1/12	Chord	4/4	1	1	1/12		1/8	2/3	199									14				
17	17	194/3	194/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	1	1/12		1/8	2/3	200									14				
17	17	65	65	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	201													
17	17	199/3	199/3	0.3333333333333333	7/12	7/12	Chord	4/4	1	1	1/12		1/8	2/3	202									15				
17	17	200/3	200/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	1	1/12		1/8	2/3	203									15				
17	17	67	67	0.3333333333333333	3/4	3/4	Chord	4/4	1	1	1/12		1/8	2/3	204									15				
17	17	202/3	202/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	1	1/12		1/8	2/3	205									15				
17	17	203/3	203/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	206													
17	17	64	64	0.0	0	0	Dynamic	4/4	2	1	0					pp												
17	17	65	65	0.0	1/4	1/4	Spanner	4/4	2	1	0																	4
17	17	65	65	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	207													4
17	17	196/3	196/3	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	208													4
17	17	197/3	197/3	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	209													4
17	17	66	66	0.0	1/2	1/2	Spanner	4/4	2	1	0																	
17	17	66	66	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	210													
17	17	65	65	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	211													
18	18	68	68	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	212									16				
18	18	69	69	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	213													
