mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	Ottava:8va
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0							"<font size=""11.9055""/><font face=""Plantin MT Std""/><b>Andante marziale</b>"									
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=80	80.0	𝅘𝅥	80.0	1.0				
1	1	0	0	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""10.9134""/><font face=""Plantin MT Std""/>marcato"									
1	1	0	0	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	0		articTenutoBelow										
1	1	1	1	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	1		articStaccatoBelow										
1	1	7/4	7/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	2		articStaccatoBelow										
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	3		articTenutoBelow										
1	1	3	3	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	4		articStaccatoBelow										
1	1	15/4	15/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	5		articStaccatoBelow										
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	6		articTenutoBelow										
2	2	5	5	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	7		articStaccatoBelow										
2	2	23/4	23/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	8		articStaccatoBelow										
2	2	6	6	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	9		articStaccatoBelow										
2	2	27/4	27/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	10		articStaccatoBelow										
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	11												
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	12												
3	3	9	9	0.0	1/4	1/4	Chord	4/4	2	1	0	grace16	1/16	1	13												
3	3	9	9	0.0	1/4	1/4	Chord	4/4	2	1	0	grace16	1/16	1	14												
3	3	9	9	0.0	1/4	1/4	Chord	4/4	2	1	0	grace16	1/16	1	15												
3	3	9	9	0.0	1/4	1/4	Chord	4/4	2	1	0	grace16	1/16	1	16												
3	3	9	9	0.75	1/4	1/4	Chord	4/4	2	1	3/16		1/8	3/2	17												
3	3	39/4	39/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	18												
3	3	10	10	0.75	1/2	1/2	Chord	4/4	2	1	3/16		1/8	3/2	19												
3	3	43/4	43/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	20												
3	3	11	11	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	21												
3	3	47/4	47/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	22												
3	3	8	8	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	23												
3	3	9	9	2.0	1/4	1/4	Chord	4/4	2	2	1/2		1/2	1	24												
3	3	11	11	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	25												
3	3	47/4	47/4	0.25	15/16	15/16	Chord	4/4	2	2	1/16		1/16	1	26												
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	27												
4	4	13	13	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	28												
4	4	53/4	53/4	0.5	5/16	5/16	Chord	4/4	2	1	1/8		1/8	1	29												
4	4	55/4	55/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	30												
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	31		articAccentAbove										
4	4	12	12	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	32												
