mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
36	36	186	14.0	0	0	6/4	2	1	I|PAC}{	Db	bV		I		I					PAC	}{	M	0	0	0, 4, 1		0	0
38	38	200	1.0	1/2	1/2	6/4	2	1	IV64	Db	bV		IV64		IV		64					M	0	0	0, -1, 3		-1	0
38	38	201	1.0	3/4	3/4	6/4	2	1	ii6	Db	bV		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
38	38	202	2.0	1	1	6/4	2	1	V65	Db	bV		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
39	39	204	5.0	0	0	6/4	2	1	I	Db	bV		I		I							M	0	0	0, 4, 1		0	0
39	39	209	1.0	5/4	5/4	6/4	2	1	#viio2/ii	Db	bV		#viio2/ii		#vii	o	2		ii			o7	0	0	-2, 7, 4, 1		7	-2
40	40	210	3.0	0	0	6/4	2	1	V2/V	Db	bV		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
40	40	213	3.0	3/4	3/4	6/4	2	1	viio2	Db	bV		viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
41	41	216	2.0	0	0	6/4	2	1	I(9)	Db	bV		I(9)		I			9				M	0	0	0, 4, 1	2	0	0
41	41	218	6.0	1/2	1/2	6/4	2	1	I	Db	bV		I		I							M	0	0	0, 4, 1		0	0
42	42	224	1.0	1/2	1/2	6/4	2	1	IV64	Db	bV		IV64		IV		64					M	0	0	0, -1, 3		-1	0
42	42	225	1.0	3/4	3/4	6/4	2	1	ii6	Db	bV		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
42	42	226	2.0	1	1	6/4	2	1	V65	Db	bV		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
43	43	228	6.0	0	0	6/4	2	1	I	Db	bV		I		I							M	0	0	0, 4, 1		0	0
44	44	234	6.0	0	0	6/4	2	1	vi	Db	bV		vi		vi							m	0	0	3, 0, 4		3	3
