mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	4.0	0	0	4/4	2	1	Ab.viio7/V{	Ab	I		viio7/V		vii	o	7		V			{	o7	0	0	6, 3, 0, -3		6	6
2	2	4	4.0	0	0	4/4	2	1	V7(94)	Ab	I		V7(94)		V		7	94					Mm7	0	0	1, 0, 2, -1	3	1	1
3	3	8	4.0	0	0	4/4	2	1	viio7/V	Ab	I		viio7/V		vii	o	7		V				o7	0	0	6, 3, 0, -3		6	6
4	4	12	4.0	0	0	4/4	2	1	V7(94)	Ab	I		V7(94)		V		7	94					Mm7	0	0	1, 0, 2, -1	3	1	1
5	5	16	2.0	0	0	4/4	2	1	viio7/V	Ab	I		viio7/V		vii	o	7		V				o7	0	0	6, 3, 0, -3		6	6
5	5	18	2.0	1/2	1/2	4/4	2	1	V7/bvii	Ab	I		V7/bvii		V		7		bvii				Mm7	0	0	-1, 3, 0, -3		-1	-1
6	6	20	1.0	0	0	4/4	2	1	bvii6(#7)	Ab	I		bvii6(#7)		bvii		6	#7					m	0	0	-5, -1, 10		-2	-5
6	6	21	1.0	1/4	1/4	4/4	2	1	bvii6	Ab	I		bvii6		bvii		6						m	0	0	-5, -1, -2		-2	-5
6	6	22	2.0	1/2	1/2	4/4	2	1	V7/vi	Ab	I		V7/vi		V		7		vi				Mm7	0	0	4, 8, 5, 2		4	4
7	7	24	1.0	0	0	4/4	2	1	bVI64(#9)	Ab	I		bVI64(#9)		bVI		64	#9					M	0	0	-3, -4, 0	12	-4	-3
7	7	25	7.0	1/4	1/4	4/4	2	1	bVI64	Ab	I		bVI64		bVI		64						M	0	0	-3, -4, 0		-4	-3
9	9	32	1.0	0	0	4/4	2	1	Ger6(#13#11)	Ab	I		Ger6(#13#11)	Ger	vii	o	65	#13#11b3	V				Ger	0	0	-4, 0, -3, 6	9, 12	6	-4
9	9	33	7.0	1/4	1/4	4/4	2	1	Ger6}	Ab	I		Ger6	Ger	vii	o	65	b3	V			}	Ger	0	0	-4, 0, -3, 6		6	-4
11	11	40	1.0	0	0	4/4	2	1	V[I{	Ab	I	V	I		I							{	M	0	0	0, 4, 1		0	0
11	11	41	1.0	1/4	1/4	4/4	2	1	I+	Ab	I		I+		I	+							+	0	0	0, 4, 8		0	0
11	11	42	1.0	1/2	1/2	4/4	2	1	IV64	Ab	I		IV64		IV		64						M	0	0	0, -1, 3		-1	0
11	11	43	1.0	3/4	3/4	4/4	2	1	V7	Ab	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
12	12	44	1.0	0	0	4/4	2	1	I	Ab	I		I		I								M	0	0	0, 4, 1		0	0
12	12	45	1.0	1/4	1/4	4/4	2	1	I+	Ab	I		I+		I	+							+	0	0	0, 4, 8		0	0
12	12	46	1.0	1/2	1/2	4/4	2	1	IV64	Ab	I		IV64		IV		64						M	0	0	0, -1, 3		-1	0
12	12	47	1.0	3/4	3/4	4/4	2	1	V7	Ab	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
13	13	48	1.0	0	0	4/4	2	1	I	Ab	I		I		I								M	0	0	0, 4, 1		0	0
13	13	49	1.0	1/4	1/4	4/4	2	1	I+	Ab	I		I+		I	+							+	0	0	0, 4, 8		0	0
13	13	50	1.0	1/2	1/2	4/4	2	1	V(96#4)	Ab	I		V(96#4)		V			96#4					M	0	0	1, 5, 7, 4	3	1	1
13	13	51	1.0	3/4	3/4	4/4	2	1	V(6#4#2)	Ab	I		V(6#4#2)		V			6#4#2					M	0	0	1, 10, 7, 4		1	1
14	14	52	1.0	0	0	4/4	2	1	V7(b9#2)	Ab	I		V7(b9#2)		V		7	b9#2					Mm7	0	0	1, 10, 2, -1	-4	1	1
14	14	53	1.0	1/4	1/4	4/4	2	1	V7(b9)	Ab	I		V7(b9)		V		7	b9					Mm7	0	0	1, 5, 2, -1	-4	1	1
14	14	54	1.8333333333333357	1/2	1/2	4/4	2	1	V7(13)	Ab	I		V7(13)		V		7	13					Mm7	0	0	1, 5, 2, -1	4	1	1
14	14	335/6	4.166666666666664	23/24	23/24	4/4	2	1	V7]|HC}	Ab	I		V7		V		7			]	HC	}	Mm7	0	0	1, 5, 2, -1		1	1
15	15	117/2	0.0	5/8	5/8	4/4	2	1	{	Ab	I											{		0	0				
16	16	60	3.0	0	0	4/4	2	1	I[I	Ab	I	I	I		I								M	0	0	0, 4, 1		0	0
16	16	63	1.0	3/4	3/4	4/4	2	1	IV6	Ab	I		IV6		IV		6						M	0	0	3, 0, -1		-1	3
17	17	64	5.0	0	0	4/4	2	1	I	Ab	I		I		I								M	0	0	0, 4, 1		0	0
18	18	69	3.0	1/4	1/4	4/4	2	1	V7	Ab	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
19	19	72	2.0	0	0	4/4	2	1	I(#96#4)	Ab	I		I(#96#4)		I			#96#4					M	0	0	0, 4, 6, 3	9	0	0
19	19	74	5.0	1/2	1/2	4/4	2	1	I]|IAC}	Ab	I		I		I					]	IAC	}	M	0	0	0, 4, 1		0	0
19	19	75	0.0	3/4	3/4	4/4	2	1	{	Ab	I											{		0	0				
20	20	79	1.0	3/4	3/4	4/4	2	1	IV6	Ab	I		IV6		IV		6						M	0	0	3, 0, -1		-1	3
21	21	80	3.0	0	0	4/4	2	1	V6/vi	Ab	I		V6/vi		V		6		vi				M	0	0	8, 5, 4		4	8
21	21	83	1.0	3/4	3/4	4/4	2	1	#viio7/vi	Ab	I		#viio7/vi		#vii	o	7		vi				o7	0	0	8, 5, 2, -1		8	8
22	22	84	1.0	0	0	4/4	2	1	vi6(#11)	Ab	I		vi6(#11)		vi		6	#11					m	0	0	0, 4, 3	9	3	0
