mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1/2	13.0	1/8	1/8	6/8	4	1	F#.bIII6{	v(b6){	F#	I		bIII6		bIII		6					{	M	0	0	1, -2, -3		-3	1
5	5	27/2	12.0	3/8	3/8	6/8	4	1	V(b6)	V+	F#	I		V(b6)		V			b6					M	0	0	1, 5, -3		1	1
9	9	51/2	22.5	3/8	3/8	6/8	4	1	V(64)|HC}		F#	I		V(64)		V			64			HC	}	M	0	0	1, 0, 4		1	1
17	17	47	0.0	1/8	1/2	6/8	4	1	{		F#	I											{		0	0				
18	18	48	3.0	0	0	6/8	4	1	I[I		F#	I	I	I		I								M	0	0	0, 4, 1		0	0
19	19	51	1.0	0	0	6/8	4	1	I(134)		F#	I		I(134)		I			134					M	0	0	0, -1, 1	3	0	0
19	19	52	2.0	1/4	1/4	6/8	4	1	I		F#	I		I		I								M	0	0	0, 4, 1		0	0
20	20	54	3.0	0	0	6/8	4	1	V7		F#	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
21	21	57	1.0	0	0	6/8	4	1	I(7#2)		F#	I		I(7#2)		I			7#2					M	0	0	0, 9, 1	5	0	0
21	21	58	5.0	1/4	1/4	6/8	4	1	I		F#	I		I		I								M	0	0	0, 4, 1		0	0
23	23	63	1.0	0	0	6/8	4	1	I(134)		F#	I		I(134)		I			134					M	0	0	0, -1, 1	3	0	0
23	23	64	2.0	1/4	1/4	6/8	4	1	I		F#	I		I		I								M	0	0	0, 4, 1		0	0
24	24	66	3.0	0	0	6/8	4	1	V7		F#	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
25	25	69	6.0	0	0	6/8	4	1	I|IAC}		F#	I		I		I						IAC	}	M	0	0	0, 4, 1		0	0
25	25	71	0.0	1/2	1/2	6/8	4	1	{		F#	I											{		0	0				
27	27	75	1.0	0	0	6/8	4	1	I(134)		F#	I		I(134)		I			134					M	0	0	0, -1, 1	3	0	0
27	27	76	2.0	1/4	1/4	6/8	4	1	I		F#	I		I		I								M	0	0	0, 4, 1		0	0
28	28	78	3.0	0	0	6/8	4	1	V7		F#	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
29	29	81	1.0	0	0	6/8	4	1	I(7#2)		F#	I		I(7#2)		I			7#2					M	0	0	0, 9, 1	5	0	0
29	29	82	5.0	1/4	1/4	6/8	4	1	I		F#	I		I		I								M	0	0	0, 4, 1		0	0
31	31	87	3.0	0	0	6/8	4	1	I(134)		F#	I		I(134)		I			134					M	0	0	0, -1, 1	3	0	0
