mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1	1.0	1/4	1/4	6/4	2	1	E.V{	E	I		V	V						{	M	0	0	1, 5, 2		1	1
1	1	2	2	2.0	1/2	1/2	6/4	2	1	ii	E	I		ii	ii							m	0	0	2, -1, 3		2	2
1	1	4	4	3.0	1	1	6/4	2	1	vi	E	I		vi	vi							m	0	0	3, 0, 4		3	3
2	2	7	7	2.0	1/4	1/4	6/4	2	1	I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	2	9	9	4.0	3/4	3/4	6/4	2	1	V	E	I		V	V							M	0	0	1, 5, 2		1	1
3	3	13	13	2.0	1/4	1/4	6/4	2	1	V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	3	15	15	4.0	3/4	3/4	6/4	2	1	V(64)	E	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
4	4	19	19	1.5	1/4	1/4	6/4	2	1	V7(64)	E	I		V7(64)	V		7	64				Mm7	0	0	1, 0, 4, -1		1	1
4	4	41/2	41/2	0.5	5/8	5/8	6/4	2	1	V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	21	21	4.0	3/4	3/4	6/4	2	1	V7|HC}	E	I		V7	V		7			HC	}	Mm7	0	0	1, 5, 2, -1		1	1
5	5	25	25	1.0	1/4	1/4	6/4	2	1	V{	E	I		V	V						{	M	0	0	1, 5, 2		1	1
5	5	26	26	2.0	1/2	1/2	6/4	2	1	ii	E	I		ii	ii							m	0	0	2, -1, 3		2	2
5	5	28	28	3.0	1	1	6/4	2	1	vi	E	I		vi	vi							m	0	0	3, 0, 4		3	3
6	6	31	31	2.0	1/4	1/4	6/4	2	1	V6	E	I		V6	V		6					M	0	0	5, 2, 1		1	5
6	6	33	33	2.0	3/4	3/4	6/4	2	1	V	E	I		V	V							M	0	0	1, 5, 2		1	1
6	6	35	35	4.0	5/4	5/4	6/4	2	1	V7/iii	E	I		V7/iii	V		7		iii			Mm7	0	0	5, 9, 6, 3		5	5
7	7	39	39	4.0	3/4	3/4	6/4	2	1	V7(64)/iii	E	I		V7(64)/iii	V		7	64	iii			Mm7	0	0	5, 4, 1, 3		5	5
8	8	43	43	1.5	1/4	1/4	6/4	2	1	V7(64)/iii	E	I		V7(64)/iii	V		7	64	iii			Mm7	0	0	5, 4, 1, 3		5	5
8	8	89/2	89/2	0.5	5/8	5/8	6/4	2	1	V7/iii	E	I		V7/iii	V		7		iii			Mm7	0	0	5, 9, 6, 3		5	5
8	8	45	45	3.0	3/4	3/4	6/4	2	1	V7/iii|HC}	E	I		V7/iii	V		7		iii	HC	}	Mm7	0	0	5, 9, 6, 3		5	5
9	9	48	48	8.0	0	0	6/4	2	1	III{	E	I		III	III						{	M	0	0	4, 8, 5		4	4
10	10	56	56	4.0	1/2	1/2	6/4	2	1	III(+#6)	E	I		III(+#6)	III			+#6				M	0	0	4, 8, 5	7	4	4
11	11	60	60	8.0	0	0	6/4	2	1	ii	E	I		ii	ii							m	0	0	2, -1, 3		2	2
12	12	68	68	4.0	1/2	1/2	6/4	2	1	ii6(+9)	E	I		ii6(+9)	ii		6	+9				m	0	0	-1, 3, 2	4	2	-1
13	13	72	72	6.0	0	0	6/4	2	1	i	E	I		i	i							m	0	0	0, -3, 1		0	0
14	14	78	78	6.0	0	0	6/4	2	1	bVI6	E	I		bVI6	bVI		6					M	0	0	0, -3, -4		-4	0
15	15	84	84	3.0	0	0	6/4	2	1	bV6	E	I		bV6	bV		6					M	0	0	-2, -5, -6		-6	-2
15	15	87	87	5.0	3/4	3/4	6/4	2	1	bbVII6	E	I		bbVII6	bbVII		6					M	0	0	-5, -8, -9		-9	-5
16	16	92	92	4.0	1/2	1/2	6/4	2	1	bbVII(+9+6)	E	I		bbVII(+9+6)	bbVII			+9+6				M	0	0	-9, -5, -8	0, 1	-9	-9
17	17	96	96	3.0	0	0	6/4	2	1	bIV6	E	I		bIV6	bIV		6					M	0	0	-4, -7, -8		-8	-4
17	17	99	99	5.0	3/4	3/4	6/4	2	1	V6	E	I		V6	V		6					M	0	0	5, 2, 1		1	5
18	18	104	104	4.0	1/2	1/2	6/4	2	1	V(+9+6)	E	I		V(+9+6)	V			+9+6				M	0	0	1, 5, 2	3, 4	1	1
19	19	108	108	6.0	0	0	6/4	2	1	V43(+9+6)	E	I		V43(+9+6)	V		43	+9+6				Mm7	0	0	2, -1, 1, 5	3, 4	1	2
20	20	114	114	3.0	0	0	6/4	2	1	IV6	E	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
20	20	117	117	3.0	3/4	3/4	6/4	2	1	ii7(+9)	E	I		ii7(+9)	ii		7	+9				mm7	0	0	2, -1, 3, 0	4	2	2
21	21	120	120	6.0	0	0	6/4	2	1	V7(+9+6)	E	I		V7(+9+6)	V		7	+9+6				Mm7	0	0	1, 5, 2, -1	3, 4	1	1
22	22	126	126	3.0	0	0	6/4	2	1	IV6	E	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
22	22	129	129	3.0	3/4	3/4	6/4	2	1	ii7(+9)	E	I		ii7(+9)	ii		7	+9				mm7	0	0	2, -1, 3, 0	4	2	2
23	23	132	132	3.0	0	0	6/4	2	1	V7(+9)	E	I		V7(+9)	V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
23	23	135	135	3.0	3/4	3/4	6/4	2	1	ii7(+9)	E	I		ii7(+9)	ii		7	+9				mm7	0	0	2, -1, 3, 0	4	2	2
24	24	138	138	3.0	0	0	6/4	2	1	V7(+9)	E	I		V7(+9)	V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
24	24	141	141	3.0	3/4	3/4	6/4	2	1	ii7(+9)	E	I		ii7(+9)	ii		7	+9				mm7	0	0	2, -1, 3, 0	4	2	2
25	25	144	144	3.0	0	0	6/4	2	1	V7(+9)	E	I		V7(+9)	V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
25	25	147	147	3.0	3/4	3/4	6/4	2	1	ii7(+9)	E	I		ii7(+9)	ii		7	+9				mm7	0	0	2, -1, 3, 0	4	2	2
26	26	150	150	3.0	0	0	6/4	2	1	V7(+9)	E	I		V7(+9)	V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
26	26	153	153	3.0	3/4	3/4	6/4	2	1	ii7(+9)	E	I		ii7(+9)	ii		7	+9				mm7	0	0	2, -1, 3, 0	4	2	2
27	27	156	156	1.0	0	0	4/4	2	1	V7(2)	E	I		V7(2)	V		7	2				Mm7	0	0	3, 5, 2, -1		1	3
27	27	157	157	1.0	1/4	1/4	4/4	2	1	V	E	I		V	V							M	0	0	1, 5, 2		1	1
27	27	158	158	4.0	1/2	1/2	4/4	2	1	ii	E	I		ii	ii							m	0	0	2, -1, 3		2	2
28	28	162	162	2.0	1/2	1/2	4/4	2	1	I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
29	29	164	164	7.0	0	0	6/4	2	1	I}	E	I		I	I						}	M	0	0	0, 4, 1		0	0
30	30	171	171	2.0	1/4	1/4	6/4	2	1	I[I{	E	I	I	I	I						{	M	0	0	0, 4, 1		0	0
30	30	173	173	3.0	3/4	3/4	6/4	2	1	V7	E	I	I	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
31	31	176	176	1.0	0	0	6/4	2	1	ii	E	I	I	ii	ii							m	0	0	2, -1, 3		2	2
31	31	177	177	2.0	1/4	1/4	6/4	2	1	V7	E	I	I	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
31	31	179	179	3.0	3/4	3/4	6/4	2	1	I]	E	I	I	I	I							M	0	0	0, 4, 1		0	0
32	32	182	182	2.0	0	0	6/4	2	1	I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
32	32	184	184	1.0	1/2	1/2	6/4	2	1	ii7	E	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
32	32	185	185	1.0	3/4	3/4	6/4	2	1	IV	E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
32	32	186	186	1.0	1	1	6/4	2	1	IV6	E	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
32	32	187	187	1.0	5/4	5/4	6/4	2	1	V(+4)	E	I		V(+4)	V			+4				M	0	0	1, 5, 2	0	1	1
33	33	188	188	1.0	0	0	6/4	2	1	IV	E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
33	33	189	189	2.0	1/4	1/4	6/4	2	1	ii6	E	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
33	33	191	191	4.0	3/4	3/4	6/4	2	1	I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
34	34	195	195	2.0	1/4	1/4	6/4	2	1	I[I	E	I	I	I	I							M	0	0	0, 4, 1		0	0
