mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1/4	1/4	2/2	1	1	.c.VIM7		c	i		VIM7		VI	M	7				MM7	1	1	-4, 0, -3, 1		-4	-4
3	3	1/4	1/4	2/2	1	1	#vi7		c	i		#vi7		#vi		7				mm7	1	1	3, 0, 4, 1		3	3
5	5	1/4	1/4	2/2	1	1	III64		c	i		III64		III		64				M	1	1	-2, -3, 1		-3	-2
5	5	3/4	3/4	2/2	1	1	III+64		c	i		III+64		III	+	64				+	1	1	5, -3, 1		-3	5
6	6	3/8	3/8	2/2	1	1	#viio2		c	i		#viio2		#vii	o	2				o7	1	1	-4, 5, 2, -1		5	-4
7	7	1/8	1/8	2/2	1	1	#viio7\\		c	i		#viio7		#vii	o	7			\\	o7	1	1	5, 2, -1, -4		5	5
8	7	23/4	23/4	2/2	1	1	V		c	i		V		V						M	1	1	1, 5, 2		1	1
9	8	0	0	2/2	1	1	i[i		c	i	i	i		i						m	1	1	0, -3, 1		0	0
10	9	0	0	2/2	1	1	i(#7)		c	i	i	i(#7)		i			#7			m	1	1	0, -3, 1	5	0	0
10	9	1/4	1/4	2/2	1	1	i		c	i	i	i		i						m	1	1	0, -3, 1		0	0
10	9	7/8	7/8	2/2	1	1	V		c	i	i	V		V						M	1	1	1, 5, 2		1	1
11	10	0	0	2/2	1	1	VI		c	i	i	VI		VI						M	1	1	-4, 0, -3		-4	-4
11	10	1/2	1/2	2/2	1	1	i		c	i	i	i		i						m	1	1	0, -3, 1		0	0
12	11	0	0	2/2	1	1	i(#7)		c	i	i	i(#7)		i			#7			m	1	1	0, -3, 1	5	0	0
12	11	1/4	1/4	2/2	1	1	i		c	i	i	i		i						m	1	1	0, -3, 1		0	0
13	12	0	0	2/2	1	1	VI6		c	i	i	VI6		VI		6				M	1	1	0, -3, -4		-4	0
13	12	1/4	1/4	2/2	1	1	iv7		c	i	i	iv7		iv		7				mm7	1	1	-1, -4, 0, -3		-1	-1
13	12	1/2	1/2	2/2	1	1	#viio7		c	i	i	#viio7		#vii	o	7				o7	1	1	5, 2, -1, -4		5	5
13	12	3/4	3/4	2/2	1	1	.bII		c	i	i	bII		bII						M	1	1	-5, -1, -4		-5	-5
14	13	0	0	2/2	1	1	vo		c	i	i	vo		v	o					o	1	1	1, -2, -5		1	1
14	13	1/4	1/4	2/2	1	1	.bII6(+4)		c	i	i	bII6(+4)		bII		6	+4			M	1	1	-1, -4, -5	1	-5	-1
14	13	1/2	1/2	2/2	1	1	#viio(b3)		c	i	i	#viio(b3)		#vii	o		b3			o	1	1	5, -5, -1		5	5
14	13	3/4	3/4	2/2	1	1	vii6		c	i	i	vii6		vii		6				m	1	1	-5, -1, -2		-2	-5
15	14	0	0	2/2	1	1	.bII+6		c	i	i	bII+6		bII	+	6				+	1	1	-1, 3, -5		-5	-1
15	14	1/4	1/4	2/2	1	1	.bII6		c	i	i	bII6		bII		6				M	1	1	-1, -4, -5		-5	-1
15	14	1/2	1/2	2/2	1	1	#viio7(4)		c	i	i	#viio7(4)		#vii	o	7	4			o7	1	1	5, -3, -1, -4		5	5
15	14	7/8	7/8	2/2	1	1	.bII		c	i	i	bII		bII						M	1	1	-5, -1, -4		-5	-5
16	15	0	0	2/2	1	1	#viio65\\		c	i	i	#viio65		#vii	o	65			\\	o7	1	1	2, -1, -4, 5		5	2
18	17	7/8	7/8	2/2	1	1	V		c	i	i	V		V						M	1	1	1, 5, 2		1	1
19	18	0	0	2/2	1	1	i		c	i	i	i		i						m	1	1	0, -3, 1		0	0
20	19	0	0	2/2	1	1	i(#7)		c	i	i	i(#7)		i			#7			m	1	1	0, -3, 1	5	0	0
20	19	1/4	1/4	2/2	1	1	i		c	i	i	i		i						m	1	1	0, -3, 1		0	0
20	19	7/8	7/8	2/2	1	1	V		c	i	i	V		V						M	1	1	1, 5, 2		1	1
21	20	0	0	2/2	1	1	VI		c	i	i	VI		VI						M	1	1	-4, 0, -3		-4	-4
21	20	1/2	1/2	2/2	1	1	i		c	i	i	i		i						m	1	1	0, -3, 1		0	0
22	21	0	0	2/2	1	1	i(#7)		c	i	i	i(#7)		i			#7			m	1	1	0, -3, 1	5	0	0
22	21	1/4	1/4	2/2	1	1	i		c	i	i	i		i						m	1	1	0, -3, 1		0	0
23	22	0	0	2/2	1	1	VI6		c	i	i	VI6		VI		6				M	1	1	0, -3, -4		-4	0
23	22	1/4	1/4	2/2	1	1	iv7		c	i	i	iv7		iv		7				mm7	1	1	-1, -4, 0, -3		-1	-1
23	22	1/2	1/2	2/2	1	1	#viio7		c	i	i	#viio7		#vii	o	7				o7	1	1	5, 2, -1, -4		5	5
