mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/8	1	1	.Ab.I[I(+9)		Ab	I	I	I(+9)		I			+9			M	0	0	0, 4, 1	2	0	0
5	5	0	0	3/8	1	1	V7(+6)		Ab	I	I	V7(+6)		V		7	+6			Mm7	0	0	1, 5, 2, -1	4	1	1
7	7	0	0	3/8	1	1	I(+9)		Ab	I	I	I(+9)		I			+9			M	0	0	0, 4, 1	2	0	0
9	9	0	0	3/8	1	1	V7(+6)		Ab	I	I	V7(+6)		V		7	+6			Mm7	0	0	1, 5, 2, -1	4	1	1
11	11	0	0	3/8	1	1	I(+9)		Ab	I	I	I(+9)		I			+9			M	0	0	0, 4, 1	2	0	0
13	13	0	0	3/8	1	1	V7(+6)		Ab	I	I	V7(+6)		V		7	+6			Mm7	0	0	1, 5, 2, -1	4	1	1
15	15	0	0	3/8	1	1	I(+9)		Ab	I	I	I(+9)		I			+9			M	0	0	0, 4, 1	2	0	0
17	17	0	0	3/8	1	1	V7(+6)		Ab	I	I	V7(+6)		V		7	+6			Mm7	0	0	1, 5, 2, -1	4	1	1
19	19	0	0	3/8	1	1	I(+9)\\		Ab	I	I	I(+9)		I			+9		\\	M	0	0	0, 4, 1	2	0	0
20	20	1/4	1/4	3/8	1	1	I(+9)		Ab	I	I	I(+9)		I			+9			M	0	0	0, 4, 1	2	0	0
21	21	0	0	3/8	1	1	V7(+6)		Ab	I	I	V7(+6)		V		7	+6			Mm7	0	0	1, 5, 2, -1	4	1	1
23	23	0	0	3/8	1	1	I(+9)		Ab	I	I	I(+9)		I			+9			M	0	0	0, 4, 1	2	0	0
25	25	0	0	3/8	1	1	V7(+6)		Ab	I	I	V7(+6)		V		7	+6			Mm7	0	0	1, 5, 2, -1	4	1	1
27	27	0	0	3/8	1	1	I(+9)		Ab	I	I	I(+9)		I			+9			M	0	0	0, 4, 1	2	0	0
29	29	0	0	3/8	1	1	V7(+6)		Ab	I	I	V7(+6)		V		7	+6			Mm7	0	0	1, 5, 2, -1	4	1	1
31	31	0	0	3/8	1	1	I(+9)		Ab	I	I	I(+9)		I			+9			M	0	0	0, 4, 1	2	0	0
33	33	0	0	3/8	1	1	V7(+6)		Ab	I	I	V7(+6)		V		7	+6			Mm7	0	0	1, 5, 2, -1	4	1	1
35	35	0	0	3/8	1	1	I(+9)\\		Ab	I	I	I(+9)		I			+9		\\	M	0	0	0, 4, 1	2	0	0
36	36	1/4	1/4	3/8	1	1	I(+9)]		Ab	I	I	I(+9)		I			+9			M	0	0	0, 4, 1	2	0	0
37	37	0	0	3/8	1	1	IV(+9)		Ab	I		IV(+9)		IV			+9			M	0	0	-1, 3, 0	1	-1	-1
39	39	0	0	3/8	1	1	iv(+9)		Ab	I		iv(+9)		iv			+9			m	0	0	-1, -4, 0	1	-1	-1
41	41	0	0	3/8	1	1	IV(+9)		Ab	I		IV(+9)		IV			+9			M	0	0	-1, 3, 0	1	-1	-1
43	43	0	0	3/8	1	1	iv(+9)\\		Ab	I		iv(+9)		iv			+9		\\	m	0	0	-1, -4, 0	1	-1	-1
44	44	9/32	9/32	3/8	1	1	iv(+9)		Ab	I		iv(+9)		iv			+9			m	0	0	-1, -4, 0	1	-1	-1
45	45	0	0	3/8	1	1	#V.V65(+9)		Ab	#V		V65(+9)		V		65	+9			Mm7	0	0	5, 2, -1, 1	3	1	5
46	46	0	0	3/8	1	1	IM7(+6)		Ab	#V		IM7(+6)		I	M	7	+6			MM7	0	0	0, 4, 1, 5	3	0	0
47	47	0	0	3/8	1	1	V65(+9)		Ab	#V		V65(+9)		V		65	+9			Mm7	0	0	5, 2, -1, 1	3	1	5
48	48	0	0	3/8	1	1	IM7(+6)		Ab	#V		IM7(+6)		I	M	7	+6			MM7	0	0	0, 4, 1, 5	3	0	0
49	49	0	0	3/8	1	1	V65(+9)		Ab	#V		V65(+9)		V		65	+9			Mm7	0	0	5, 2, -1, 1	3	1	5
50	50	0	0	3/8	1	1	IM7(+6)		Ab	#V		IM7(+6)		I	M	7	+6			MM7	0	0	0, 4, 1, 5	3	0	0
51	51	0	0	3/8	1	1	V65(+9)		Ab	#V		V65(+9)		V		65	+9			Mm7	0	0	5, 2, -1, 1	3	1	5
52	52	0	0	3/8	1	1	IM7(+6)		Ab	#V		IM7(+6)		I	M	7	+6			MM7	0	0	0, 4, 1, 5	3	0	0
52	52	1/4	1/4	3/8	1	1	I.V2/V		Ab	I		V2/V		V		2		V		Mm7	0	0	0, 2, 6, 3		2	0
53	53	0	0	3/8	1	1	V7(4)		Ab	I		V7(4)		V		7	4			Mm7	0	0	1, 0, 2, -1		1	1
54	54	0	0	3/8	1	1	V65		Ab	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
55	55	0	0	3/8	1	1	v%7	V65(#4#2)	Ab	I		v%7		v	%	7				%7	0	0	1, -2, -5, -1		1	1
56	56	0	0	3/8	1	1	IV6(+9)	V65(42)	Ab	I		IV6(+9)		IV		6	+9			M	0	0	3, 0, -1	1	-1	3
57	57	0	0	3/8	1	1	iv6(+9)	V65(4b2)	Ab	I		iv6(+9)		iv		6	+9			m	0	0	-4, 0, -1	1	-1	-4
59	59	0	0	3/8	1	1	V7(+6)\\		Ab	I		V7(+6)		V		7	+6		\\	Mm7	0	0	1, 5, 2, -1	4	1	1
62	62	1/4	1/4	3/8	1	1	V7(+6)		Ab	I		V7(+6)		V		7	+6			Mm7	0	0	1, 5, 2, -1	4	1	1
63	63	0	0	3/8	1	1	I[V7(+6)		Ab	I	I	V7(+6)		V		7	+6			Mm7	0	0	1, 5, 2, -1	4	1	1
65	65	0	0	3/8	1	1	I(+9)		Ab	I	I	I(+9)		I			+9			M	0	0	0, 4, 1	2	0	0
67	67	0	0	3/8	1	1	V7(+6)		Ab	I	I	V7(+6)		V		7	+6			Mm7	0	0	1, 5, 2, -1	4	1	1
69	69	0	0	3/8	1	1	I(+9)		Ab	I	I	I(+9)		I			+9			M	0	0	0, 4, 1	2	0	0
71	71	0	0	3/8	1	1	V7(+6)		Ab	I	I	V7(+6)		V		7	+6			Mm7	0	0	1, 5, 2, -1	4	1	1
73	73	0	0	3/8	1	1	I(+9)		Ab	I	I	I(+9)		I			+9			M	0	0	0, 4, 1	2	0	0
75	75	0	0	3/8	1	1	V7(+6)		Ab	I	I	V7(+6)		V		7	+6			Mm7	0	0	1, 5, 2, -1	4	1	1
77	77	0	0	3/8	1	1	I(+9)\\		Ab	I	I	I(+9)		I			+9		\\	M	0	0	0, 4, 1	2	0	0
78	78	1/4	1/4	3/8	1	1	I(+9)		Ab	I	I	I(+9)		I			+9			M	0	0	0, 4, 1	2	0	0
79	79	0	0	3/8	1	1	.Ger6		Ab	I	I	Ger6	Ger	vii	o	65	b3	V		Ger	0	0	-4, 0, -3, 6		6	-4
81	81	0	0	3/8	1	1	I(+9)		Ab	I	I	I(+9)		I			+9			M	0	0	0, 4, 1	2	0	0
83	83	0	0	3/8	1	1	.Ger6		Ab	I	I	Ger6	Ger	vii	o	65	b3	V		Ger	0	0	-4, 0, -3, 6		6	-4
85	85	0	0	3/8	1	1	I(+9)		Ab	I	I	I(+9)		I			+9			M	0	0	0, 4, 1	2	0	0
86	86	0	0	3/8	1	1	IV		Ab	I	I	IV		IV						M	0	0	-1, 3, 0		-1	-1
86	86	1/8	1/8	3/8	1	1	I		Ab	I	I	I		I						M	0	0	0, 4, 1		0	0
86	86	1/4	1/4	3/8	1	1	I(#4#2)		Ab	I	I	I(#4#2)		I			#4#2			M	0	0	0, 9, 6		0	0
87	87	0	0	3/8	1	1	I(+9)]		Ab	I	I	I(+9)		I			+9			M	0	0	0, 4, 1	2	0	0
88	88	0	0	3/8	1	1	V7		Ab	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
88	88	1/8	1/8	3/8	1	1	V7(42)		Ab	I		V7(42)		V		7	42			Mm7	0	0	3, 0, 2, -1		1	3
88	88	1/4	1/4	3/8	1	1	V7		Ab	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
89	89	0	0	3/8	1	1	I[I(+9)		Ab	I	I	I(+9)		I			+9			M	0	0	0, 4, 1	2	0	0
90	90	0	0	3/8	1	1	IV		Ab	I	I	IV		IV						M	0	0	-1, 3, 0		-1	-1
90	90	1/8	1/8	3/8	1	1	I		Ab	I	I	I		I						M	0	0	0, 4, 1		0	0
90	90	1/4	1/4	3/8	1	1	I(#4#2)		Ab	I	I	I(#4#2)		I			#4#2			M	0	0	0, 9, 6		0	0
91	91	0	0	3/8	1	1	I(+9)]		Ab	I	I	I(+9)		I			+9			M	0	0	0, 4, 1	2	0	0
92	92	0	0	3/8	1	1	V7		Ab	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
92	92	1/8	1/8	3/8	1	1	V7(42)		Ab	I		V7(42)		V		7	42			Mm7	0	0	3, 0, 2, -1		1	3
92	92	1/4	1/4	3/8	1	1	V7		Ab	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
93	93	0	0	3/8	1	1	I(+9)		Ab	I		I(+9)		I			+9			M	0	0	0, 4, 1	2	0	0
94	94	0	0	3/8	1	1	V7		Ab	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
94	94	1/8	1/8	3/8	1	1	V7(42)		Ab	I		V7(42)		V		7	42			Mm7	0	0	3, 0, 2, -1		1	3
94	94	1/4	1/4	3/8	1	1	V7		Ab	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
95	95	0	0	3/8	1	1	I(+9)		Ab	I		I(+9)		I			+9			M	0	0	0, 4, 1	2	0	0
96	96	0	0	3/8	1	1	V[V7		Ab	I	V	V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
96	96	1/8	1/8	3/8	1	1	V7(42)		Ab	I	V	V7(42)		V		7	42			Mm7	0	0	3, 0, 2, -1		1	3
96	96	1/4	1/4	3/8	1	1	V7(#4#2)		Ab	I	V	V7(#4#2)		V		7	#4#2			Mm7	0	0	1, 10, 7, -1		1	1
97	97	0	0	3/8	1	1	V7		Ab	I	V	V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
97	97	1/8	1/8	3/8	1	1	IV64		Ab	I	V	IV64		IV		64				M	0	0	0, -1, 3		-1	0
97	97	1/4	1/4	3/8	1	1	V7(#4#2)		Ab	I	V	V7(#4#2)		V		7	#4#2			Mm7	0	0	1, 10, 7, -1		1	1
98	98	0	0	3/8	1	1	V7		Ab	I	V	V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
98	98	1/8	1/8	3/8	1	1	V7(42)		Ab	I	V	V7(42)		V		7	42			Mm7	0	0	3, 0, 2, -1		1	3
98	98	1/4	1/4	3/8	1	1	V7(#4#2)]		Ab	I	V	V7(#4#2)		V		7	#4#2			Mm7	0	0	1, 10, 7, -1		1	1
99	99	0	0	3/8	1	1	I[V7(+9)		Ab	I	I	V7(+9)		V		7	+9			Mm7	0	0	1, 5, 2, -1	3	1	1
100	100	0	0	3/8	1	1	V7		Ab	I	I	V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
104	104	0	0	2/4	1	1	I		Ab	I	I	I		I						M	0	0	0, 4, 1		0	0
105	105	0	0	2/4	1	1	V7(+6)		Ab	I	I	V7(+6)		V		7	+6			Mm7	0	0	1, 5, 2, -1	4	1	1
106	106	0	0	2/4	1	1	I		Ab	I	I	I		I						M	0	0	0, 4, 1		0	0
107	107	0	0	2/4	1	1	V7(+6)		Ab	I	I	V7(+6)		V		7	+6			Mm7	0	0	1, 5, 2, -1	4	1	1
108	108	0	0	2/4	1	1	I		Ab	I	I	I		I						M	0	0	0, 4, 1		0	0
109	109	0	0	2/4	1	1	I(+9)		Ab	I	I	I(+9)		I			+9			M	0	0	0, 4, 1	2	0	0
111	111	0	0	2/4	1	1	I]\\		Ab	I	I	I		I					\\	M	0	0	0, 4, 1		0	0
