mc	mn	onset	label
1	1	1/4	.E.V
1	1	1/2	ii
1	1	1	vi
2	2	1/4	I6
2	2	3/4	V
3	3	1/4	V7
3	3	3/4	V(64)
4	4	1/4	V7(64)
4	4	5/8	V7
4	4	3/4	V7\\
5	5	1/4	V
5	5	1/2	ii
5	5	1	vi
6	6	1/4	I6
6	6	3/4	V
6	6	5/4	I6
7	7	1/4	V7/iii
7	7	3/4	V7(64)/iii
8	8	1/4	V7(64)/iii
8	8	5/8	V7/iii
8	8	3/4	V7/iii\\
9	9	0	III
10	10	1/2	III(+#6)
11	11	0	ii
12	12	1/2	ii6(+9)
13	13	0	i
15	15	0	.bV6
15	15	3/4	.bbVII6
16	16	1/2	.bbVII(+9+6)
17	17	0	.bIV6
17	17	3/4	V6
18	18	1/2	V(+9+6)
19	19	0	V43(+9+6)
20	20	0	IV6
20	20	3/4	ii7(+9)
21	21	0	V7(+9+6)
22	22	0	IV6
22	22	3/4	ii7(+9)
23	23	0	V7(+9)
23	23	3/4	ii7(+9)
24	24	0	V7(+9)
24	24	3/4	ii7(+9)
25	25	0	V7(+9)
25	25	3/4	ii7(+9)
26	26	0	V7(+9)
26	26	3/4	ii7(+9)
27	27	0	V7(2)
27	27	1/4	V
27	27	1/2	ii
28	28	1/2	I6
29	29	0	I\\
30	30	1/4	I[I
30	30	3/4	V7
31	31	0	ii
31	31	1/4	V7
31	31	3/4	I]
32	32	0	I6
32	32	1/2	ii7
32	32	3/4	IV
32	32	1	IV6
32	32	5/4	V(+4)
33	33	0	IV
33	33	1/4	ii6
33	33	3/4	I6\\
34	34	1/4	I[I
34	34	3/4	V7
35	35	0	ii
35	35	1/4	V7
35	35	3/4	I]
36	36	0	I6
36	36	1/2	V.V7
36	36	3/4	viio
36	36	1	ii
36	36	5/4	I6(64)
36	36	11/8	I6
37	37	0	V7(#2)
37	37	1/2	V7
37	37	3/4	I\\
38	38	0	.bIII.I[I
39	39	0	V7(6)
40	40	0	IV
41	41	0	V7
43	43	0	V7/IV
44	44	0	IV6(9)
44	44	3/4	IV6
44	44	5/4	.bVII.ii%7]
45	45	0	V[V7(b9)
45	45	3/4	V7
46	46	0	I6(+9+6)
47	47	0	V7(9)
47	47	3/4	V7
48	48	0	I6(+6)
49	49	0	V7(+4)
49	49	1/2	V7(94)
49	49	3/4	V7(4)
49	49	1	V7(9)
49	49	5/4	V7]
50	50	0	.bIII.V7(9)
50	50	1/2	V7
51	51	3/4	V7(9)
51	51	5/4	V7
52	52	0	I[I\\
53	53	0	V7(6)
54	54	0	IV
55	55	0	I(4)
55	55	1	I
56	56	0	V7
57	57	0	.bvi.#viio43]
58	58	0	i6(9)
58	58	3/4	i6(#4)
58	58	1	i6
58	58	5/4	.bV.IVM7
59	59	0	V7(4)
59	59	1/2	V7
59	59	3/4	vii%65(#2)
59	59	1	vii%65
59	59	5/4	V43(#5)
60	60	0	I
61	61	0	V65
62	62	0	.bbVII.V(+964)
63	63	0	V7(6)
63	63	3/4	V7(#7#5)
63	63	5/4	V7
64	64	0	I\\
65	65	0	V65
66	66	0	I.V[V(+964)
67	67	0	V7(6)
67	67	3/4	V7(#7#5)
67	67	5/4	V7
68	68	0	#viio43/ii
70	70	1/4	viio65/V
71	71	1/4	V2/V
71	71	1	viio43(4)/V
71	71	5/4	viio43/V
72	72	1/4	V7(9)
72	72	1/2	V(96)
72	72	3/4	V7(9)
72	72	1	V7(96#4#2)
72	72	5/4	V7
73	73	1/4	V7(9)
73	73	1/2	V(96)
73	73	3/4	V7(9)
73	73	1	V7(96#4#2)
73	73	5/4	V7
74	74	1/4	V7
74	74	3/4	I
74	74	1	V7(64)
75	75	0	V7]\\
75	75	3/8	V(+9+6)
77	77	0	I[I(+9+6)
78	78	0	V7(+9+6)
79	79	0	IV(+9+6)
79	79	3/4	ii7
80	80	0	I(+9+64)
80	80	1	I
80	80	5/4	IV(9)
81	81	0	V7(+9+6)
82	82	0	V7(+9+6)/IV]
83	83	0	IV6(9+6)
83	83	3/4	ii7
83	83	5/4	V.ii%7
84	84	0	V7(b9)
84	84	3/4	V7
85	85	0	IM7\\
86	86	0	V7(9)
86	86	3/4	V7
87	87	0	IM7
88	88	0	V7(+4)
88	88	1	V7(9)
88	88	5/4	V7
89	89	0	I.V7(9)\\
92	92	0	I[I(+9+6)
93	93	0	V(+96)
93	93	1	V(+9)
94	94	0	IV(+9+6)
94	94	3/4	ii7
95	95	0	I(+9+64)
95	95	1	I(+9+6)
95	95	5/4	IV]
96	96	0	V43(+9+6)
97	97	0	#viio65(+6)/ii
98	98	0	IM43(+6)/bVII
98	98	3/4	IM43/bVII
99	99	0	V7(+6)/bVII
100	100	0	.bI.IM43
101	101	0	V7(+6)
102	102	0	I.IM43
103	103	0	vi7
103	103	1/2	ii65
103	103	3/4	ii7(9)
103	103	1	IV(9+6)
103	103	11/8	IV6
104	104	0	IM43
105	105	0	vi7
105	105	1/2	ii65
105	105	3/4	ii7(9)
105	105	1	IV
105	105	11/8	vii%2
106	106	0	VI.V[I(+9+6)
109	109	1/4	I
109	109	3/4	V7
110	110	3/4	I
111	111	1/4	I6
111	111	1/2	ii7
111	111	3/4	IV
111	111	1	IV6
111	111	5/4	V
112	112	0	IV
112	112	3/4	I6]\\
113	113	1/4	V(64)
113	113	3/4	V7
114	114	3/4	V(64)
115	115	0	V[V
115	115	1/4	I6
115	115	1/2	ii7]
115	115	3/4	I.ii
117	117	0	.bVII(9)
117	117	3/4	.bVII
118	118	0	ii
118	118	3/4	ii7
119	119	0	V(9)
119	119	3/4	V(6)
119	119	5/4	V7(6)
120	120	0	I\\
120	120	3/8	I(+9+6)
121	121	0	IVM7(+9+6)
122	122	0	I(+9+6)
123	123	0	IVM7(+9+6)
124	124	0	I(+9+6)
129	129	3/4	vi
130	130	1/4	vi64
130	130	5/8	I\\
130	130	5/4	vi
131	131	1/4	vi64
131	131	5/8	I
131	131	1	vi64
131	131	11/8	I\\
