mc	mn	onset	label
1	1	1/4	.C.V
1	1	1/2	IV
1	1	15/16	iii
3	3	1/2	ii
3	3	15/16	I
4	4	1/2	IV
4	4	15/16	I\\
5	5	3/4	I
6	6	0	IV6(9)
6	6	1/4	V65
6	6	3/4	I
6	6	11/12	vi
7	7	0	V(4)
7	7	3/8	V
7	7	1/2	viio/V\\
7	7	15/16	I
8	8	1/2	IV
8	8	15/16	iii.i
9	9	3/4	i6
10	10	0	#viio2(4)
10	10	1/6	#viio2
10	10	1/4	#viio2(4)
10	10	3/4	V7(6)
10	10	11/12	V7
11	11	0	i\\
11	11	1/2	i6
11	11	3/4	#viio
11	11	11/12	i
12	12	0	I.vii%65(9)/V
12	12	1/6	V43(+4)/V
12	12	1/4	V7(6)
12	12	11/12	V7
13	13	0	I
13	13	1/2	IV
14	14	0	I
15	15	0	IV6
15	15	1/4	V65
15	15	3/4	I
15	15	11/12	vi7
16	16	0	V\\
17	17	0	I
17	17	1/2	vi
18	18	0	III
18	18	3/4	.bVI6
19	19	0	.bIII
19	19	1/4	V.i6
19	19	1/2	V(b64)
19	19	5/8	V
19	19	3/4	V7
20	20	0	I\\
21	21	0	III.#viio7/iv
22	22	0	#viio2/iv
22	22	3/4	#viio7/iv
23	23	0	.bii
23	23	3/4	.bIV64
24	24	0	V65/VI
24	24	1/4	viio2
24	24	1/2	V(+6)
24	24	3/4	V2(+6)
24	24	7/8	V2
25	25	0	I64
25	25	1/2	I\\
25	25	3/4	I64
26	26	1/4	.bVI+
26	26	1/2	iii64
26	26	3/4	I6
27	27	0	#viio2/iv
27	27	3/4	#viio7/iv
28	28	0	.bii
28	28	3/4	.bIV64
29	29	0	V65/VI
29	29	1/4	viio2
29	29	1/2	V(+6)
29	29	3/4	viio2(+4)
30	30	0	I64
30	30	1/2	I
31	31	0	I64
31	31	3/4	I
32	32	0	I64
32	32	1/2	I
32	32	3/4	I64\\
33	33	0	#I.I64
34	34	0	I
34	34	3/4	I64
35	35	0	I
35	35	1/2	I64
35	35	3/4	I\\
36	36	0	.bvii.i64
36	36	1/4	i
36	36	1/2	i64
37	37	0	iv.i
37	37	1/4	i64
37	37	1/2	i
38	38	0	I.viio2
39	39	1/4	V43/V
40	40	0	viio2
41	41	1/4	V43/V
42	42	0	V7
42	42	7/16	V
43	43	1/4	.bIII6
44	44	0	V7
44	44	7/16	V
45	45	1/4	.bIII6
46	46	0	V7
46	46	7/16	V\\
52	52	0	I
52	52	1/2	IV
52	52	15/16	I
54	54	0	IV6(9)
54	54	1/4	V6
54	54	3/4	I
54	54	15/16	vi7
55	55	0	V\\
55	55	3/4	V
56	56	0	I
56	56	1/2	vi
56	56	15/16	iii.i
58	58	0	V(6)
58	58	3/16	V
58	58	1/4	V6(6)
58	58	1/2	V64(6)
58	58	5/8	#viio65
58	58	3/4	V(6)
58	58	15/16	V7
59	59	0	i\\
59	59	3/4	i
60	60	0	I.V7(6)
60	60	5/8	V7(42)
60	60	3/4	V7(6#4#2)
60	60	7/8	V65
61	61	0	I
61	61	1/2	iv
61	61	31/32	I
63	63	0	IV6(9)
63	63	1/4	V65
63	63	3/4	I
63	63	11/12	vi7
64	64	0	V
64	64	1/2	V7
65	65	0	I
65	65	1/2	vi
66	66	0	#viio65/ii
67	67	0	.bIII
67	67	1/2	i
68	68	0	#viio43/ii
69	69	0	.bV
69	69	1/2	.biii
70	70	0	.bII
71	71	0	#viio7(+4)/vi
71	71	1/2	#viio65/vi
71	71	3/4	V2/vi
72	72	0	vi6
72	72	1/2	ii6(9)
72	72	3/4	ii6
73	73	0	V[V(64)
73	73	1/2	V(6+4)
73	73	3/4	V(964)
74	74	0	ii7
74	74	1/2	V7(6)
74	74	7/8	V7]
75	75	0	I\\
76	76	1/4	I
76	76	1/2	.bIII.V
76	76	15/16	IV
77	77	0	IV
78	78	1/2	ii
78	78	15/16	I\\
79	79	23/32	V
79	79	31/32	I6
80	80	7/16	I.V
80	80	15/16	I\\
82	82	1/4	I
82	82	1/2	.bIII.V
82	82	15/16	IV
84	84	1/2	ii
84	84	15/16	I\\
85	85	23/32	V
85	85	31/32	I6
86	86	7/16	I.V
86	86	15/16	I
88	88	1/4	vi
88	88	1/2	ii
88	88	15/16	I
90	90	1/4	vi
90	90	1/2	ii
90	90	15/16	I
92	92	1/4	vi
92	92	1/2	ii
92	92	15/16	I
94	94	0	IV
94	94	15/16	I\\
