mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	5.0	0	3/4	4/4	2	1	Ab.V	Ab	I		V		V							M	0	0	1, 5, 2		1	1
3	2	5	2.0	0	0	4/4	2	1	I[I{	Ab	I	I	I		I						{	M	0	0	0, 4, 1		0	0
3	2	7	1.0	1/2	1/2	4/4	2	1	IV(9)	Ab	I	I	IV(9)		IV			9				M	0	0	-1, 3, 0	1	-1	-1
3	2	8	1.0	3/4	3/4	4/4	2	1	V64	Ab	I	I	V64		V		64					M	0	0	2, 1, 5		1	2
4	3	9	2.0	0	0	4/4	2	1	I	Ab	I	I	I		I							M	0	0	0, 4, 1		0	0
4	3	11	1.0	1/2	1/2	4/4	2	1	IV6(9)	Ab	I	I	IV6(9)		IV		6	9				M	0	0	3, 0, -1	1	-1	3
4	3	12	1.0	3/4	3/4	4/4	2	1	V6	Ab	I	I	V6		V		6					M	0	0	5, 2, 1		1	5
5	4	13	2.0	0	0	4/4	2	1	I	Ab	I	I	I		I							M	0	0	0, 4, 1		0	0
5	4	15	1.0	1/2	1/2	4/4	2	1	IV(9)	Ab	I	I	IV(9)		IV			9				M	0	0	-1, 3, 0	1	-1	-1
5	4	16	1.0	3/4	3/4	4/4	2	1	V64	Ab	I	I	V64		V		64					M	0	0	2, 1, 5		1	2
6	5	17	2.0	0	0	4/4	2	1	I	Ab	I	I	I		I							M	0	0	0, 4, 1		0	0
6	5	19	1.0	1/2	1/2	4/4	2	1	IV6(9)	Ab	I	I	IV6(9)		IV		6	9				M	0	0	3, 0, -1	1	-1	3
6	5	20	1.0	3/4	3/4	4/4	2	1	V6	Ab	I	I	V6		V		6					M	0	0	5, 2, 1		1	5
7	6	21	2.0	0	0	4/4	2	1	I]	Ab	I	I	I		I							M	0	0	0, 4, 1		0	0
7	6	23	2.0	1/2	1/2	4/4	2	1	vi	Ab	I		vi		vi							m	0	0	3, 0, 4		3	3
8	7	25	4.0	0	0	4/4	2	1	IV	Ab	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
9	8	29	2.0	0	0	4/4	2	1	I	Ab	I		I		I							M	0	0	0, 4, 1		0	0
9	8	31	2.0	1/2	1/2	4/4	2	1	vi	Ab	I		vi		vi							m	0	0	3, 0, 4		3	3
10	9	33	4.0	0	0	4/4	2	1	IV	Ab	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
11	10	37	16.0	0	0	4/4	2	1	V.V7|HC}	Ab	V		V7		V		7			HC	}	Mm7	0	0	1, 5, 2, -1		1	1
15	14	53	2.0	0	0	4/4	2	1	I[I{	Ab	V	I	I		I						{	M	0	0	0, 4, 1		0	0
15	14	55	1.0	1/2	1/2	4/4	2	1	IV(9)	Ab	V	I	IV(9)		IV			9				M	0	0	-1, 3, 0	1	-1	-1
15	14	56	1.0	3/4	3/4	4/4	2	1	V64	Ab	V	I	V64		V		64					M	0	0	2, 1, 5		1	2
16	15	57	2.0	0	0	4/4	2	1	I	Ab	V	I	I		I							M	0	0	0, 4, 1		0	0
16	15	59	1.0	1/2	1/2	4/4	2	1	IV6(9)	Ab	V	I	IV6(9)		IV		6	9				M	0	0	3, 0, -1	1	-1	3
16	15	60	1.0	3/4	3/4	4/4	2	1	V6	Ab	V	I	V6		V		6					M	0	0	5, 2, 1		1	5
17	16	61	2.0	0	0	4/4	2	1	I	Ab	V	I	I		I							M	0	0	0, 4, 1		0	0
17	16	63	1.0	1/2	1/2	4/4	2	1	IV(9)	Ab	V	I	IV(9)		IV			9				M	0	0	-1, 3, 0	1	-1	-1
17	16	64	1.0	3/4	3/4	4/4	2	1	V64	Ab	V	I	V64		V		64					M	0	0	2, 1, 5		1	2
18	17	65	2.0	0	0	4/4	2	1	I	Ab	V	I	I		I							M	0	0	0, 4, 1		0	0
18	17	67	1.0	1/2	1/2	4/4	2	1	IV6(9)	Ab	V	I	IV6(9)		IV		6	9				M	0	0	3, 0, -1	1	-1	3
18	17	68	1.0	3/4	3/4	4/4	2	1	V6	Ab	V	I	V6		V		6					M	0	0	5, 2, 1		1	5
19	18	69	2.0	0	0	4/4	2	1	I	Ab	V	I	I		I							M	0	0	0, 4, 1		0	0
19	18	71	2.0	1/2	1/2	4/4	2	1	vi6]	Ab	V	I	vi6		vi		6					m	0	0	0, 4, 3		3	0
20	19	73	4.0	0	0	4/4	2	1	I.ii	Ab	I		ii		ii							m	0	0	2, -1, 3		2	2
21	20	77	2.0	0	0	4/4	2	1	V	Ab	I		V		V							M	0	0	1, 5, 2		1	1
21	20	79	2.0	1/2	1/2	4/4	2	1	iii6	Ab	I		iii6		iii		6					m	0	0	1, 5, 4		4	1
22	21	81	4.0	0	0	4/4	2	1	ii	Ab	I		ii		ii							m	0	0	2, -1, 3		2	2
23	22	85	19.0	0	0	4/4	2	1	V7(9)|HC}	Ab	I		V7(9)		V		7	9		HC	}	Mm7	0	0	1, 5, 2, -1	3	1	1
27	26	104	1.0	3/4	3/4	4/4	2	1	I[I(+6){	Ab	I	I	I(+6)		I			+6			{	M	0	0	0, 4, 1	3	0	0
28	27	105	3.0	0	0	4/4	2	1	ii64(+6)	Ab	I	I	ii64(+6)		ii		64	+6				m	0	0	3, 2, -1	5	2	3
28	27	108	1.0	3/4	3/4	4/4	2	1	V7	Ab	I	I	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
29	28	109	3.0	0	0	4/4	2	1	IM7(+6)	Ab	I	I	IM7(+6)		I	M	7	+6				MM7	0	0	0, 4, 1, 5	3	0	0
29	28	112	1.0	3/4	3/4	4/4	2	1	I(+6)	Ab	I	I	I(+6)		I			+6				M	0	0	0, 4, 1	3	0	0
30	29	113	1.5	0	0	4/4	2	1	IV6(+4)	Ab	I	I	IV6(+4)		IV		6	+4				M	0	0	3, 0, -1	5	-1	3
30	29	229/2	1.5	3/8	3/8	4/4	2	1	ii43(+6)	Ab	I	I	ii43(+6)		ii		43	+6				mm7	0	0	3, 0, 2, -1	5	2	3
30	29	116	1.0	3/4	3/4	4/4	2	1	V7	Ab	I	I	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
31	30	117	3.0	0	0	4/4	2	1	IM7(+6)	Ab	I	I	IM7(+6)		I	M	7	+6				MM7	0	0	0, 4, 1, 5	3	0	0
31	30	120	1.0	3/4	3/4	4/4	2	1	I(+6)	Ab	I	I	I(+6)		I			+6				M	0	0	0, 4, 1	3	0	0
