mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0.5	0	0	4/4	2	1	e.i6{		e	i		i6		i		6					{	m	1	1	-3, 1, 0		0	-3
1	1	1/2	1.0	1/8	1/8	4/4	2	1	ii%7(9)		e	i		ii%7(9)		ii	%	7	9					%7	1	1	2, -1, -4, 0	-3	2	2
1	1	3/2	1.0	3/8	3/8	4/4	2	1	iv43		e	i		iv43		iv		43						mm7	1	1	0, -3, -1, -4		-1	0
1	1	5/2	1.0	5/8	5/8	4/4	2	1	iv65		e	i		iv65		iv		65						mm7	1	1	-4, 0, -3, -1		-1	-4
1	1	7/2	0.5	7/8	7/8	4/4	2	1	iv7		e	i		iv7		iv		7						mm7	1	1	-1, -4, 0, -3		-1	-1
2	2	4	1.0	0	0	4/4	2	1	Ger6		e	i		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-4, 0, -3, 6		6	-4
2	2	5	0.5	1/4	1/4	4/4	2	1	V(#764)		e	i		V(#764)		V			#764					M	1	1	1, 0, -3	6	1	1
2	2	11/2	2.5	3/8	3/8	4/4	2	1	V(64)		e	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
3	3	8	1.5	0	0	4/4	2	1	iii.iv6		e	iii		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
3	3	19/2	0.5	3/8	3/8	4/4	2	1	iv		e	iii		iv		iv								m	1	1	-1, -4, 0		-1	-1
3	3	10	1.0	1/2	1/2	4/4	2	1	i6		e	iii		i6		i		6						m	1	1	-3, 1, 0		0	-3
3	3	11	1.0	3/4	3/4	4/4	2	1	V43		e	iii		V43		V		43						Mm7	1	1	2, -1, 1, 5		1	2
4	4	12	1.5	0	0	4/4	2	1	i(#7)		e	iii		i(#7)		i			#7					m	1	1	0, -3, 1	5	0	0
4	4	27/2	2.5	3/8	3/8	4/4	2	1	i|PAC}		e	iii		i		i						PAC	}	m	1	1	0, -3, 1		0	0
5	5	16	0.5	0	0	4/4	2	1	i6{		e	iii		i6		i		6					{	m	1	1	-3, 1, 0		0	-3
5	5	33/2	1.0	1/8	1/8	4/4	2	1	ii%7(9)		e	iii		ii%7(9)		ii	%	7	9					%7	1	1	2, -1, -4, 0	-3	2	2
5	5	35/2	1.0	3/8	3/8	4/4	2	1	iv43		e	iii		iv43		iv		43						mm7	1	1	0, -3, -1, -4		-1	0
5	5	37/2	1.0	5/8	5/8	4/4	2	1	iv65		e	iii		iv65		iv		65						mm7	1	1	-4, 0, -3, -1		-1	-4
5	5	39/2	0.5	7/8	7/8	4/4	2	1	iv7		e	iii		iv7		iv		7						mm7	1	1	-1, -4, 0, -3		-1	-1
6	6	20	1.0	0	0	4/4	2	1	Ger6		e	iii		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-4, 0, -3, 6		6	-4
6	6	21	0.5	1/4	1/4	4/4	2	1	V(#764)		e	iii		V(#764)		V			#764					M	1	1	1, 0, -3	6	1	1
6	6	43/2	2.5	3/8	3/8	4/4	2	1	V(64)		e	iii		V(64)		V			64					M	1	1	1, 0, -3		1	1
7	7	24	1.5	0	0	4/4	2	1	bv.iv6		e	bv		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
7	7	51/2	0.5	3/8	3/8	4/4	2	1	iv		e	bv		iv		iv								m	1	1	-1, -4, 0		-1	-1
7	7	26	1.0	1/2	1/2	4/4	2	1	i6		e	bv		i6		i		6						m	1	1	-3, 1, 0		0	-3
7	7	27	1.0	3/4	3/4	4/4	2	1	V43		e	bv		V43		V		43						Mm7	1	1	2, -1, 1, 5		1	2
8	8	28	5.0	0	0	4/4	2	1	i|IAC}		e	bv		i		i						IAC	}	m	1	1	0, -3, 1		0	0
10	9	33	1.0	0	0	4/4	2	1	ii.i6{		e	ii		i6		i		6					{	m	1	1	-3, 1, 0		0	-3
10	9	34	1.0	1/4	1/4	4/4	2	1	i6(#7)		e	ii		i6(#7)		i		6	#7					m	1	1	-3, 1, 5		0	-3
10	9	35	2.0	1/2	1/2	4/4	2	1	i6		e	ii		i6		i		6						m	1	1	-3, 1, 0		0	-3
11	10	37	2.0	0	0	4/4	2	1	#viio65(b8)		e	ii		#viio65(b8)		#vii	o	65	b8					o7	1	1	2, -1, -4, 5		5	2
11	10	39	1.5	1/2	1/2	4/4	2	1	#viio65		e	ii		#viio65		#vii	o	65						o7	1	1	2, -1, -4, 5		5	2
11	10	81/2	0.5	7/8	7/8	4/4	2	1	V		e	ii		V		V								M	1	1	1, 5, 2		1	1
12	11	41	1.0	0	0	4/4	2	1	i6		e	ii		i6		i		6						m	1	1	-3, 1, 0		0	-3
12	11	42	1.0	1/4	1/4	4/4	2	1	i6(#7)		e	ii		i6(#7)		i		6	#7					m	1	1	-3, 1, 5		0	-3
12	11	43	1.5	1/2	1/2	4/4	2	1	i6		e	ii		i6		i		6						m	1	1	-3, 1, 0		0	-3
12	11	89/2	0.5	7/8	7/8	4/4	2	1	i65		e	ii		i65		i		65						mm7	1	1	-3, 1, -2, 0		0	-3
13	12	45	2.0	0	0	4/4	2	1	#viio65(b8)		e	ii		#viio65(b8)		#vii	o	65	b8					o7	1	1	2, -1, -4, 5		5	2
13	12	47	1.0	1/2	1/2	4/4	2	1	#viio65(#7)		e	ii		#viio65(#7)		#vii	o	65	#7					o7	1	1	2, -1, -4, 3		5	2
13	12	48	1.0	3/4	3/4	4/4	2	1	#viio65		e	ii		#viio65		#vii	o	65						o7	1	1	2, -1, -4, 5		5	2
14	13	49	4.0	0	0	4/4	2	1	vi.V7(9)		e	vi		V7(9)		V		7	9					Mm7	1	1	1, 5, 2, -1	-4	1	1
15	14	53	1.0	0	0	4/4	2	1	VI6(#2)		e	vi		VI6(#2)		VI		6	#2					M	1	1	5, -3, -4		-4	5
15	14	54	1.0	1/4	1/4	4/4	2	1	VI6		e	vi		VI6		VI		6						M	1	1	0, -3, -4		-4	0
15	14	55	1.0	1/2	1/2	4/4	2	1	VI		e	vi		VI		VI								M	1	1	-4, 0, -3		-4	-4
15	14	56	1.0	3/4	3/4	4/4	2	1	VIM2		e	vi		VIM2		VI	M	2						MM7	1	1	1, -4, 0, -3		-4	1
16	15	57	4.0	0	0	4/4	2	1	V7(9)		e	vi		V7(9)		V		7	9					Mm7	1	1	1, 5, 2, -1	-4	1	1
17	16	61	1.0	0	0	4/4	2	1	VI64(4#2)		e	vi		VI64(4#2)		VI		64	4#2					M	1	1	-3, -4, 5, 2		-4	-3
17	16	62	1.0	1/4	1/4	4/4	2	1	VI64		e	vi		VI64		VI		64						M	1	1	-3, -4, 0		-4	-3
17	16	63	1.0	1/2	1/2	4/4	2	1	VI		e	vi		VI		VI								M	1	1	-4, 0, -3		-4	-4
17	16	64	1.0	3/4	3/4	4/4	2	1	VIM2		e	vi		VIM2		VI	M	2						MM7	1	1	1, -4, 0, -3		-4	1
18	17	65	2.0	0	0	4/4	2	1	i.V43		e	i		V43		V		43						Mm7	1	1	2, -1, 1, 5		1	2
18	17	67	2.0	1/2	1/2	4/4	2	1	i[#viio43]		e	i	i	#viio43		#vii	o	43			]			o7	1	1	-1, -4, 5, 2		5	-1
19	18	69	1.0	0	0	4/4	2	1	#viio7(4)		e	i		#viio7(4)		#vii	o	7	4					o7	1	1	5, -3, -1, -4		5	5
19	18	70	1.0	1/4	1/4	4/4	2	1	#viio7		e	i		#viio7		#vii	o	7						o7	1	1	5, 2, -1, -4		5	5
19	18	71	1.0	1/2	1/2	4/4	2	1	iv6(+6)		e	i		iv6(+6)		iv		6	+6					m	1	1	-4, 0, -1	2	-1	-4
19	18	72	1.0	3/4	3/4	4/4	2	1	iv6		e	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
20	19	73	1.5	0	0	4/4	2	1	V7(9)		e	i		V7(9)		V		7	9					Mm7	1	1	1, 5, 2, -1	-4	1	1
20	19	149/2	1.0	3/8	3/8	4/4	2	1	V7		e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
20	19	151/2	1.5	5/8	5/8	4/4	2	1	ii%7		e	i		ii%7		ii	%	7						%7	1	1	2, -1, -4, 0		2	2
21	20	77	16.0	0	0	4/4	2	1	V7(9+6)		e	i		V7(9+6)		V		7	9+6					Mm7	1	1	1, 5, 2, -1	-4, -3	1	1
