mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	2.0	0	1	12/8	2	1	E.V	E	I		V	V							M	0	0	1, 5, 2		1	1
2	1	2	1.5	0	0	12/8	2	1	I	E	I		I	I							M	0	0	0, 4, 1		0	0
2	1	7/2	1.5	3/8	3/8	12/8	2	1	V	E	I		V	V							M	0	0	1, 5, 2		1	1
2	1	5	1.5	3/4	3/4	12/8	2	1	I	E	I		I	I							M	0	0	0, 4, 1		0	0
2	1	13/2	1.5	9/8	9/8	12/8	2	1	V	E	I		V	V							M	0	0	1, 5, 2		1	1
3	2	8	0.5	0	0	12/8	2	1	I[V{	E	I	I	V	V						{	M	0	0	1, 5, 2		1	1
3	2	17/2	0.5	1/8	1/8	12/8	2	1	IV	E	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
3	2	9	0.5	1/4	1/4	12/8	2	1	I	E	I	I	I	I							M	0	0	0, 4, 1		0	0
3	2	19/2	1.5	3/8	3/8	12/8	2	1	IV	E	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
3	2	11	1.0	3/4	3/4	12/8	2	1	I	E	I	I	I	I							M	0	0	0, 4, 1		0	0
3	2	12	0.5	1	1	12/8	2	1	V7	E	I	I	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	2	25/2	1.5	9/8	9/8	12/8	2	1	I	E	I	I	I	I							M	0	0	0, 4, 1		0	0
4	3	14	0.5	0	0	12/8	2	1	V	E	I	I	V	V							M	0	0	1, 5, 2		1	1
4	3	29/2	0.5	1/8	1/8	12/8	2	1	IV	E	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
4	3	15	0.5	1/4	1/4	12/8	2	1	I	E	I	I	I	I							M	0	0	0, 4, 1		0	0
4	3	31/2	1.5	3/8	3/8	12/8	2	1	IV	E	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
4	3	17	1.0	3/4	3/4	12/8	2	1	I	E	I	I	I	I							M	0	0	0, 4, 1		0	0
4	3	18	0.5	1	1	12/8	2	1	V7	E	I	I	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	3	37/2	2.5	9/8	9/8	12/8	2	1	I|PAC}	E	I	I	I	I					PAC	}	M	0	0	0, 4, 1		0	0
5	4	20	0.0	0	0	12/8	2	1	{	E	I	I								{		0	0				
5	4	21	0.5	1/4	1/4	12/8	2	1	V7/IV	E	I	I	V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
5	4	43/2	1.5	3/8	3/8	12/8	2	1	IV	E	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
5	4	23	1.0	3/4	3/4	12/8	2	1	I	E	I	I	I	I							M	0	0	0, 4, 1		0	0
5	4	24	0.5	1	1	12/8	2	1	V(6)	E	I	I	V(6)	V			6				M	0	0	1, 5, 4		1	1
5	4	49/2	2.5	9/8	9/8	12/8	2	1	I	E	I	I	I	I							M	0	0	0, 4, 1		0	0
6	5	27	0.5	1/4	1/4	12/8	2	1	V7/IV	E	I	I	V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
6	5	55/2	1.5	3/8	3/8	12/8	2	1	IV	E	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
6	5	29	1.0	3/4	3/4	12/8	2	1	I	E	I	I	I	I							M	0	0	0, 4, 1		0	0
6	5	30	0.5	1	1	12/8	2	1	V(6)	E	I	I	V(6)	V			6				M	0	0	1, 5, 4		1	1
6	5	61/2	1.5	9/8	9/8	12/8	2	1	I|PAC}	E	I	I	I	I					PAC	}	M	0	0	0, 4, 1		0	0
7	6	32	1.5	0	0	12/8	2	1	I]	E	I	I	I	I							M	0	0	0, 4, 1		0	0
7	6	67/2	1.5	3/8	3/8	12/8	2	1	V	E	I		V	V							M	0	0	1, 5, 2		1	1
7	6	35	1.5	3/4	3/4	12/8	2	1	I	E	I		I	I							M	0	0	0, 4, 1		0	0
7	6	73/2	1.5	9/8	9/8	12/8	2	1	V	E	I		V	V							M	0	0	1, 5, 2		1	1
8	7	38	0.5	0	0	12/8	2	1	I[V{	E	I	I	V	V						{	M	0	0	1, 5, 2		1	1
8	7	77/2	0.5	1/8	1/8	12/8	2	1	IV	E	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
8	7	39	0.5	1/4	1/4	12/8	2	1	I	E	I	I	I	I							M	0	0	0, 4, 1		0	0
