mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	15/8	1.125	15/32	15/32	2/4	2	1	eb.#viio2{		eb	i		#viio2		#vii	o	2				{	o7	1	1	-4, 5, 2, -1		5	-4
2	2	3	1.0	1/4	1/4	2/4	2	1	#viio43		eb	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
3	3	4	1.5	0	0	2/4	2	1	i6(#7)		eb	i		i6(#7)		i		6	#7				m	1	1	-3, 1, 5		0	-3
3	3	11/2	0.5	3/8	3/8	2/4	2	1	i6		eb	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
4	4	6	0.875	0	0	2/4	2	1	viio2(4)/V		eb	i		viio2(4)/V		vii	o	2	4	V			o7	1	1	-3, 6, 5, 0		6	-3
4	4	55/8	0.125	7/32	7/32	2/4	2	1	viio2/V		eb	i		viio2/V		vii	o	2		V			o7	1	1	-3, 6, 3, 0		6	-3
4	4	7	1.0	1/4	1/4	2/4	2	1	Ger43		eb	i		Ger43	Ger	vii	o	43	b3	V			Ger	1	1	0, -3, 6, -4		6	0
5	5	8	1.5	0	0	2/4	2	1	V6(#7)		eb	i		V6(#7)		V		6	#7				M	1	1	5, 2, 6		1	5
5	5	19/2	0.5	3/8	3/8	2/4	2	1	V6		eb	i		V6		V		6					M	1	1	5, 2, 1		1	5
6	6	10	1.0	0	0	2/4	2	1	#viio2		eb	i		#viio2		#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
6	6	11	1.0	1/4	1/4	2/4	2	1	#viio43		eb	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
7	7	12	1.5	0	0	2/4	2	1	i6(#7)		eb	i		i6(#7)		i		6	#7				m	1	1	-3, 1, 5		0	-3
7	7	27/2	0.5	3/8	3/8	2/4	2	1	i6		eb	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
8	8	14	0.875	0	0	2/4	2	1	viio2(4)/V		eb	i		viio2(4)/V		vii	o	2	4	V			o7	1	1	-3, 6, 5, 0		6	-3
8	8	119/8	0.125	7/32	7/32	2/4	2	1	viio2/V		eb	i		viio2/V		vii	o	2		V			o7	1	1	-3, 6, 3, 0		6	-3
8	8	15	1.0	1/4	1/4	2/4	2	1	Ger43		eb	i		Ger43	Ger	vii	o	43	b3	V			Ger	1	1	0, -3, 6, -4		6	0
9	9	16	1.5	0	0	2/4	2	1	V6(#7)		eb	i		V6(#7)		V		6	#7				M	1	1	5, 2, 6		1	5
