mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	6/8	2	1		B.ii{		B	I		ii		ii						{	m	0	0	2, -1, 3		2	2
2	2	0	0	6/8	2	1		I		B	I		I		I							M	0	0	0, 4, 1		0	0
3	3	0	0	6/8	2	1		vii%43		B	I		vii%43		vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1
4	4	0	0	6/8	2	1		I6		B	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	5	0	0	6/8	2	1		ii6		B	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
6	6	1/8	1/8	6/8	2	1		vii%43		B	I		vii%43		vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1
7	7	0	0	6/8	2	1		I6		B	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	7	3/8	3/8	6/8	2	1		I6(+6)		B	I		I6(+6)		I		6	+6				M	0	0	4, 1, 0	3	0	4
9	9	0	0	6/8	2	1		ii6		B	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
9	9	3/8	3/8	6/8	2	1		vii%43		B	I		vii%43		vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1
11	11	0	0	6/8	2	1		I6		B	I		I6		I		6					M	0	0	4, 1, 0		0	4
11	11	3/8	3/8	6/8	2	1		I6(+6)		B	I		I6(+6)		I		6	+6				M	0	0	4, 1, 0	3	0	4
13	13	0	0	6/8	2	1		ii6		B	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
13	13	3/8	3/8	6/8	2	1		vii%43		B	I		vii%43		vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1
15	15	0	0	6/8	2	1		viio7/V		B	I		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
17	17	0	0	6/8	2	1		bII.V(964)		B	bII		V(964)		V			964				M	0	0	1, 0, 4	3	1	1
17	17	3/8	3/8	6/8	2	1		V(64)		B	bII		V(64)		V			64				M	0	0	1, 0, 4		1	1
18	18	0	0	6/8	2	1		V7		B	bII		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
19	19	3/8	3/8	6/8	2	1		V43/IV|EC		B	bII		V43/IV		V		43		IV	EC		Mm7	0	0	1, -2, 0, 4		0	1
23	23	1/4	1/4	6/8	2	1		I.viio65		B	I		viio65		vii	o	65					o7	0	0	2, -1, -4, 5		5	2
24	24	1/4	1/4	6/8	2	1		V7/V		B	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
25	25	0	0	6/8	2	1		vii%7		B	I		vii%7		vii	%	7					%7	0	0	5, 2, -1, 3		5	5
25	25	3/4	3/4	6/8	2	1		V7(9)		B	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
26	26	3/8	3/8	6/8	2	1		V7(9)	ii	B	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
28	28	0	0	6/8	2	1		vii%2		B	I		vii%2		vii	%	2					%7	0	0	3, 5, 2, -1		5	3
29	29	0	0	6/8	2	1		vii%7		B	I		vii%7		vii	%	7					%7	0	0	5, 2, -1, 3		5	5
29	29	3/8	3/8	6/8	2	1		vii%43		B	I		vii%43		vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1
30	30	0	0	6/8	2	1		I6		B	I		I6		I		6					M	0	0	4, 1, 0		0	4
31	31	1/4	1/4	6/8	2	1		IM65		B	I		IM65		I	M	65					MM7	0	0	4, 1, 5, 0		0	4
31	31	1/2	1/2	6/8	2	1		IM7		B	I		IM7		I	M	7					MM7	0	0	0, 4, 1, 5		0	0
32	32	0	0	6/8	2	1		vii%2		B	I		vii%2		vii	%	2					%7	0	0	3, 5, 2, -1		5	3
32	32	3/8	3/8	6/8	2	1		vii%43		B	I		vii%43		vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1
34	34	0	0	6/8	2	1		I6		B	I		I6		I		6					M	0	0	4, 1, 0		0	4
36	36	0	0	6/8	2	1		vii%2		B	I		vii%2		vii	%	2					%7	0	0	3, 5, 2, -1		5	3
36	36	3/8	3/8	6/8	2	1		vii%43		B	I		vii%43		vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1
38	38	0	0	6/8	2	1		viio65/V		B	I		viio65/V		vii	o	65		V			o7	0	0	3, 0, -3, 6		6	3
38	38	3/8	3/8	6/8	2	1		viio7/V		B	I		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
40	40	0	0	6/8	2	1		bIII.I6		B	bIII		I6		I		6					M	0	0	4, 1, 0		0	4
41	41	0	0	6/8	2	1		V7(6)		B	bIII		V7(6)		V		7	6				Mm7	0	0	1, 5, 4, -1		1	1
41	41	1/8	1/8	6/8	2	1		V7		B	bIII		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
41	41	1/2	1/2	6/8	2	1		V7(9)		B	bIII		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
41	41	3/4	3/4	6/8	2	1		V7(6)		B	bIII		V7(6)		V		7	6				Mm7	0	0	1, 5, 4, -1		1	1
42	42	0	0	6/8	2	1		I|IAC}{		B	bIII		I		I					IAC	}{	M	0	0	0, 4, 1		0	0
42	42	3/8	3/8	6/8	2	1		I6		B	bIII		I6		I		6					M	0	0	4, 1, 0		0	4
44	44	0	0	6/8	2	1		I.I64		B	I		I64		I		64					M	0	0	1, 0, 4		0	1
44	44	3/8	3/8	6/8	2	1		I6		B	I		I6		I		6					M	0	0	4, 1, 0		0	4
