mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
12	12	1/4	1/4	4/4	2	1	I+				Ab	I		I+		I	+							+	0	0	-4, 0, 4		-4.0	-4.0	1	3	0.25	0.08333333333333333	0.4166666666666667	0.16666666666666666
12	12	1/2	1/2	4/4	2	1	IV64				Ab	I		IV64		IV		64						M	0	0	-4, -5, -1		-5.0	-4.0	1	5	0.16666666666666666	0.08333333333333333	0.5833333333333334	0.12499999999999999
12	12	3/4	3/4	4/4	2	1	V7				Ab	I		V7		V		7						Mm7	0	0	-3, 1, -2, -5		-3.0	-3.0	0	5	0.0	0.0	0.5833333333333334	0.0
13	13	0	0	4/4	2	1	I				Ab	I		I		I								M	0	0	-4, 0, -3		-4.0	-4.0	0	6	0.0	0.0	0.6666666666666666	0.0
13	13	1/4	1/4	4/4	2	1	I+				Ab	I		I+		I	+							+	0	0	-4, 0, 4		-4.0	-4.0	1	3	0.25	0.08333333333333333	0.4166666666666667	0.16666666666666666
13	13	1/2	1/2	4/4	2	1	V(96#4)				Ab	I		V(96#4)		V			96#4					M	0	0	-3, 1, 3, 0	-1	-3.0	-3.0	0	6	0.0	0.0	0.6666666666666666	0.0
13	13	3/4	3/4	4/4	2	1	V(6#4#2)				Ab	I		V(6#4#2)		V			6#4#2					M	0	0	-3, 6, 3, 0		-3.0	-3.0	0	4	0.0	0.0	0.5	0.0
14	14	0	0	4/4	2	1	V7(b9#2)				Ab	I		V7(b9#2)		V		7	b9#2					Mm7	0	0	-3, 6, -2, -5	-8	-3.0	-3.0	0	7	0.0	0.0	0.75	0.0
14	14	1/4	1/4	4/4	2	1	V7(b9)				Ab	I		V7(b9)		V		7	b9					Mm7	0	0	-3, 1, -2, -5	-8	-3.0	-3.0	0	4	0.0	0.0	0.5	0.0
14	14	1/2	1/2	4/4	2	1	V7(13)				Ab	I		V7(13)		V		7	13					Mm7	0	0	-3, 1, -2, -5	0	-3.0	-3.0	0	11	0.0	0.0	1.0416666666666667	0.0
14	14	23/24	23/24	4/4	2	1	V7]|HC}	0	4.5	/	Ab	I		V7		V		7			]	HC	}	Mm7	0	0	-3, 1, -2, -5		-3.0	-3.0	1	3	0.25	0.125	0.2916666666666667	0.3
16	16	0	0	4/4	2	1	I[I				Ab	I	I	I		I								M	0	0	-4, 0, -3		-4.0	-4.0	1	10	0.09090909090909091	0.08333333333333333	1.4166666666666667	0.05555555555555555
16	16	3/4	3/4	4/4	2	1	IV6				Ab	I		IV6		IV		6						M	0	0	-1, -4, -5		-5.0	-1.0	1	6	0.14285714285714285	0.08333333333333333	0.6666666666666666	0.1111111111111111
17	17	0	0	4/4	2	1	I				Ab	I		I		I								M	0	0	-4, 0, -3		-4.0	-4.0	4	15	0.21052631578947367	0.5	1.5416666666666667	0.24489795918367344
18	18	1/4	1/4	4/4	2	1	V7				Ab	I		V7		V		7						Mm7	0	0	-3, 1, -2, -5		-3.0	-3.0	2	13	0.13333333333333333	0.3333333333333333	1.3333333333333333	0.2
19	19	0	0	4/4	2	1	I(#96#4)				Ab	I		I(#96#4)		I			#96#4					M	0	0	-4, 0, 2, -1	5	-4.0	-4.0	0	6	0.0	0.0	0.9166666666666666	0.0
19	19	1/2	1/2	4/4	2	1	I]|IAC}				Ab	I		I		I					]	IAC	}	M	0	0	-4, 0, -3		-4.0	-4.0	2	15	0.11764705882352941	0.16666666666666666	1.9583333333333333	0.0784313725490196
20	20	3/4	3/4	4/4	2	1	IV6				Ab	I		IV6		IV		6						M	0	0	-1, -4, -5		-5.0	-1.0	1	5	0.16666666666666666	0.08333333333333333	0.5416666666666666	0.13333333333333333
21	21	0	0	4/4	2	1	V6/vi				Ab	I		V6/vi		V		6		vi				M	0	0	4, 1, 0		0.0	4.0	0	15	0.0	0.0	1.9166666666666667	0.0
21	21	3/4	3/4	4/4	2	1	#viio7/vi				Ab	I		#viio7/vi		#vii	o	7		vi				o7	0	0	4, 1, -2, -5		4.0	4.0	0	6	0.0	0.0	0.5	0.0
22	22	0	0	4/4	2	1	vi6(#11)				Ab	I		vi6(#11)		vi		6	#11					m	0	0	-4, 0, -1	5	-1.0	-4.0	0	5	0.0	0.0	0.75	0.0
22	22	1/4	1/4	4/4	2	1	vi6				Ab	I		vi6		vi		6						m	0	0	-4, 0, -1		-1.0	-4.0	0	10	0.0	0.0	0.875	0.0
22	22	1/2	1/2	4/4	2	1	ii%65(2)/V				Ab	I		ii%65(2)/V		ii	%	65	2	V				%7	0	0	-4, -7, -3, 1		-1.0	-4.0	0	4	0.0	0.0	0.6666666666666666	0.0
22	22	3/4	3/4	4/4	2	1	ii%65/V				Ab	I		ii%65/V		ii	%	65		V				%7	0	0	-4, -7, -3, -1		-1.0	-4.0	0	8	0.0	0.0	0.75	0.0
23	23	0	0	4/4	2	1	V7(b9)/V	4.52413	6.33525	/	Ab	I		V7(b9)/V		V		7	b9	V				Mm7	0	0	-2, 2, -1, -4	-7	-2.0	-2.0	0	13	0.0	0.0	1.25	0.0
23	23	1/2	1/2	4/4	2	1	I6/V				Ab	I		I6/V		I		6		V				M	0	0	1, -2, -3		-3.0	1.0	0	19	0.0	0.0	1.9583333333333333	0.0
24	24	1/4	1/4	4/4	2	1	viio43/V				Ab	I		viio43/V		vii	o	43		V				o7	0	0	-4, -7, 2, -1		2.0	-4.0	1	5	0.16666666666666666	0.0625	0.5208333333333334	0.10714285714285714
24	24	1/2	1/2	4/4	2	1	I6/V				Ab	I		I6/V		I		6		V				M	0	0	1, -2, -3		-3.0	1.0	0	30	0.0	0.0	2.9166666666666665	0.0
25	25	3/4	3/4	4/4	2	1	ii%43/ii				Ab	I		ii%43/ii		ii	%	43		ii				%7	0	0	-6, -2, 0, -3		0.0	-6.0	0	5	0.0	0.0	0.5833333333333334	0.0
26	26	0	0	4/4	2	1	i64/ii				Ab	I		i64/ii		i		64		ii				m	0	0	-1, -2, -5		-2.0	-1.0	1	14	0.06666666666666667	0.08333333333333333	1.8333333333333333	0.043478260869565216
26	26	3/4	3/4	4/4	2	1	V7/ii				Ab	I		V7/ii		V		7		ii				Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	1	6	0.14285714285714285	0.125	1.125	0.1
27	27	1/4	1/4	4/4	2	1	i/ii				Ab	I		i/ii		i				ii				m	0	0	-2, -5, -1		-2.0	-2.0	3	12	0.2	0.25	1.4166666666666667	0.15
28	28	0	0	4/4	2	1	V(64)/bVII				Ab	I		V(64)/bVII		V			64	bVII				M	0	0	-5, -6, -2		-5.0	-5.0	1	15	0.0625	0.08333333333333333	2.0833333333333335	0.03846153846153846
28	28	1/2	1/2	4/4	2	1	V7/bVII				Ab	I		V7/bVII		V		7		bVII				Mm7	0	0	-5, -1, -4, -7		-5.0	-5.0	3	13	0.1875	0.3125	2.0208333333333335	0.13392857142857142
29	29	0	0	4/4	2	1	I/bVII|PAC}				Ab	I		I/bVII		I				bVII		PAC	}	M	0	0	-6, -2, -5		-6.0	-6.0	1	22	0.043478260869565216	0.0	2.5	0.0
30	30	0	0	4/4	2	1	V43/v{				Ab	I		V43/v		V		43		v			{	Mm7	0	0	-1, -4, -2, 2		-2.0	-1.0	2	9	0.18181818181818182	0.16666666666666666	1.1666666666666667	0.12499999999999999
30	30	1/2	1/2	4/4	2	1	v				Ab	I		v		v								m	0	0	-3, -6, -2		-3.0	-3.0	5	8	0.38461538461538464	0.5208333333333334	0.8125	0.390625
31	31	0	0	4/4	2	1	#viio7(b11)/v				Ab	I		#viio7(b11)/v		#vii	o	7	b11	v				o7	0	0	2, -1, -4, -7	-13	2.0	2.0	4	10	0.2857142857142857	0.75	0.8333333333333334	0.47368421052631576
31	31	1/2	1/2	4/4	2	1	#viio7/v				Ab	I		#viio7/v		#vii	o	7		v				o7	0	0	2, -1, -4, -7		2.0	2.0	5	4	0.5555555555555556	0.3125	0.3125	0.5
32	32	0	0	4/4	2	1	V43/v				Ab	I		V43/v		V		43		v				Mm7	0	0	-1, -4, -2, 2		-2.0	-1.0	2	9	0.18181818181818182	0.16666666666666666	1.1666666666666667	0.12499999999999999
32	32	1/2	1/2	4/4	2	1	v				Ab	I		v		v								m	0	0	-3, -6, -2		-3.0	-3.0	5	8	0.38461538461538464	0.5208333333333334	0.8125	0.390625
33	33	0	0	4/4	2	1	#viio7(b11)/v				Ab	I		#viio7(b11)/v		#vii	o	7	b11	v				o7	0	0	2, -1, -4, -7	-13	2.0	2.0	4	10	0.2857142857142857	0.75	0.8333333333333334	0.47368421052631576
33	33	1/2	1/2	4/4	2	1	#viio7/v				Ab	I		#viio7/v		#vii	o	7		v				o7	0	0	2, -1, -4, -7		2.0	2.0	5	4	0.5555555555555556	0.3125	0.3125	0.5
34	34	0	0	4/4	2	1	V43/v				Ab	I		V43/v		V		43		v				Mm7	0	0	-1, -4, -2, 2		-2.0	-1.0	2	9	0.18181818181818182	0.16666666666666666	1.1666666666666667	0.12499999999999999
34	34	1/2	1/2	4/4	2	1	ii%43				Ab	I		ii%43		ii	%	43						%7	0	0	-8, -4, -2, -5		-2.0	-8.0	2	11	0.15384615384615385	0.2708333333333333	1.0625	0.203125
35	35	0	0	4/4	2	1	V7				Ab	I		V7		V		7						Mm7	0	0	-3, 1, -2, -5		-3.0	-3.0	4	12	0.25	0.3333333333333333	2.0	0.14285714285714285
35	35	1/2	1/2	4/4	2	1	vii64				Ab	I		vii64		vii		64						m	0	0	2, 1, -2		1.0	2.0	4	15	0.21052631578947367	0.3333333333333333	1.875	0.1509433962264151
36	36	0	0	4/4	2	1	V2				Ab	I		V2		V		2						Mm7	0	0	-5, -3, 1, -2		-3.0	-5.0	4	12	0.25	0.3333333333333333	2.0	0.14285714285714285
36	36	1/2	1/2	4/4	2	1	V7/vi				Ab	I		V7/vi		V		7		vi				Mm7	0	0	0, 4, 1, -2		0.0	0.0	6	13	0.3157894736842105	0.5	1.7083333333333333	0.22641509433962267
37	37	0	0	4/4	2	1	V(64)/bVI				Ab	I		V(64)/bVI		V			64	bVI				M	0	0	-7, -8, -4		-7.0	-7.0	55	0	1.0	6.708333333333333	0.0	1.0
38	38	1/2	1/2	4/4	2	1	V7(6)/bVI				Ab	I		V7(6)/bVI		V		7	6	bVI				Mm7	0	0	-7, -3, -4, -9		-7.0	-7.0	10	0	1.0	1.8333333333333333	0.0	1.0
38	38	3/4	3/4	4/4	2	1	V7/bVI				Ab	I		V7/bVI		V		7		bVI				Mm7	0	0	-7, -3, -6, -9		-7.0	-7.0	2	0	1.0	0.08333333333333333	0.0	1.0
39	39	0	0	4/4	2	1	I/bVI|PAC}				Ab	I		I/bVI		I				bVI		PAC	}	M	0	0	-8, -4, -7		-8.0	-8.0	24	0	1.0	4.416666666666667	0.0	1.0
41	41	0	0	4/4	2	1	III.I{				Ab	III		I		I							{	M	0	0	0, 4, 1		0.0	0.0	1	10	0.09090909090909091	0.08333333333333333	1.4166666666666667	0.05555555555555555
41	41	3/4	3/4	4/4	2	1	IV64				Ab	III		IV64		IV		64						M	0	0	0, -1, 3		-1.0	0.0	1	6	0.14285714285714285	0.08333333333333333	0.6666666666666666	0.1111111111111111
42	42	0	0	4/4	2	1	I				Ab	III		I		I								M	0	0	0, 4, 1		0.0	0.0	3	15	0.16666666666666666	0.25	1.5416666666666667	0.13953488372093023
43	43	0	0	4/4	2	1	viio2(#2)				Ab	III		viio2(#2)		vii	o	2	#2					o7	0	0	-4, 5, 7, -1		5.0	-4.0	1	3	0.25	0.25	0.4166666666666667	0.37499999999999994
43	43	1/3	1/3	4/4	2	1	viio2				Ab	III		viio2		vii	o	2						o7	0	0	-4, 5, 2, -1		5.0	-4.0	2	6	0.25	0.16666666666666666	0.5833333333333334	0.2222222222222222
43	43	3/4	3/4	4/4	2	1	V7				Ab	III		V7		V		7						Mm7	0	0	1, 5, 2, -1		1.0	1.0	0	6	0.0	0.0	0.625	0.0
44	44	0	0	4/4	2	1	I(6#4#2)				Ab	III		I(6#4#2)		I			6#4#2					M	0	0	0, 9, 6, 3		0.0	0.0	0	6	0.0	0.0	0.9166666666666666	0.0
44	44	1/2	1/2	4/4	2	1	I|IAC}				Ab	III		I		I						IAC	}	M	0	0	0, 4, 1		0.0	0.0	0	15	0.0	0.0	2.0	0.0
45	45	1/2	1/2	4/4	2	1	iv64				Ab	III		iv64		iv		64						m	0	0	0, -1, -4		-1.0	0.0	1	10	0.09090909090909091	0.125	1.125	0.1
46	46	0	0	4/4	2	1	i				Ab	III		i		i								m	0	0	0, -3, 1		0.0	0.0	0	10	0.0	0.0	1.75	0.0
47	47	0	0	4/4	2	1	I.i6				Ab	I		i6		i		6						m	0	0	-7, -3, -4		-4.0	-7.0	0	8	0.0	0.0	1.125	0.0
47	47	1/2	1/2	4/4	2	1	i(b11)				Ab	I		i(b11)		i			b11					m	0	0	-4, -7, -3	-12	-4.0	-4.0	2	9	0.18181818181818182	0.375	0.75	0.3333333333333333
48	48	0	0	4/4	2	1	V[V(b6)				Ab	I	V	V(b6)		V			b6					M	0	0	-3, 1, -7		-3.0	-3.0	0	5	0.0	0.0	0.625	0.0
48	48	1/4	1/4	4/4	2	1	V|HC}				Ab	I		V		V						HC	}	M	0	0	-3, 1, -2		-3.0	-3.0	2	11	0.15384615384615385	0.16666666666666666	1.0833333333333333	0.13333333333333333
49	49	0	0	4/4	2	1	viio2(#2)/V				Ab	I		viio2(#2)/V		vii	o	2	#2	V				o7	0	0	-7, 2, 4, -4		2.0	-7.0	0	5	0.0	0.0	0.5833333333333334	0.0
49	49	1/4	1/4	4/4	2	1	viio2/V				Ab	I		viio2/V		vii	o	2		V				o7	0	0	-7, 2, -1, -4		2.0	-7.0	1	7	0.125	0.08333333333333333	0.6666666666666666	0.1111111111111111
49	49	1/2	1/2	4/4	2	1	viio7/V				Ab	I		viio7/V		vii	o	7		V				o7	0	0	2, -1, -4, -7		2.0	2.0	2	13	0.13333333333333333	0.16666666666666666	1.25	0.1176470588235294
50	50	0	0	4/4	2	1	V7(b9#2)				Ab	I		V7(b9#2)		V		7	b9#2					Mm7	0	0	-3, 6, -2, -5	-8	-3.0	-3.0	0	5	0.0	0.0	0.5833333333333334	0.0
50	50	1/4	1/4	4/4	2	1	V7(b9)				Ab	I		V7(b9)		V		7	b9					Mm7	0	0	-3, 1, -2, -5	-8	-3.0	-3.0	1	22	0.043478260869565216	0.08333333333333333	2.0833333333333335	0.03846153846153846
51	51	0	0	4/4	2	1	I(7)				Ab	I		I(7)		I			7					M	0	0	-4, 0, -3	1	-4.0	-4.0	0	5	0.0	0.0	0.5833333333333334	0.0
51	51	1/4	1/4	4/4	2	1	I				Ab	I		I		I								M	0	0	-4, 0, -3		-4.0	-4.0	0	7	0.0	0.0	0.625	0.0
51	51	1/2	1/2	4/4	2	1	#viio43/ii				Ab	I		#viio43/ii		#vii	o	43		ii				o7	0	0	-3, -6, 3, 0		3.0	-3.0	1	13	0.07142857142857142	0.08333333333333333	1.4583333333333333	0.05405405405405406
52	52	0	0	4/4	2	1	V7				Ab	I		V7		V		7						Mm7	0	0	-3, 1, -2, -5		-3.0	-3.0	0	13	0.0	0.0	1.75	0.0
52	52	1/2	1/2	4/4	2	1	#viio2(#2)/ii				Ab	I		#viio2(#2)/ii		#vii	o	2	#2	ii				o7	0	0	-6, 3, 5, -3		3.0	-6.0	1	6	0.14285714285714285	0.08333333333333333	1.0	0.07692307692307693
52	52	3/4	3/4	4/4	2	1	#viio2/ii				Ab	I		#viio2/ii		#vii	o	2		ii				o7	0	0	-6, 3, 0, -3		3.0	-6.0	1	4	0.2	0.08333333333333333	0.5	0.14285714285714285
53	53	0	0	4/4	2	1	V7				Ab	I		V7		V		7						Mm7	0	0	-3, 1, -2, -5		-3.0	-3.0	0	8	0.0	0.0	1.3333333333333333	0.0
53	53	1/4	1/4	4/4	2	1	#viio7/vi				Ab	I		#viio7/vi		#vii	o	7		vi				o7	0	0	4, 1, -2, -5		4.0	4.0	1	5	0.16666666666666666	0.08333333333333333	0.5833333333333334	0.12499999999999999
53	53	1/2	1/2	4/4	2	1	IV64				Ab	I		IV64		IV		64						M	0	0	-4, -5, -1		-5.0	-4.0	0	7	0.0	0.0	1.0833333333333333	0.0
53	53	3/4	3/4	4/4	2	1	ii				Ab	I		ii		ii								m	0	0	-2, -5, -1		-2.0	-2.0	1	4	0.2	0.08333333333333333	0.5	0.14285714285714285
54	54	0	0	4/4	2	1	V7				Ab	I		V7		V		7						Mm7	0	0	-3, 1, -2, -5		-3.0	-3.0	0	13	0.0	0.0	1.75	0.0
54	54	1/2	1/2	4/4	2	1	#viio2(#2)/ii				Ab	I		#viio2(#2)/ii		#vii	o	2	#2	ii				o7	0	0	-6, 3, 5, -3		3.0	-6.0	1	6	0.14285714285714285	0.08333333333333333	1.0	0.07692307692307693
54	54	3/4	3/4	4/4	2	1	#viio2/ii				Ab	I		#viio2/ii		#vii	o	2		ii				o7	0	0	-6, 3, 0, -3		3.0	-6.0	1	4	0.2	0.08333333333333333	0.5	0.14285714285714285
55	55	0	0	4/4	2	1	V7				Ab	I		V7		V		7						Mm7	0	0	-3, 1, -2, -5		-3.0	-3.0	0	8	0.0	0.0	1.3333333333333333	0.0
55	55	1/4	1/4	4/4	2	1	#viio7/vi				Ab	I		#viio7/vi		#vii	o	7		vi				o7	0	0	4, 1, -2, -5		4.0	4.0	1	5	0.16666666666666666	0.08333333333333333	0.5833333333333334	0.12499999999999999
55	55	1/2	1/2	4/4	2	1	IV64				Ab	I		IV64		IV		64						M	0	0	-4, -5, -1		-5.0	-4.0	0	7	0.0	0.0	1.0833333333333333	0.0
55	55	3/4	3/4	4/4	2	1	ii				Ab	I		ii		ii								m	0	0	-2, -5, -1		-2.0	-2.0	1	4	0.2	0.08333333333333333	0.5	0.14285714285714285
56	56	0	0	4/4	2	1	V7				Ab	I		V7		V		7						Mm7	0	0	-3, 1, -2, -5		-3.0	-3.0	0	8	0.0	0.0	1.3333333333333333	0.0
56	56	1/4	1/4	4/4	2	1	#viio7/vi				Ab	I		#viio7/vi		#vii	o	7		vi				o7	0	0	4, 1, -2, -5		4.0	4.0	1	5	0.16666666666666666	0.08333333333333333	0.5833333333333334	0.12499999999999999
56	56	1/2	1/2	4/4	2	1	IV64				Ab	I		IV64		IV		64						M	0	0	-4, -5, -1		-5.0	-4.0	0	7	0.0	0.0	1.0833333333333333	0.0
56	56	3/4	3/4	4/4	2	1	ii				Ab	I		ii		ii								m	0	0	-2, -5, -1		-2.0	-2.0	1	4	0.2	0.08333333333333333	0.5	0.14285714285714285
57	57	0	0	4/4	2	1	ii2				Ab	I		ii2		ii		2						mm7	0	0	-4, -2, -5, -1		-2.0	-4.0	0	7	0.0	0.0	1.5833333333333333	0.0
57	57	1/4	1/4	4/4	2	1	ii+2				Ab	I		ii+2		ii	+	2						+7	0	0	-4, -2, 2, 6		-2.0	-4.0	1	4	0.2	0.08333333333333333	0.5	0.14285714285714285
57	57	1/2	1/2	4/4	2	1	IV64(6#4#2)				Ab	I		IV64(6#4#2)		IV		64	6#4#2					M	0	0	8, -2, -5, 4		-5.0	8.0	4	3	0.5714285714285714	0.6666666666666666	0.4166666666666667	0.6153846153846154
57	57	3/4	3/4	4/4	2	1	IV64				Ab	I		IV64		IV		64						M	0	0	-4, -5, -1		-5.0	-4.0	0	7	0.0	0.0	1.0833333333333333	0.0
58	58	0	0	4/4	2	1	V7(6)				Ab	I		V7(6)		V		7	6					Mm7	0	0	-3, 1, 0, -5		-3.0	-3.0	0	6	0.0	0.0	1.375	0.0
58	58	3/8	3/8	4/4	2	1	V7				Ab	I		V7		V		7						Mm7	0	0	-3, 1, -2, -5		-3.0	-3.0	0	5	0.0	0.0	0.625	0.0
58	58	5/8	5/8	4/4	2	1	vii%7				Ab	I		vii%7		vii	%	7						%7	0	0	1, -2, -5, -1		1.0	1.0	12	48	0.2	1.5	6.0	0.2
60	60	1/2	1/2	3/2	2	1	viio7|HC}				Ab	I		viio7		vii	o	7				HC	}	o7	0	0	1, -2, -5, -8		1.0	1.0	0	4	0.0	0.0	2.0	0.0
60	60	9/8	9/8	3/2	2	1	V{				Ab	I		V		V							{	M	0	0	-3, 1, -2		-3.0	-3.0	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
61	61	0	0	4/4	2	1	V7/IV				Ab	I		V7/IV		V		7		IV				Mm7	0	0	-4, 0, -3, -6		-4.0	-4.0	0	13	0.0	0.0	3.0	0.0
61	61	1/2	1/2	4/4	2	1	IV64				Ab	I		IV64		IV		64						M	0	0	-4, -5, -1		-5.0	-4.0	3	13	0.1875	0.25	2.5	0.09090909090909091
62	62	0	0	4/4	2	1	I				Ab	I		I		I								M	0	0	-4, 0, -3		-4.0	-4.0	2	15	0.11764705882352941	0.20833333333333334	3.1666666666666665	0.0617283950617284
63	63	0	0	4/4	2	1	V2/IV				Ab	I		V2/IV		V		2		IV				Mm7	0	0	-6, -4, 0, -3		-4.0	-6.0	0	14	0.0	0.0	3.5	0.0
63	63	1/2	1/2	4/4	2	1	IV6				Ab	I		IV6		IV		6						M	0	0	-1, -4, -5		-5.0	-1.0	3	15	0.16666666666666666	0.1875	2.3125	0.075
64	64	0	0	4/4	2	1	V6/vi				Ab	I		V6/vi		V		6		vi				M	0	0	4, 1, 0		0.0	4.0	15	14	0.5172413793103449	0.7	2.05	0.2545454545454545
66	66	0	0	4/4	2	1	#viio43/ii}				Ab	I		#viio43/ii		#vii	o	43		ii			}	o7	0	0	-3, -6, 3, 0		3.0	-3.0	31	35	0.4696969696969697	1.3333333333333333	4.666666666666667	0.2222222222222222
68	68	0	0	4/4	2	1	viio7/V{				Ab	I		viio7/V		vii	o	7		V			{	o7	0	0	2, -1, -4, -7		2.0	2.0	0	26	0.0	0.0	2.9166666666666665	0.0
69	69	0	0	4/4	2	1	V7(94)				Ab	I		V7(94)		V		7	94					Mm7	0	0	-3, -4, -2, -5	-1	-3.0	-3.0	0	25	0.0	0.0	2.6666666666666665	0.0
70	70	0	0	4/4	2	1	viio7/V				Ab	I		viio7/V		vii	o	7		V				o7	0	0	2, -1, -4, -7		2.0	2.0	0	29	0.0	0.0	3.9166666666666665	0.0
71	71	0	0	4/4	2	1	V7(94)				Ab	I		V7(94)		V		7	94					Mm7	0	0	-3, -4, -2, -5	-1	-3.0	-3.0	0	27	0.0	0.0	3.4166666666666665	0.0
72	72	0	0	4/4	2	1	viio7/V				Ab	I		viio7/V		vii	o	7		V				o7	0	0	2, -1, -4, -7		2.0	2.0	0	31	0.0	0.0	3.9166666666666665	0.0
73	73	0	0	4/4	2	1	V7(94)				Ab	I		V7(94)		V		7	94					Mm7	0	0	-3, -4, -2, -5	-1	-3.0	-3.0	2	10	0.16666666666666666	0.3333333333333333	2.7083333333333335	0.10958904109589039
73	73	3/4	3/4	4/4	2	1	V7(9)				Ab	I		V7(9)		V		7	9					Mm7	0	0	-3, 1, -2, -5	-1	-3.0	-3.0	2	10	0.16666666666666666	0.5	1.6666666666666667	0.23076923076923073
74	74	3/4	3/4	4/4	2	1	V7(6)				Ab	I		V7(6)		V		7	6					Mm7	0	0	-3, 1, 0, -5		-3.0	-3.0	4	3	0.5714285714285714	0.6666666666666666	0.375	0.64
75	75	1/4	1/4	4/4	2	1	I[I|PAC}{				Ab	I	I	I		I						PAC	}{	M	0	0	-4, 0, -3		-4.0	-4.0	3	14	0.17647058823529413	0.4166666666666667	1.75	0.19230769230769232
76	76	1/4	1/4	4/4	2	1	V7				Ab	I		V7		V		7						Mm7	0	0	-3, 1, -2, -5		-3.0	-3.0	3	13	0.1875	0.5833333333333334	1.3333333333333333	0.30434782608695654
