mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	Ab.viio7/V{				Ab	I		viio7/V		vii	o	7		V			{	o7	0	0	2, -1, -4, -7		2.0	2.0	0	25	0.0	0.0	2.8333333333333335	0.0
2	2	0	0	4/4	2	1	V7(94)				Ab	I		V7(94)		V		7	94					Mm7	0	0	-3, -4, -2, -5	-1	-3.0	-3.0	0	25	0.0	0.0	2.8333333333333335	0.0
3	3	0	0	4/4	2	1	viio7/V				Ab	I		viio7/V		vii	o	7		V				o7	0	0	2, -1, -4, -7		2.0	2.0	0	25	0.0	0.0	2.8333333333333335	0.0
4	4	0	0	4/4	2	1	V7(94)				Ab	I		V7(94)		V		7	94					Mm7	0	0	-3, -4, -2, -5	-1	-3.0	-3.0	0	25	0.0	0.0	2.8333333333333335	0.0
5	5	0	0	4/4	2	1	viio7/V				Ab	I		viio7/V		vii	o	7		V				o7	0	0	2, -1, -4, -7		2.0	2.0	0	14	0.0	0.0	2.3333333333333335	0.0
5	5	1/2	1/2	4/4	2	1	V7/bvii				Ab	I		V7/bvii		V		7		bvii				Mm7	0	0	-5, -1, -4, -7		-5.0	-5.0	0	14	0.0	0.0	1.8333333333333333	0.0
6	6	0	0	4/4	2	1	bvii6(#7)				Ab	I		bvii6(#7)		bvii		6	#7					m	0	0	-9, -5, 6		-6.0	-9.0	3	3	0.5	0.5833333333333334	0.25	0.7000000000000001
6	6	1/4	1/4	4/4	2	1	bvii6				Ab	I		bvii6		bvii		6						m	0	0	-9, -5, -6		-6.0	-9.0	0	8	0.0	0.0	1.0	0.0
6	6	1/2	1/2	4/4	2	1	V7/vi				Ab	I		V7/vi		V		7		vi				Mm7	0	0	0, 4, 1, -2		0.0	0.0	4	16	0.2	0.625	1.7083333333333333	0.2678571428571429
7	7	0	0	4/4	2	1	bVI64(#9)				Ab	I		bVI64(#9)		bVI		64	#9					M	0	0	-7, -8, -4	8	-8.0	-7.0	2	6	0.25	0.5	0.8333333333333334	0.37499999999999994
7	7	1/4	1/4	4/4	2	1	bVI64				Ab	I		bVI64		bVI		64						M	0	0	-7, -8, -4		-8.0	-7.0	4	22	0.15384615384615385	0.5	3.25	0.13333333333333333
9	9	0	0	4/4	2	1	Ger6(#13#11)				Ab	I		Ger6(#13#11)	Ger	vii	o	65	#13#11b3	V				Ger	0	0	-8, -4, -7, 2	5, 8	2.0	-8.0	2	5	0.2857142857142857	0.5	0.5833333333333334	0.46153846153846145
9	9	1/4	1/4	4/4	2	1	Ger6}				Ab	I		Ger6	Ger	vii	o	65	b3	V			}	Ger	0	0	-8, -4, -7, 2		2.0	-8.0	2	22	0.08333333333333333	0.3333333333333333	2.8333333333333335	0.10526315789473682
11	11	0	0	4/4	2	1	V[I{				Ab	I	V	I		I							{	M	0	0	-4, 0, -3		-4.0	-4.0	0	6	0.0	0.0	0.6666666666666666	0.0
11	11	1/4	1/4	4/4	2	1	I+				Ab	I		I+		I	+							+	0	0	-4, 0, 4		-4.0	-4.0	1	3	0.25	0.08333333333333333	0.4166666666666667	0.16666666666666666
11	11	1/2	1/2	4/4	2	1	IV64				Ab	I		IV64		IV		64						M	0	0	-4, -5, -1		-5.0	-4.0	1	5	0.16666666666666666	0.08333333333333333	0.5833333333333334	0.12499999999999999
11	11	3/4	3/4	4/4	2	1	V7				Ab	I		V7		V		7						Mm7	0	0	-3, 1, -2, -5		-3.0	-3.0	0	5	0.0	0.0	0.5833333333333334	0.0
12	12	0	0	4/4	2	1	I				Ab	I		I		I								M	0	0	-4, 0, -3		-4.0	-4.0	0	6	0.0	0.0	0.6666666666666666	0.0
