mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	1/4	1/4	2/2	2	1	c.VIM7{						c	i		VIM7	VI	M	7				{	MM7	1	1	-4, 0, -3, 1		-4.0	-4.0	9	21	0.3	1.125	4.5	0.2
3	3	1/4	1/4	2/2	2	1	#vi7						c	i		#vi7	#vi		7					mm7	1	1	3, 0, 4, 1		3.0	3.0	14	18	0.4375	2.0	4.125	0.32653061224489793
5	5	1/4	1/4	2/2	2	1	III64						c	i		III64	III		64					M	1	1	-2, -3, 1		-3.0	-2.0	0	9	0.0	0.0	2.25	0.0
5	5	3/4	3/4	2/2	2	1	III+64						c	i		III+64	III	+	64					+	1	1	5, -3, 1		-3.0	5.0	0	9	0.0	0.0	2.25	0.0
6	6	3/8	3/8	2/2	2	1	#viio2|HC}						c	i		#viio2	#vii	o	2			HC	}	o7	1	1	-4, 5, 2, -1		5.0	-4.0	0	20	0.0	0.0	6.25	0.0
7	7	1/8	1/8	2/2	2	1	#viio7						c	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5.0	5.0	116	115	0.5021645021645021	15.25	16.0	0.488
8	7	23/4	23/4	2/2	2	1	V{						c	i		V	V						{	M	1	1	1, 5, 2		1.0	1.0	0	2	0.0	0.0	0.5	0.0
9	8	0	0	2/2	2	1	i[i						c	i	i	i	i							m	1	1	0, -3, 1		0.0	0.0	6	15	0.2857142857142857	0.75	3.75	0.16666666666666666
10	9	0	0	2/2	2	1	i(#7)						c	i	i	i(#7)	i			#7				m	1	1	0, -3, 1	5	0.0	0.0	0	6	0.0	0.0	1.25	0.0
10	9	1/4	1/4	2/2	2	1	i						c	i	i	i	i							m	1	1	0, -3, 1		0.0	0.0	4	8	0.3333333333333333	0.5	1.5	0.25
10	9	3/4	3/4	2/2	2	1	V						c	i	i	V	V							M	1	1	1, 5, 2		1.0	1.0	0	4	0.0	0.0	0.5	0.0
11	10	0	0	2/2	2	1	VI						c	i	i	VI	VI							M	1	1	-4, 0, -3		-4.0	-4.0	4	6	0.4	0.5	2.25	0.18181818181818182
11	10	1/2	1/2	2/2	2	1	i						c	i	i	i	i							m	1	1	0, -3, 1		0.0	0.0	2	10	0.16666666666666666	0.25	1.75	0.125
12	11	0	0	2/2	2	1	i(#7)						c	i	i	i(#7)	i			#7				m	1	1	0, -3, 1	5	0.0	0.0	0	6	0.0	0.0	1.25	0.0
12	11	1/4	1/4	2/2	2	1	i						c	i	i	i	i							m	1	1	0, -3, 1		0.0	0.0	4	12	0.25	0.5	2.0	0.2
13	12	0	0	2/2	2	1	VI6						c	i	i	VI6	VI		6					M	1	1	0, -3, -4		-4.0	0.0	0	5	0.0	0.0	1.75	0.0
13	12	1/4	1/4	2/2	2	1	iv7						c	i	i	iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1.0	-1.0	0	4	0.0	0.0	0.5	0.0
13	12	1/2	1/2	2/2	2	1	#viio7						c	i	i	#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5.0	5.0	2	5	0.2857142857142857	0.25	1.0	0.2
13	12	3/4	3/4	2/2	2	1	bII						c	i	i	bII	bII							M	1	1	-5, -1, -4		-5.0	-5.0	0	4	0.0	0.0	0.75	0.0
14	13	0	0	2/2	2	1	vo						c	i	i	vo	v	o						o	1	1	1, -2, -5		1.0	1.0	2	3	0.4	0.25	0.75	0.25
14	13	1/4	1/4	2/2	2	1	bII6(b11)						c	i	i	bII6(b11)	bII		6	b11				M	1	1	-1, -4, -5	-6	-5.0	-1.0	0	7	0.0	0.0	1.25	0.0
14	13	1/2	1/2	2/2	2	1	#viio(b3)						c	i	i	#viio(b3)	#vii	o		b3				o	1	1	5, -5, -1		5.0	5.0	2	5	0.2857142857142857	0.25	1.375	0.15384615384615385
14	13	3/4	3/4	2/2	2	1	vii6						c	i	i	vii6	vii		6					m	1	1	-5, -1, -2		-2.0	-5.0	0	5	0.0	0.0	0.625	0.0
15	14	0	0	2/2	2	1	bII6(#5)						c	i	i	bII6(#5)	bII		6	#5				M	1	1	-1, 3, -5		-5.0	-1.0	2	3	0.4	0.25	0.75	0.25
15	14	1/4	1/4	2/2	2	1	bII6						c	i	i	bII6	bII		6					M	1	1	-1, -4, -5		-5.0	-1.0	0	7	0.0	0.0	1.25	0.0
15	14	1/2	1/2	2/2	2	1	#viio7(4)						c	i	i	#viio7(4)	#vii	o	7	4				o7	1	1	5, -3, -1, -4		5.0	5.0	4	5	0.4444444444444444	0.5	1.375	0.26666666666666666
15	14	7/8	7/8	2/2	2	1	bII						c	i	i	bII	bII							M	1	1	-5, -1, -4		-5.0	-5.0	0	2	0.0	0.0	0.25	0.0
16	15	0	0	2/2	2	1	#viio65|HC}						c	i	i	#viio65	#vii	o	65			HC	}	o7	1	1	2, -1, -4, 5		5.0	2.0	46	52	0.46938775510204084	8.5	12.0	0.4146341463414634
18	17	7/8	7/8	2/2	2	1	V{						c	i	i	V	V						{	M	1	1	1, 5, 2		1.0	1.0	0	2	0.0	0.0	0.25	0.0
19	18	0	0	2/2	2	1	i						c	i	i	i	i							m	1	1	0, -3, 1		0.0	0.0	6	15	0.2857142857142857	0.75	3.75	0.16666666666666666
20	19	0	0	2/2	2	1	i(#7)						c	i	i	i(#7)	i			#7				m	1	1	0, -3, 1	5	0.0	0.0	0	6	0.0	0.0	1.25	0.0
20	19	1/4	1/4	2/2	2	1	i						c	i	i	i	i							m	1	1	0, -3, 1		0.0	0.0	4	8	0.3333333333333333	0.5	1.5	0.25
20	19	3/4	3/4	2/2	2	1	V						c	i	i	V	V							M	1	1	1, 5, 2		1.0	1.0	0	4	0.0	0.0	0.5	0.0
21	20	0	0	2/2	2	1	VI						c	i	i	VI	VI							M	1	1	-4, 0, -3		-4.0	-4.0	4	6	0.4	0.5	2.25	0.18181818181818182
21	20	1/2	1/2	2/2	2	1	i						c	i	i	i	i							m	1	1	0, -3, 1		0.0	0.0	2	10	0.16666666666666666	0.25	1.75	0.125
22	21	0	0	2/2	2	1	i(#7)						c	i	i	i(#7)	i			#7				m	1	1	0, -3, 1	5	0.0	0.0	0	6	0.0	0.0	1.25	0.0
22	21	1/4	1/4	2/2	2	1	i						c	i	i	i	i							m	1	1	0, -3, 1		0.0	0.0	4	12	0.25	0.5	2.0	0.2
23	22	0	0	2/2	2	1	VI6						c	i	i	VI6	VI		6					M	1	1	0, -3, -4		-4.0	0.0	0	5	0.0	0.0	1.75	0.0
23	22	1/4	1/4	2/2	2	1	iv7						c	i	i	iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1.0	-1.0	0	4	0.0	0.0	0.5	0.0
23	22	1/2	1/2	2/2	2	1	#viio7						c	i	i	#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5.0	5.0	2	5	0.2857142857142857	0.25	1.0	0.2
23	22	3/4	3/4	2/2	2	1	bII						c	i	i	bII	bII							M	1	1	-5, -1, -4		-5.0	-5.0	0	4	0.0	0.0	0.75	0.0
24	23	0	0	2/2	2	1	vo						c	i	i	vo	v	o						o	1	1	1, -2, -5		1.0	1.0	2	3	0.4	0.25	0.75	0.25
24	23	1/4	1/4	2/2	2	1	bII6(b11)						c	i	i	bII6(b11)	bII		6	b11				M	1	1	-1, -4, -5	-6	-5.0	-1.0	0	7	0.0	0.0	1.25	0.0
24	23	1/2	1/2	2/2	2	1	#viio(b3)						c	i	i	#viio(b3)	#vii	o		b3				o	1	1	5, -5, -1		5.0	5.0	2	5	0.2857142857142857	0.25	1.375	0.15384615384615385
24	23	3/4	3/4	2/2	2	1	vii6						c	i	i	vii6	vii		6					m	1	1	-5, -1, -2		-2.0	-5.0	0	5	0.0	0.0	0.625	0.0
25	24	0	0	2/2	2	1	bII6(#5)						c	i	i	bII6(#5)	bII		6	#5				M	1	1	-1, 3, -5		-5.0	-1.0	2	3	0.4	0.25	0.75	0.25
25	24	1/4	1/4	2/2	2	1	bII6						c	i	i	bII6	bII		6					M	1	1	-1, -4, -5		-5.0	-1.0	0	7	0.0	0.0	1.25	0.0
25	24	1/2	1/2	2/2	2	1	#viio7(4)						c	i	i	#viio7(4)	#vii	o	7	4				o7	1	1	5, -3, -1, -4		5.0	5.0	4	5	0.4444444444444444	0.5	1.375	0.26666666666666666
25	24	7/8	7/8	2/2	2	1	bII]						c	i	i	bII	bII							M	1	1	-5, -1, -4		-5.0	-5.0	0	2	0.0	0.0	0.25	0.0
26	25	0	0	2/2	2	1	#viio7(b3)|HC}					V2/bV|HC}	c	i		#viio7(b3)	#vii	o	7	b3		HC	}	o7	1	1	5, -5, -1, -4		5.0	5.0	35	45	0.4375	4.75	10.75	0.3064516129032258
28	27	15/16	15/16	2/2	2	1	bII.VI6(13){						c	bII		VI6(13)	VI		6	13			{	M	1	0	2, -1, -2	-6	-2.0	2.0	6	6	0.5	1.375	1.5	0.4782608695652174
29	28	1/2	1/2	2/2	2	1	VI6						c	bII		VI6	VI		6					M	1	0	2, -1, -2		-2.0	2.0	10	2	0.8333333333333334	1.625	0.25	0.8666666666666667
30	29	0	0	2/2	2	1	I64(#2)						c	bII		I64(#2)	I		64	#2				M	1	0	-4, -5, 4		-5.0	-4.0	0	5	0.0	0.0	1.0	0.0
30	29	1/4	1/4	2/2	2	1	I64						c	bII		I64	I		64					M	1	0	-4, -5, -1		-5.0	-4.0	2	11	0.15384615384615385	0.25	1.75	0.125
30	29	7/8	7/8	2/2	2	1	iv.V						c	iv		V	V							M	1	1	0, 4, 1		0.0	0.0	0	2	0.0	0.0	0.25	0.0
31	30	0	0	2/2	2	1	#viio65(b8)						c	iv		#viio65(b8)	#vii	o	65	b8				o7	1	1	1, -2, -5, 4		4.0	1.0	2	8	0.2	1.0	1.75	0.36363636363636365
31	30	1/2	1/2	2/2	2	1	#viio65						c	iv		#viio65	#vii	o	65					o7	1	1	1, -2, -5, 4		4.0	1.0	0	11	0.0	0.0	1.625	0.0
32	31	0	0	2/2	2	1	i6(#76)						c	iv		i6(#76)	i		6	#76				m	1	1	-4, -5, 4		-1.0	-4.0	0	5	0.0	0.0	1.0	0.0
32	31	1/4	1/4	2/2	2	1	i6						c	iv		i6	i		6					m	1	1	-4, 0, -1		-1.0	-4.0	2	16	0.1111111111111111	0.25	2.75	0.08333333333333333
33	32	0	0	2/2	2	1	iv6(b13)						c	iv		iv6(b13)	iv		6	b13				m	1	1	-5, -1, -2	-6	-2.0	-5.0	2	7	0.2222222222222222	0.25	2.0	0.1111111111111111
33	32	1/2	1/2	2/2	2	1	iv6						c	iv		iv6	iv		6					m	1	1	-5, -1, -2		-2.0	-5.0	0	11	0.0	0.0	1.75	0.0
34	33	0	0	2/2	2	1	I64						c	iv		I64	I		64					M	1	1	0, -1, 3		-1.0	0.0	0	5	0.0	0.0	1.0	0.0
34	33	1/4	1/4	2/2	2	1	i64						c	iv		i64	i		64					m	1	1	0, -1, -4		-1.0	0.0	4	11	0.26666666666666666	0.5	1.75	0.2222222222222222
35	34	0	0	2/2	2	1	I.V65						c	I		V65	V		65					Mm7	1	0	5, 2, -1, 1		1.0	5.0	0	10	0.0	0.0	2.75	0.0
35	34	1/2	1/2	2/2	2	1	#viio7/vi						c	I		#viio7/vi	#vii	o	7		vi			o7	1	0	8, 5, 2, -1		8.0	8.0	0	13	0.0	0.0	1.875	0.0
36	35	0	0	2/2	2	1	vi6						c	I		vi6	vi		6					m	1	0	0, 4, 3		3.0	0.0	0	7	0.0	0.0	1.25	0.0
36	35	1/4	1/4	2/2	2	1	V6/vi						c	I		V6/vi	V		6		vi			M	1	0	8, 5, 4		4.0	8.0	0	7	0.0	0.0	1.25	0.0
36	35	1/2	1/2	2/2	2	1	vi						c	I		vi	vi							m	1	0	3, 0, 4		3.0	3.0	0	7	0.0	0.0	1.25	0.0
36	35	3/4	3/4	2/2	2	1	viio43/II						c	I		viio43/II	vii	o	43		II			o7	1	0	1, -2, 7, 4		7.0	1.0	0	8	0.0	0.0	1.5	0.0
37	36	0	0	2/2	2	1	I6/II						c	I		I6/II	I		6		II			M	1	0	6, 3, 2		2.0	6.0	4	19	0.17391304347826086	0.5	5.0	0.09090909090909091
38	37	0	0	2/2	2	1	#III.viio7						c	#III		viio7	vii	o	7					o7	1	0	9, 6, 3, 0		9.0	9.0	0	17	0.0	0.0	5.25	0.0
38	37	3/4	3/4	2/2	2	1	V43						c	#III		V43	V		43					Mm7	1	0	6, 3, 5, 9		5.0	6.0	0	6	0.0	0.0	1.25	0.0
38	37	7/8	7/8	2/2	2	1	V43(b5)					Fr6/IV	c	#III		V43(b5)	V		43	b5				Mm7	1	0	-1, 3, 5, 9		5.0	-1.0	0	2	0.0	0.0	0.25	0.0
39	38	0	0	2/2	2	1	I|IAC}						c	#III		I	I					IAC	}	M	1	0	4, 8, 5		4.0	4.0	0	6	0.0	0.0	1.5	0.0
39	38	3/8	3/8	2/2	2	1	I6{						c	#III		I6	I		6				{	M	1	0	8, 5, 4		4.0	8.0	0	4	0.0	0.0	0.5	0.0
39	38	1/2	1/2	2/2	2	1	bII6						c	#III		bII6	bII		6					M	1	0	3, 0, -1		-1.0	3.0	0	4	0.0	0.0	0.5	0.0
39	38	5/8	5/8	2/2	2	1	II6						c	#III		II6	II		6					M	1	0	10, 7, 6		6.0	10.0	0	4	0.0	0.0	0.5	0.0
39	38	3/4	3/4	2/2	2	1	bIII6						c	#III		bIII6	bIII		6					M	1	0	5, 2, 1		1.0	5.0	0	4	0.0	0.0	0.5	0.0
39	38	7/8	7/8	2/2	2	1	bIV6						c	#III		bIV6	bIV		6					M	1	0	0, -3, -4		-4.0	0.0	0	4	0.0	0.0	0.5	0.0
40	39	0	0	2/2	2	1	IV6						c	#III		IV6	IV		6					M	1	0	7, 4, 3		3.0	7.0	0	4	0.0	0.0	0.5	0.0
40	39	1/8	1/8	2/2	2	1	bV6						c	#III		bV6	bV		6					M	1	0	2, -1, -2		-2.0	2.0	0	4	0.0	0.0	0.5	0.0
40	39	1/4	1/4	2/2	2	1	IV6						c	#III		IV6	IV		6					M	1	0	7, 4, 3		3.0	7.0	0	4	0.0	0.0	0.5	0.0
40	39	3/8	3/8	2/2	2	1	bIV6						c	#III		bIV6	bIV		6					M	1	0	0, -3, -4		-4.0	0.0	0	4	0.0	0.0	0.5	0.0
40	39	1/2	1/2	2/2	2	1	bIII6						c	#III		bIII6	bIII		6					M	1	0	5, 2, 1		1.0	5.0	0	4	0.0	0.0	0.5	0.0
40	39	5/8	5/8	2/2	2	1	bIV6						c	#III		bIV6	bIV		6					M	1	0	0, -3, -4		-4.0	0.0	0	4	0.0	0.0	0.5	0.0
40	39	3/4	3/4	2/2	2	1	bIII6						c	#III		bIII6	bIII		6					M	1	0	5, 2, 1		1.0	5.0	0	4	0.0	0.0	0.5	0.0
40	39	7/8	7/8	2/2	2	1	II6						c	#III		II6	II		6					M	1	0	10, 7, 6		6.0	10.0	0	4	0.0	0.0	0.5	0.0
41	40	0	0	2/2	2	1	bII6						c	#III		bII6	bII		6					M	1	0	3, 0, -1		-1.0	3.0	0	4	0.0	0.0	1.0	0.0
41	40	1/4	1/4	2/2	2	1	bII6(+0)						c	#III		bII6(+0)	bII		6	+0				M	1	0	3, 0, -1	4	-1.0	3.0	18	40	0.3103448275862069	2.25	10.0	0.1836734693877551
