mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	1/4	1/4	4/4	2	1	Db.bVI.I{				Db	bVI		I		I						{	M	0	0	-9, -5, -8		-9	-9	12	0	1.0	2.625	0.0	1.0
2	2	0	0	4/4	2	1	III64				Db	bVI		III64		III		64					M	0	0	-4, -5, -1		-5	-4	16	0	1.0	3.625	0.0	1.0
3	3	0	0	4/4	2	1	bVI				Db	bVI		bVI		bVI							M	0	0	-13, -9, -12		-13	-13	10	0	1.0	2.5	0.0	1.0
3	3	1/2	1/2	4/4	2	1	ii%65				Db	bVI		ii%65		ii	%	65					%7	0	0	-10, -13, -9, -7		-7	-10	11	0	1.0	2.375	0.0	1.0
4	4	0	0	4/4	2	1	I|PC}				Db	bVI		I		I					PC	}	M	0	0	-9, -5, -8		-9	-9	29	0	1.0	7.5	0.0	1.0
6	6	1/2	1/2	4/4	2	1	I.Ger6{				Db	I		Ger6	Ger	vii	o	65	b3	V		{	Ger	0	0	-9, -5, -8, 1		1	-9	2	4	0.3333333333333333	0.3333333333333333	0.5416666666666666	0.38095238095238093
7	7	0	0	4/4	2	1	V(64)				Db	I		V(64)		V			64				M	0	0	-4, -5, -1		-4	-4	1	5	0.16666666666666666	0.25	0.625	0.2857142857142857
8	8	1/2	1/2	4/4	2	1	viio7/V				Db	I		viio7/V		vii	o	7		V			o7	0	0	1, -2, -5, -8		1	1	3	3	0.5	0.4583333333333333	0.4166666666666667	0.5238095238095238
9	9	0	0	4/4	2	1	V(64)				Db	I		V(64)		V			64				M	0	0	-4, -5, -1		-4	-4	2	7	0.2222222222222222	0.3333333333333333	1.0416666666666667	0.2424242424242424
10	10	0	0	4/4	2	1	V7|HC}				Db	I		V7		V		7			HC	}	Mm7	0	0	-4, 0, -3, -6		-4	-4	5	10	0.3333333333333333	2.25	2.125	0.5142857142857142
12	12	0	0	6/4	2	1	I{				Db	I		I		I						{	M	0	0	-5, -1, -4		-5	-5	1	33	0.029411764705882353	0.25	7.125	0.03389830508474576
14	14	1/2	1/2	6/4	2	1	IV64				Db	I		IV64		IV		64					M	0	0	-5, -6, -2		-6	-5	0	3	0.0	0.0	0.75	0.0
14	14	3/4	3/4	6/4	2	1	V2				Db	I		V2		V		2					Mm7	0	0	-6, -4, 0, -3		-4	-6	2	9	0.18181818181818182	0.5	2.375	0.17391304347826086
15	15	0	0	6/4	2	1	I				Db	I		I		I							M	0	0	-5, -1, -4		-5	-5	1	15	0.0625	0.125	3.5	0.034482758620689655
16	16	0	0	6/4	2	1	ii6(2)				Db	I		ii6(2)		ii		6	2				m	0	0	-6, -2, -1		-3	-6	0	6	0.0	0.0	1.375	0.0
16	16	1/2	1/2	6/4	2	1	ii6				Db	I		ii6		ii		6					m	0	0	-6, -2, -3		-3	-6	1	2	0.3333333333333333	0.25	0.375	0.4
16	16	3/4	3/4	6/4	2	1	V7				Db	I		V7		V		7					Mm7	0	0	-4, 0, -3, -6		-4	-4	1	9	0.1	0.25	1.875	0.11764705882352941
17	17	0	0	6/4	2	1	I(9)				Db	I		I(9)		I			9				M	0	0	-5, -1, -4	-3	-5	-5	0	5	0.0	0.0	1.5	0.0
17	17	1/2	1/2	6/4	2	1	I				Db	I		I		I							M	0	0	-5, -1, -4		-5	-5	3	14	0.17647058823529413	0.75	2.75	0.21428571428571427
18	18	1/2	1/2	6/4	2	1	IV64				Db	I		IV64		IV		64					M	0	0	-5, -6, -2		-6	-5	0	3	0.0	0.0	0.75	0.0
18	18	3/4	3/4	6/4	2	1	V2				Db	I		V2		V		2					Mm7	0	0	-6, -4, 0, -3		-4	-6	2	9	0.18181818181818182	0.5	2.125	0.19047619047619047
