mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	A.I{		A	I		I	I						{	M	0	0	3, 7, 4		3.0	3.0	0	1	0.0	0.0	0.25	0.0
1	1	1/4	1/4	4/4	2	1	V		A	I		V	V							M	0	0	4, 8, 5		4.0	4.0	0	2	0.0	0.0	0.1875	0.0
1	1	1/2	1/2	4/4	2	1	I		A	I		I	I							M	0	0	3, 7, 4		3.0	3.0	0	1	0.0	0.0	0.25	0.0
1	1	3/4	3/4	4/4	2	1	V		A	I		V	V							M	0	0	4, 8, 5		4.0	4.0	0	2	0.0	0.0	0.1875	0.0
2	2	0	0	4/4	2	1	I		A	I		I	I							M	0	0	3, 7, 4		3.0	3.0	0	1	0.0	0.0	0.25	0.0
2	2	1/4	1/4	4/4	2	1	V		A	I		V	V							M	0	0	4, 8, 5		4.0	4.0	2	3	0.4	0.125	0.5	0.2
3	3	0	0	4/4	2	1	I6		A	I		I6	I		6					M	0	0	7, 4, 3		3.0	7.0	0	3	0.0	0.0	0.75	0.0
3	3	1/4	1/4	4/4	2	1	ii6		A	I		ii6	ii		6					m	0	0	2, 6, 5		5.0	2.0	5	5	0.5	0.125	1.375	0.08333333333333333
3	3	3/4	3/4	4/4	2	1	V		A	I		V	V							M	0	0	4, 8, 5		4.0	4.0	0	2	0.0	0.0	0.25	0.0
3	3	15/16	15/16	4/4	2	1	ii65/V		A	I		ii65/V	ii		65		V			mm7	0	0	3, 7, 4, 6		6.0	3.0	0	3	0.0	0.0	0.1875	0.0
4	4	0	0	4/4	2	1	V(64)/V		A	I		V(64)/V	V			64	V			M	0	0	5, 4, 8		5.0	5.0	0	3	0.0	0.0	0.5	0.0
4	4	1/4	1/4	4/4	2	1	V/V		A	I		V/V	V				V			M	0	0	5, 9, 6		5.0	5.0	2	3	0.4	0.125	0.375	0.25
4	4	1/2	1/2	4/4	2	1	I/V|PAC}	V|HC}	A	I		I/V	I				V	PAC	}	M	0	0	4, 8, 5		4.0	4.0	0	3	0.0	0.0	0.875	0.0
5	5	0	0	4/4	2	1	I{		A	I		I	I						{	M	0	0	3, 7, 4		3.0	3.0	0	4	0.0	0.0	1.0	0.0
5	5	1/4	1/4	4/4	2	1	V43		A	I		V43	V		43					Mm7	0	0	5, 2, 4, 8		4.0	5.0	0	5	0.0	0.0	0.375	0.0
5	5	1/2	1/2	4/4	2	1	I6		A	I		I6	I		6					M	0	0	7, 4, 3		3.0	7.0	0	4	0.0	0.0	1.0	0.0
5	5	3/4	3/4	4/4	2	1	V2		A	I		V2	V		2					Mm7	0	0	2, 4, 8, 5		4.0	2.0	0	5	0.0	0.0	0.375	0.0
6	6	0	0	4/4	2	1	I6		A	I		I6	I		6					M	0	0	7, 4, 3		3.0	7.0	0	4	0.0	0.0	1.0	0.0
6	6	1/4	1/4	4/4	2	1	ii6		A	I		ii6	ii		6					m	0	0	2, 6, 5		5.0	2.0	1	4	0.2	0.0625	0.875	0.06666666666666667
6	6	1/2	1/2	4/4	2	1	V		A	I		V	V							M	0	0	4, 8, 5		4.0	4.0	1	5	0.16666666666666666	0.0625	0.75	0.07692307692307693
7	7	0	0	4/4	2	1	vi		A	I		vi	vi							m	0	0	6, 3, 7		6.0	6.0	0	4	0.0	0.0	1.0	0.0
7	7	1/4	1/4	4/4	2	1	iii		A	I		iii	iii							m	0	0	7, 4, 8		7.0	7.0	0	5	0.0	0.0	0.5625	0.0
7	7	1/2	1/2	4/4	2	1	vi		A	I		vi	vi							m	0	0	6, 3, 7		6.0	6.0	0	4	0.0	0.0	1.0	0.0
7	7	3/4	3/4	4/4	2	1	ii7(9)		A	I		ii7(9)	ii		7	9				mm7	0	0	5, 2, 6, 3	7	5.0	5.0	0	5	0.0	0.0	0.5625	0.0
8	8	0	0	4/4	2	1	V(64)		A	I		V(64)	V			64				M	0	0	4, 3, 7		4.0	4.0	0	4	0.0	0.0	1.0	0.0
8	8	1/4	1/4	4/4	2	1	V		A	I		V	V							M	0	0	4, 8, 5		4.0	4.0	0	4	0.0	0.0	1.0	0.0
8	8	1/2	1/2	4/4	2	1	I|IAC}		A	I		I	I					IAC	}	M	0	0	3, 7, 4		3.0	3.0	0	4	0.0	0.0	2.0	0.0
9	9	0	0	4/4	2	1	I{		A	I		I	I						{	M	0	0	3, 7, 4		3.0	3.0	0	5	0.0	0.0	0.875	0.0
9	9	3/16	3/16	4/4	2	1	IV		A	I		IV	IV							M	0	0	2, 6, 3		2.0	2.0	0	2	0.0	0.0	0.125	0.0
9	9	1/4	1/4	4/4	2	1	I6		A	I		I6	I		6					M	0	0	7, 4, 3		3.0	7.0	0	3	0.0	0.0	0.375	0.0
9	9	7/16	7/16	4/4	2	1	V43		A	I		V43	V		43					Mm7	0	0	5, 2, 4, 8		4.0	5.0	0	5	0.0	0.0	0.3125	0.0
9	9	1/2	1/2	4/4	2	1	I		A	I		I	I							M	0	0	3, 7, 4		3.0	3.0	0	5	0.0	0.0	1.0	0.0
9	9	11/16	11/16	4/4	2	1	IV6		A	I		IV6	IV		6					M	0	0	6, 3, 2		2.0	6.0	0	2	0.0	0.0	0.125	0.0
9	9	3/4	3/4	4/4	2	1	I64		A	I		I64	I		64					M	0	0	4, 3, 7		3.0	4.0	0	3	0.0	0.0	0.375	0.0
9	9	15/16	15/16	4/4	2	1	V2		A	I		V2	V		2					Mm7	0	0	2, 4, 8, 5		4.0	2.0	0	5	0.0	0.0	0.3125	0.0
10	10	0	0	4/4	2	1	I6		A	I		I6	I		6					M	0	0	7, 4, 3		3.0	7.0	0	5	0.0	0.0	1.25	0.0
10	10	1/4	1/4	4/4	2	1	ii		A	I		ii	ii							m	0	0	5, 2, 6		5.0	5.0	3	6	0.3333333333333333	0.1875	1.25	0.13043478260869565
10	10	1/2	1/2	4/4	2	1	V		A	I		V	V							M	0	0	4, 8, 5		4.0	4.0	4	8	0.3333333333333333	0.25	1.75	0.125
11	11	0	0	4/4	2	1	I6		A	I		I6	I		6					M	0	0	7, 4, 3		3.0	7.0	0	5	0.0	0.0	1.25	0.0
11	11	1/4	1/4	4/4	2	1	V64		A	I		V64	V		64					M	0	0	5, 4, 8		4.0	5.0	0	5	0.0	0.0	0.9375	0.0
11	11	7/16	7/16	4/4	2	1	I		A	I		I	I							M	0	0	3, 7, 4		3.0	3.0	0	5	0.0	0.0	0.3125	0.0
11	11	1/2	1/2	4/4	2	1	V6		A	I		V6	V		6					M	0	0	8, 5, 4		4.0	8.0	2	6	0.25	0.125	1.125	0.1
11	11	3/4	3/4	4/4	2	1	ii65/V		A	I		ii65/V	ii		65		V			mm7	0	0	3, 7, 4, 6		6.0	3.0	2	5	0.2857142857142857	0.25	0.875	0.2222222222222222
12	12	0	0	4/4	2	1	V(64)/V		A	I		V(64)/V	V			64	V			M	0	0	5, 4, 8		5.0	5.0	0	5	0.0	0.0	1.25	0.0
12	12	1/4	1/4	4/4	2	1	V7/V		A	I		V7/V	V		7		V			Mm7	0	0	5, 9, 6, 3		5.0	5.0	3	5	0.375	0.125	1.0	0.1111111111111111
12	12	1/2	1/2	4/4	2	1	I/V|PAC}		A	I		I/V	I				V	PAC	}	M	0	0	4, 8, 5		4.0	4.0	0	5	0.0	0.0	2.25	0.0
13	13	1/4	1/4	4/4	2	1	V/V		A	I		V/V	V				V			M	0	0	5, 9, 6		5.0	5.0	0	2	0.0	0.0	0.1875	0.0
13	13	1/2	1/2	4/4	2	1	I/V		A	I		I/V	I				V			M	0	0	4, 8, 5		4.0	4.0	0	1	0.0	0.0	0.25	0.0
13	13	3/4	3/4	4/4	2	1	V/bIII		A	I		V/bIII	V				bIII			M	0	0	1, 5, 2		1.0	1.0	0	2	0.0	0.0	0.1875	0.0
14	14	0	0	4/4	2	1	I/bIII		A	I		I/bIII	I				bIII			M	0	0	0, 4, 1		0.0	0.0	0	2	0.0	0.0	0.375	0.0
14	14	1/4	1/4	4/4	2	1	ii6/bIII		A	I		ii6/bIII	ii		6		bIII			m	0	0	-1, 3, 2		2.0	-1.0	1	3	0.25	0.0625	0.3125	0.16666666666666666
14	14	1/2	1/2	4/4	2	1	V/bIII		A	I		V/bIII	V				bIII			M	0	0	1, 5, 2		1.0	1.0	2	2	0.5	0.125	0.25	0.3333333333333333
14	14	3/4	3/4	4/4	2	1	V		A	I		V	V							M	0	0	4, 8, 5		4.0	4.0	1	2	0.3333333333333333	0.0625	0.4375	0.125
15	15	0	0	4/4	2	1	I6		A	I		I6	I		6					M	0	0	7, 4, 3		3.0	7.0	3	7	0.3	0.1875	1.8125	0.09375
15	15	1/2	1/2	4/4	2	1	IV		A	I		IV	IV							M	0	0	2, 6, 3		2.0	2.0	1	8	0.1111111111111111	0.1875	1.8125	0.09375
16	16	0	0	4/4	2	1	ii		A	I		ii	ii							m	0	0	5, 2, 6		5.0	5.0	3	8	0.2727272727272727	0.1875	2.3125	0.075
16	16	1/2	1/2	4/4	2	1	V		A	I		V	V							M	0	0	4, 8, 5		4.0	4.0	3	7	0.3	0.1875	1.5625	0.10714285714285714
17	17	0	0	4/4	2	1	I6		A	I		I6	I		6					M	0	0	7, 4, 3		3.0	7.0	2	4	0.3333333333333333	0.1875	1.0	0.15789473684210525
17	17	1/2	1/2	4/4	2	1	V		A	I		V	V							M	0	0	4, 8, 5		4.0	4.0	1	6	0.14285714285714285	0.125	1.3125	0.08695652173913043
18	18	0	0	4/4	2	1	I		A	I		I	I							M	0	0	3, 7, 4		3.0	3.0	2	8	0.2	0.25	1.625	0.13333333333333333
18	18	1/2	1/2	4/4	2	1	V6		A	I		V6	V		6					M	0	0	8, 5, 4		4.0	8.0	2	5	0.2857142857142857	0.125	1.0	0.1111111111111111
