mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	e.i{				e	i		i		i						{	m	1	1	4, 1, 5		4	4	1	3	0.25	0.125	0.875	0.125
2	2	0	0	4/4	2	1	viio/V				e	i		viio/V		vii	o			V			o	1	1	10, 7, 4		10	10	0	1	0.0	0.0	0.25	0.0
2	2	1/4	1/4	4/4	2	1	i				e	i		i		i							m	1	1	4, 1, 5		4	4	0	3	0.0	0.0	0.75	0.0
3	3	0	0	4/4	2	1	V				e	i		V		V							M	1	1	5, 9, 6		5	5	0	1	0.0	0.0	0.5	0.0
3	3	1/2	1/2	4/4	2	1	i				e	i		i		i							m	1	1	4, 1, 5		4	4	1	3	0.25	0.125	0.875	0.125
4	4	1/2	1/2	4/4	2	1	viio/V				e	i		viio/V		vii	o			V			o	1	1	10, 7, 4		10	10	0	1	0.0	0.0	0.25	0.0
4	4	3/4	3/4	4/4	2	1	i				e	i		i		i							m	1	1	4, 1, 5		4	4	0	3	0.0	0.0	0.75	0.0
5	5	1/2	1/2	4/4	2	1	V|HC}				e	i		V		V					HC	}	M	1	1	5, 9, 6		5	5	0	1	0.0	0.0	0.375	0.0
6	6	0	0	4/4	2	1	V[V{				e	i	V	V		V						{	M	1	1	5, 9, 6		5	5	0	3	0.0	0.0	0.25	0.0
6	6	1/8	1/8	4/4	2	1	i				e	i	V	i		i							m	1	1	4, 1, 5		4	4	0	3	0.0	0.0	0.25	0.0
6	6	1/4	1/4	4/4	2	1	V				e	i	V	V		V							M	1	1	5, 9, 6		5	5	0	3	0.0	0.0	0.25	0.0
6	6	3/8	3/8	4/4	2	1	i				e	i	V	i		i							m	1	1	4, 1, 5		4	4	0	3	0.0	0.0	0.25	0.0
6	6	1/2	1/2	4/4	2	1	V				e	i	V	V		V							M	1	1	5, 9, 6		5	5	0	3	0.0	0.0	0.25	0.0
6	6	5/8	5/8	4/4	2	1	i				e	i	V	i		i							m	1	1	4, 1, 5		4	4	0	3	0.0	0.0	0.25	0.0
6	6	3/4	3/4	4/4	2	1	V				e	i	V	V		V							M	1	1	5, 9, 6		5	5	0	3	0.0	0.0	0.25	0.0
6	6	7/8	7/8	4/4	2	1	i				e	i	V	i		i							m	1	1	4, 1, 5		4	4	0	3	0.0	0.0	0.25	0.0
7	7	0	0	4/4	2	1	V				e	i	V	V		V							M	1	1	5, 9, 6		5	5	0	3	0.0	0.0	0.25	0.0
7	7	1/8	1/8	4/4	2	1	i				e	i	V	i		i							m	1	1	4, 1, 5		4	4	0	3	0.0	0.0	0.25	0.0
7	7	1/4	1/4	4/4	2	1	V				e	i	V	V		V							M	1	1	5, 9, 6		5	5	0	3	0.0	0.0	0.25	0.0
7	7	3/8	3/8	4/4	2	1	i]				e	i	V	i		i							m	1	1	4, 1, 5		4	4	0	3	0.0	0.0	0.25	0.0
7	7	1/2	1/2	4/4	2	1	V6|HC}				e	i		V6		V		6			HC	}	M	1	1	9, 6, 5		5	9	0	3	0.0	0.0	0.625	0.0
8	8	0	0	4/4	2	1	ii[V7/V{				e	i	ii	V7/V		V		7		V		{	Mm7	1	1	6, 10, 7, 4		6	6	0	4	0.0	0.0	1.0833333333333333	0.0
8	8	1/6	1/6	4/4	2	1	V6				e	i	ii	V6		V		6					M	1	1	9, 6, 5		5	9	0	2	0.0	0.0	0.16666666666666666	0.0
8	8	1/4	1/4	4/4	2	1	V(b6)/V				e	i	ii	V(b6)/V		V			b6	V			M	1	1	6, 10, 2		6	6	0	3	0.0	0.0	0.3333333333333333	0.0
8	8	5/12	5/12	4/4	2	1	V(9)				e	i	ii	V(9)		V			9				M	1	1	5, 9, 6	0	5	5	1	1	0.5	0.08333333333333333	0.08333333333333333	0.5
8	8	1/2	1/2	4/4	2	1	V(b5)/V]				e	i	ii	V(b5)/V		V			b5	V			M	1	1	6, 10, 0		6	6	1	3	0.25	0.08333333333333333	0.4166666666666667	0.16666666666666666
8	8	3/4	3/4	4/4	2	1	i6				e	i		i6		i		6					m	1	1	1, 5, 4		4	1	0	4	0.0	0.0	0.75	0.0
9	9	0	0	4/4	2	1	ii[V7/V				e	i	ii	V7/V		V		7		V			Mm7	1	1	6, 10, 7, 4		6	6	0	4	0.0	0.0	1.0833333333333333	0.0
9	9	1/6	1/6	4/4	2	1	V6				e	i	ii	V6		V		6					M	1	1	9, 6, 5		5	9	0	2	0.0	0.0	0.16666666666666666	0.0
9	9	1/4	1/4	4/4	2	1	V(b6)/V				e	i	ii	V(b6)/V		V			b6	V			M	1	1	6, 10, 2		6	6	0	3	0.0	0.0	0.3333333333333333	0.0
9	9	5/12	5/12	4/4	2	1	V(9)				e	i	ii	V(9)		V			9				M	1	1	5, 9, 6	0	5	5	1	1	0.5	0.08333333333333333	0.08333333333333333	0.5
9	9	1/2	1/2	4/4	2	1	V(b5)/V]				e	i	ii	V(b5)/V		V			b5	V			M	1	1	6, 10, 0		6	6	1	3	0.25	0.08333333333333333	0.4166666666666667	0.16666666666666666
9	9	3/4	3/4	4/4	2	1	i6				e	i		i6		i		6					m	1	1	1, 5, 4		4	1	0	4	0.0	0.0	0.75	0.0
10	10	0	0	4/4	2	1	V6				e	i		V6		V		6					M	1	1	9, 6, 5		5	9	0	4	0.0	0.0	0.75	0.0
10	10	1/4	1/4	4/4	2	1	i				e	i		i		i							m	1	1	4, 1, 5		4	4	0	4	0.0	0.0	0.75	0.0
10	10	1/2	1/2	4/4	2	1	V64				e	i		V64		V		64					M	1	1	6, 5, 9		5	6	0	4	0.0	0.0	0.75	0.0
10	10	3/4	3/4	4/4	2	1	i6				e	i		i6		i		6					m	1	1	1, 5, 4		4	1	0	4	0.0	0.0	0.75	0.0
11	11	0	0	4/4	2	1	V6				e	i		V6		V		6					M	1	1	9, 6, 5		5	9	0	4	0.0	0.0	0.75	0.0
11	11	1/4	1/4	4/4	2	1	i				e	i		i		i							m	1	1	4, 1, 5		4	4	0	4	0.0	0.0	0.75	0.0
11	11	1/2	1/2	4/4	2	1	V64				e	i		V64		V		64					M	1	1	6, 5, 9		5	6	0	4	0.0	0.0	0.75	0.0
11	11	3/4	3/4	4/4	2	1	i6				e	i		i6		i		6					m	1	1	1, 5, 4		4	1	0	4	0.0	0.0	0.75	0.0
12	12	0	0	4/4	2	1	V6				e	i		V6		V		6					M	1	1	9, 6, 5		5	9	0	8	0.0	0.0	1.0	0.0
12	12	1/4	1/4	4/4	2	1	i				e	i		i		i							m	1	1	4, 1, 5		4	4	0	4	0.0	0.0	0.5	0.0
12	12	3/8	3/8	4/4	2	1	i6				e	i		i6		i		6					m	1	1	1, 5, 4		4	1	0	4	0.0	0.0	0.5	0.0
12	12	1/2	1/2	4/4	2	1	VI[V64				e	i	VI	V64		V		64					M	1	1	6, 5, 9		5	6	1	3	0.25	0.125	0.375	0.25
12	12	5/8	5/8	4/4	2	1	i6				e	i	VI	i6		i		6					m	1	1	1, 5, 4		4	1	1	3	0.25	0.125	0.375	0.25
12	12	3/4	3/4	4/4	2	1	V6				e	i	VI	V6		V		6					M	1	1	9, 6, 5		5	9	1	3	0.25	0.125	0.375	0.25
12	12	7/8	7/8	4/4	2	1	i]				e	i	VI	i		i							m	1	1	4, 1, 5		4	4	1	3	0.25	0.125	0.375	0.25
13	13	0	0	4/4	2	1	V6				e	i		V6		V		6					M	1	1	9, 6, 5		5	9	0	8	0.0	0.0	1.0	0.0
13	13	1/4	1/4	4/4	2	1	i				e	i		i		i							m	1	1	4, 1, 5		4	4	0	4	0.0	0.0	0.5	0.0
13	13	3/8	3/8	4/4	2	1	i6				e	i		i6		i		6					m	1	1	1, 5, 4		4	1	0	4	0.0	0.0	0.5	0.0
13	13	1/2	1/2	4/4	2	1	VI[V64				e	i	VI	V64		V		64					M	1	1	6, 5, 9		5	6	1	3	0.25	0.125	0.375	0.25
13	13	5/8	5/8	4/4	2	1	i6				e	i	VI	i6		i		6					m	1	1	1, 5, 4		4	1	1	3	0.25	0.125	0.375	0.25
