mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	1/4	1/4	6/4	2	1	E.V{					E	I		V	V						{	M	0	0	5, 9, 6		5	5	0	1	0.0	0.0	0.25	0.0
1	1	1/2	1/2	6/4	2	1	ii					E	I		ii	ii							m	0	0	6, 3, 7		6	6	0	2	0.0	0.0	0.5	0.0
1	1	1	1	6/4	2	1	vi					E	I		vi	vi							m	0	0	7, 4, 8		7	7	0	3	0.0	0.0	0.75	0.0
2	2	1/4	1/4	6/4	2	1	I6					E	I		I6	I		6					M	0	0	8, 5, 4		4	8	1	1	0.5	0.375	0.125	0.75
2	2	3/4	3/4	6/4	2	1	V					E	I		V	V							M	0	0	5, 9, 6		5	5	0	3	0.0	0.0	1.5	0.0
3	3	1/4	1/4	6/4	2	1	V7					E	I		V7	V		7					Mm7	0	0	5, 9, 6, 3		5	5	2	5	0.2857142857142857	0.25	2.25	0.1
3	3	3/4	3/4	6/4	2	1	V(64)					E	I		V(64)	V			64				M	0	0	5, 4, 8		5	5	0	4	0.0	0.0	1.5	0.0
4	4	1/4	1/4	6/4	2	1	V7(64)					E	I		V7(64)	V		7	64				Mm7	0	0	5, 4, 8, 3		5	5	0	5	0.0	0.0	2.25	0.0
4	4	5/8	5/8	6/4	2	1	V7					E	I		V7	V		7					Mm7	0	0	5, 9, 6, 3		5	5	0	2	0.0	0.0	0.25	0.0
4	4	3/4	3/4	6/4	2	1	V7|HC}					E	I		V7	V		7			HC	}	Mm7	0	0	5, 9, 6, 3		5	5	0	2	0.0	0.0	0.5	0.0
5	5	1/4	1/4	6/4	2	1	V{					E	I		V	V						{	M	0	0	5, 9, 6		5	5	0	2	0.0	0.0	0.5	0.0
5	5	1/2	1/2	6/4	2	1	ii					E	I		ii	ii							m	0	0	6, 3, 7		6	6	0	4	0.0	0.0	1.0	0.0
5	5	1	1	6/4	2	1	vi					E	I		vi	vi							m	0	0	7, 4, 8		7	7	0	6	0.0	0.0	1.5	0.0
6	6	1/4	1/4	6/4	2	1	V6					E	I		V6	V		6					M	0	0	9, 6, 5		5	9	2	2	0.5	0.25	0.75	0.25
6	6	3/4	3/4	6/4	2	1	V	8.03466	3.91203	0.42208	/	E	I		V	V							M	0	0	5, 9, 6		5	5	0	4	0.0	0.0	1.0	0.0
6	6	5/4	5/4	6/4	2	1	V7/iii	0.206061	3.91203		/	E	I		V7/iii	V		7		iii			Mm7	0	0	9, 13, 10, 7		9	9	2	8	0.2	0.25	3.75	0.0625
7	7	3/4	3/4	6/4	2	1	V7(64)/iii					E	I		V7(64)/iii	V		7	64	iii			Mm7	0	0	9, 8, 5, 7		9	9	0	6	0.0	0.0	2.5	0.0
8	8	1/4	1/4	6/4	2	1	V7(64)/iii					E	I		V7(64)/iii	V		7	64	iii			Mm7	0	0	9, 8, 5, 7		9	9	0	4	0.0	0.0	1.75	0.0
8	8	5/8	5/8	6/4	2	1	V7/iii					E	I		V7/iii	V		7		iii			Mm7	0	0	9, 13, 10, 7		9	9	0	2	0.0	0.0	0.25	0.0
8	8	3/4	3/4	6/4	2	1	V7/iii|HC}					E	I		V7/iii	V		7		iii	HC	}	Mm7	0	0	9, 13, 10, 7		9	9	0	2	0.0	0.0	0.5	0.0
