mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
5	5	0	0	4/4	2	1	i6{					e	iii		i6		i		6					{	m	1	1	-2, 2, 1		1	-2	0.0	1.0	0.0	0.0	0.125	0.0
5	5	1/8	1/8	4/4	2	1	ii%7(9)					e	iii		ii%7(9)		ii	%	7	9					%7	1	1	3, 0, -3, 1	-2	3	3	0.0	9.0	0.0	0.0	1.25	0.0
5	5	3/8	3/8	4/4	2	1	iv43					e	iii		iv43		iv		43						mm7	1	1	1, -2, 0, -3		0	1	1.0	5.0	0.16666666666666666	0.125	0.625	0.16666666666666666
5	5	5/8	5/8	4/4	2	1	iv65					e	iii		iv65		iv		65						mm7	1	1	-3, 1, -2, 0		0	-3	1.0	9.0	0.1	0.125	1.125	0.1
5	5	7/8	7/8	4/4	2	1	iv7					e	iii		iv7		iv		7						mm7	1	1	0, -3, 1, -2		0	0	0.0	5.0	0.0	0.0	0.625	0.0
6	6	0	0	4/4	2	1	Ger6					e	iii		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-3, 1, -2, 7		7	-3	0.0	4.0	0.0	0.0	0.625	0.0
6	6	1/4	1/4	4/4	2	1	V(#764)					e	iii		V(#764)		V			#764					M	1	1	2, 1, -2	7	2	2	0.0	4.0	0.0	0.0	0.875	0.0
6	6	3/8	3/8	4/4	2	1	V(64)					e	iii		V(64)		V			64					M	1	1	2, 1, -2		2	2	0.0	13.0	0.0	0.0	1.75	0.0
7	7	0	0	4/4	2	1	bv.iv6					e	bv		iv6		iv		6						m	1	1	-6, -2, -3		-3	-6	1.0	7.0	0.125	0.1875	1.0	0.15789473684210525
7	7	3/8	3/8	4/4	2	1	iv					e	bv		iv		iv								m	1	1	-3, -6, -2		-3	-3	0.0	4.0	0.0	0.0	0.4375	0.0
7	7	1/2	1/2	4/4	2	1	i6					e	bv		i6		i		6						m	1	1	-5, -1, -2		-2	-5	0.0	3.0	0.0	0.0	0.5	0.0
7	7	3/4	3/4	4/4	2	1	V43					e	bv		V43		V		43						Mm7	1	1	0, -3, -1, 3		-1	0	0.0	4.0	0.0	0.0	0.625	0.0
8	8	0	0	4/4	2	1	i|IAC}					e	bv		i		i						IAC	}	m	1	1	-2, -5, -1		-2	-2	0.0	14.0	0.0	0.0	2.875	0.0
10	9	0	0	4/4	2	1	ii.i6{					e	ii		i6		i		6					{	m	1	1	3, 7, 6		6	3	0.0	3.0	0.0	0.0	1.125	0.0
10	9	1/4	1/4	4/4	2	1	i6(#7)					e	ii		i6(#7)		i		6	#7					m	1	1	3, 7, 11		6	3	0.0	5.0	0.0	0.0	0.75	0.0
10	9	1/2	1/2	4/4	2	1	i6					e	ii		i6		i		6						m	1	1	3, 7, 6		6	3	0.0	9.0	0.0	0.0	1.375	0.0
11	10	0	0	4/4	2	1	#viio65(b8)					e	ii		#viio65(b8)		#vii	o	65	b8					o7	1	1	8, 5, 2, 11		11	8	1.0	9.0	0.1	0.5	1.125	0.3076923076923077
11	10	1/2	1/2	4/4	2	1	#viio65					e	ii		#viio65		#vii	o	65						o7	1	1	8, 5, 2, 11		11	8	0.0	4.0	0.0	0.0	1.5	0.0
11	10	7/8	7/8	4/4	2	1	V					e	ii		V		V								M	1	1	7, 11, 8		7	7	0.0	1.0	0.0	0.0	0.125	0.0
12	11	0	0	4/4	2	1	i6					e	ii		i6		i		6						m	1	1	3, 7, 6		6	3	0.0	3.0	0.0	0.0	0.75	0.0
12	11	1/4	1/4	4/4	2	1	i6(#7)					e	ii		i6(#7)		i		6	#7					m	1	1	3, 7, 11		6	3	0.0	5.0	0.0	0.0	0.75	0.0
12	11	1/2	1/2	4/4	2	1	i6					e	ii		i6		i		6						m	1	1	3, 7, 6		6	3	1.0	7.0	0.125	0.125	1.125	0.1
12	11	7/8	7/8	4/4	2	1	i65					e	ii		i65		i		65						mm7	1	1	3, 7, 4, 6		6	3	0.0	4.0	0.0	0.0	0.5	0.0
13	12	0	0	4/4	2	1	#viio65(b8)					e	ii		#viio65(b8)		#vii	o	65	b8					o7	1	1	8, 5, 2, 11		11	8	1.0	9.0	0.1	0.5	1.125	0.3076923076923077
13	12	1/2	1/2	4/4	2	1	#viio65(#7)					e	ii		#viio65(#7)		#vii	o	65	#7					o7	1	1	8, 5, 2, 9		11	8	1.0	3.0	0.25	0.25	0.75	0.25
13	12	3/4	3/4	4/4	2	1	#viio65					e	ii		#viio65		#vii	o	65						o7	1	1	8, 5, 2, 11		11	8	0.0	1.0	0.0	0.0	0.25	0.0
14	13	0	0	4/4	2	1	vi.V7(9)					e	vi		V7(9)		V		7	9					Mm7	1	1	1, 5, 2, -1	-4	1	1	2.0	34.0	0.05555555555555555	0.25	5.25	0.045454545454545456
15	14	0	0	4/4	2	1	VI6(#2)					e	vi		VI6(#2)		VI		6	#2					M	1	1	5, -3, -4		-4	5	1.0	3.0	0.25	0.125	0.5	0.2
15	14	1/4	1/4	4/4	2	1	VI6					e	vi		VI6		VI		6						M	1	1	0, -3, -4		-4	0	0.0	7.0	0.0	0.0	1.0	0.0
15	14	1/2	1/2	4/4	2	1	VI					e	vi		VI		VI								M	1	1	-4, 0, -3		-4	-4	0.0	7.0	0.0	0.0	1.0	0.0
15	14	3/4	3/4	4/4	2	1	VIM2					e	vi		VIM2		VI	M	2						MM7	1	1	1, -4, 0, -3		-4	1	0.0	7.0	0.0	0.0	1.0	0.0
16	15	0	0	4/4	2	1	V7(9)					e	vi		V7(9)		V		7	9					Mm7	1	1	1, 5, 2, -1	-4	1	1	3.0	33.0	0.08333333333333333	0.4375	5.0625	0.07954545454545454
17	16	0	0	4/4	2	1	VI64(4#2)					e	vi		VI64(4#2)		VI		64	4#2					M	1	1	-3, -4, 5, 2		-4	-3	0.0	4.0	0.0	0.0	0.625	0.0
17	16	1/4	1/4	4/4	2	1	VI64					e	vi		VI64		VI		64						M	1	1	-3, -4, 0		-4	-3	0.0	6.0	0.0	0.0	0.875	0.0
17	16	1/2	1/2	4/4	2	1	VI					e	vi		VI		VI								M	1	1	-4, 0, -3		-4	-4	0.0	7.0	0.0	0.0	1.0	0.0
17	16	3/4	3/4	4/4	2	1	VIM2					e	vi		VIM2		VI	M	2						MM7	1	1	1, -4, 0, -3		-4	1	0.0	7.0	0.0	0.0	1.0	0.0
18	17	0	0	4/4	2	1	i.V43					e	i		V43		V		43						Mm7	1	1	6, 3, 5, 9		5	6	2.0	13.0	0.13333333333333333	0.25	1.875	0.11764705882352941
18	17	1/2	1/2	4/4	2	1	i[#viio43]					e	i	i	#viio43		#vii	o	43			]			o7	1	1	3, 0, 9, 6		9	3	7.0	10.0	0.4117647058823529	0.875	1.25	0.4117647058823529
19	18	0	0	4/4	2	1	#viio7(4)					e	i		#viio7(4)		#vii	o	7	4					o7	1	1	9, 1, 3, 0		9	9	0.0	5.0	0.0	0.0	0.875	0.0
19	18	1/4	1/4	4/4	2	1	#viio7					e	i		#viio7		#vii	o	7						o7	1	1	9, 6, 3, 0		9	9	0.0	8.0	0.0	0.0	1.75	0.0
19	18	1/2	1/2	4/4	2	1	iv6(+6)					e	i		iv6(+6)		iv		6	+6					m	1	1	0, 4, 3	6	3	0	0.0	3.0	0.0	0.0	0.375	0.0
19	18	3/4	3/4	4/4	2	1	iv6					e	i		iv6		iv		6						m	1	1	0, 4, 3		3	0	0.0	8.0	0.0	0.0	1.25	0.0
20	19	0	0	4/4	2	1	V7(9)					e	i		V7(9)		V		7	9					Mm7	1	1	5, 9, 6, 3	0	5	5	2.0	8.0	0.2	0.25	1.25	0.16666666666666666
20	19	3/8	3/8	4/4	2	1	V7					e	i		V7		V		7						Mm7	1	1	5, 9, 6, 3		5	5	0.0	7.0	0.0	0.0	0.875	0.0
20	19	5/8	5/8	4/4	2	1	ii%7					e	i		ii%7		ii	%	7						%7	1	1	6, 3, 0, 4		6	6	2.0	16.0	0.1111111111111111	0.25	2.0	0.1111111111111111
21	20	0	0	4/4	2	1	V7(9+6)					e	i		V7(9+6)		V		7	9+6					Mm7	1	1	5, 9, 6, 3	0, 1	5	5	8.0	72.0	0.1	1.5	13.5	0.1
25	24	0	0	4/4	2	1	#viio7|HC}					e	i		#viio7		#vii	o	7				HC	}	o7	1	1	9, 6, 3, 0		9	9	0.0	4.0	0.0	0.0	2.25	0.0
27	25	0	3/4	4/4	2	1	bi.Ger6{					e	bi		Ger6	Ger	vii	o	65	b3	V			{	Ger	1	1	-7, -3, -6, 3		3	-7	0.0	5.0	0.0	0.0	1.25	0.0
28	26	0	0	4/4	2	1	V(64)					e	bi		V(64)		V			64					M	1	1	-2, -3, -6		-2	-2	0.0	6.0	0.0	0.0	2.75	0.0
28	26	1/2	1/2	4/4	2	1	#viio43(4)					e	bi		#viio43(4)		#vii	o	43	4					o7	1	1	-4, -7, 2, -6		2	-4	0.0	4.0	0.0	0.0	2.0	0.0
28	26	3/4	3/4	4/4	2	1	#viio43					e	bi		#viio43		#vii	o	43						o7	1	1	-4, -7, 2, -1		2	-4	0.0	1.0	0.0	0.0	0.25	0.0
29	27	0	0	4/4	2	1	i6(9#7)					e	bi		i6(9#7)		i		6	9#7					m	1	1	-6, -2, 2	-1	-3	-6	0.0	6.0	0.0	0.0	6.0	0.0
30	28	0	0	4/4	2	1	i6					e	bi		i6		i		6						m	1	1	-6, -2, -3		-3	-6	0.0	5.0	0.0	0.0	1.25	0.0
30	28	3/4	3/4	4/4	2	1	iv.Ger6					e	iv		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-1, 3, 0, 9		9	-1	0.0	5.0	0.0	0.0	1.25	0.0
31	29	0	0	4/4	2	1	V(64)					e	iv		V(64)		V			64					M	1	1	4, 3, 0		4	4	0.0	6.0	0.0	0.0	2.75	0.0
31	29	1/2	1/2	4/4	2	1	#viio43(4)					e	iv		#viio43(4)		#vii	o	43	4					o7	1	1	2, -1, 8, 0		8	2	0.0	4.0	0.0	0.0	2.0	0.0
31	29	3/4	3/4	4/4	2	1	#viio43					e	iv		#viio43		#vii	o	43						o7	1	1	2, -1, 8, 5		8	2	0.0	1.0	0.0	0.0	0.25	0.0
32	30	0	0	4/4	2	1	i6(9#7)					e	iv		i6(9#7)		i		6	9#7					m	1	1	0, 4, 8	5	3	0	0.0	6.0	0.0	0.0	6.0	0.0
33	31	0	0	4/4	2	1	i6					e	iv		i6		i		6						m	1	1	0, 4, 3		3	0	0.0	5.0	0.0	0.0	1.25	0.0
33	31	3/4	3/4	4/4	2	1	i.iv6					e	i		iv6		iv		6						m	1	1	0, 4, 3		3	0	0.0	5.0	0.0	0.0	1.25	0.0
34	32	0	0	4/4	2	1	V7(94)					e	i		V7(94)		V		7	94					Mm7	1	1	5, 4, 6, 3	0	5	5	0.0	6.0	0.0	0.0	6.0	0.0
35	33	0	0	4/4	2	1	V7(9)|HC}					e	i		V7(9)		V		7	9			HC	}	Mm7	1	1	5, 9, 6, 3	0	5	5	0.0	6.0	0.0	0.0	1.5	0.0
36	34	0	0	4/4	2	1	i{					e	i		i		i							{	m	1	1	4, 1, 5		4	4	0.0	2.0	0.0	0.0	0.375	0.0
36	34	1/8	1/8	4/4	2	1	ii%7(9)					e	i		ii%7(9)		ii	%	7	9					%7	1	1	6, 3, 0, 4	1	6	6	0.0	9.0	0.0	0.0	1.25	0.0
36	34	3/8	3/8	4/4	2	1	iv43					e	i		iv43		iv		43						mm7	1	1	4, 1, 3, 0		3	4	1.0	5.0	0.16666666666666666	0.125	0.625	0.16666666666666666
36	34	5/8	5/8	4/4	2	1	iv65					e	i		iv65		iv		65						mm7	1	1	0, 4, 1, 3		3	0	1.0	9.0	0.1	0.125	1.125	0.1
36	34	7/8	7/8	4/4	2	1	iv7					e	i		iv7		iv		7						mm7	1	1	3, 0, 4, 1		3	3	0.0	5.0	0.0	0.0	0.625	0.0
37	35	0	0	4/4	2	1	Ger6					e	i		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	0, 4, 1, 10		10	0	0.0	4.0	0.0	0.0	0.625	0.0
37	35	1/4	1/4	4/4	2	1	V(#764)					e	i		V(#764)		V			#764					M	1	1	5, 4, 1	10	5	5	0.0	4.0	0.0	0.0	0.875	0.0
37	35	3/8	3/8	4/4	2	1	V(64)					e	i		V(64)		V			64					M	1	1	5, 4, 1		5	5	0.0	13.0	0.0	0.0	1.75	0.0
38	36	0	0	4/4	2	1	iii.iv6					e	iii		iv6		iv		6						m	1	1	-3, 1, 0		0	-3	1.0	8.0	0.1111111111111111	0.1875	1.5	0.1111111111111111
38	36	3/8	3/8	4/4	2	1	iv					e	iii		iv		iv								m	1	1	0, -3, 1		0	0	0.0	4.0	0.0	0.0	0.4375	0.0
38	36	1/2	1/2	4/4	2	1	V(64)					e	iii		V(64)		V			64					M	1	1	2, 1, -2		2	2	0.0	5.0	0.0	0.0	0.75	0.0
38	36	3/4	3/4	4/4	2	1	V43					e	iii		V43		V		43						Mm7	1	1	3, 0, 2, 6		2	3	0.0	4.0	0.0	0.0	0.625	0.0
39	37	0	0	4/4	2	1	i(#7)					e	iii		i(#7)		i			#7					m	1	1	1, -2, 2	6	1	1	0.0	7.0	0.0	0.0	1.25	0.0
39	37	3/8	3/8	4/4	2	1	i|PAC}					e	iii		i		i						PAC	}	m	1	1	1, -2, 2		1	1	0.0	10.0	0.0	0.0	1.625	0.0
40	38	0	0	4/4	2	1	i6{					e	iii		i6		i		6					{	m	1	1	-2, 2, 1		1	-2	0.0	1.0	0.0	0.0	0.125	0.0
40	38	1/8	1/8	4/4	2	1	ii%7(9)					e	iii		ii%7(9)		ii	%	7	9					%7	1	1	3, 0, -3, 1	-2	3	3	0.0	9.0	0.0	0.0	1.25	0.0
40	38	3/8	3/8	4/4	2	1	iv43					e	iii		iv43		iv		43						mm7	1	1	1, -2, 0, -3		0	1	1.0	5.0	0.16666666666666666	0.125	0.625	0.16666666666666666
40	38	5/8	5/8	4/4	2	1	iv65					e	iii		iv65		iv		65						mm7	1	1	-3, 1, -2, 0		0	-3	1.0	9.0	0.1	0.125	1.125	0.1
40	38	7/8	7/8	4/4	2	1	iv7					e	iii		iv7		iv		7						mm7	1	1	0, -3, 1, -2		0	0	0.0	5.0	0.0	0.0	0.625	0.0
41	39	0	0	4/4	2	1	Ger6					e	iii		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-3, 1, -2, 7		7	-3	0.0	4.0	0.0	0.0	0.625	0.0
41	39	1/4	1/4	4/4	2	1	V(#764)					e	iii		V(#764)		V			#764					M	1	1	2, 1, -2	7	2	2	0.0	4.0	0.0	0.0	0.875	0.0
41	39	3/8	3/8	4/4	2	1	V(64)					e	iii		V(64)		V			64					M	1	1	2, 1, -2		2	2	0.0	13.0	0.0	0.0	1.75	0.0
42	40	0	0	4/4	2	1	bv.iv6					e	bv		iv6		iv		6						m	1	1	-6, -2, -3		-3	-6	1.0	8.0	0.1111111111111111	0.1875	1.5	0.1111111111111111
42	40	3/8	3/8	4/4	2	1	iv					e	bv		iv		iv								m	1	1	-3, -6, -2		-3	-3	0.0	4.0	0.0	0.0	0.4375	0.0
42	40	1/2	1/2	4/4	2	1	V(64)					e	bv		V(64)		V			64					M	1	1	-1, -2, -5		-1	-1	0.0	4.0	0.0	0.0	0.625	0.0
42	40	3/4	3/4	4/4	2	1	V43					e	bv		V43		V		43						Mm7	1	1	0, -3, -1, 3		-1	0	0.0	4.0	0.0	0.0	0.625	0.0
43	41	0	0	4/4	2	1	i|IAC}					e	bv		i		i						IAC	}	m	1	1	-2, -5, -1		-2	-2	0.0	14.0	0.0	0.0	2.75	0.0
44	41	0	3/4	4/4	2	1	viio/V					e	bv		viio/V		vii	o			V				o	1	1	4, 1, -2		4	4	0.0	1.0	0.0	0.0	0.25	0.0
45	42	0	0	4/4	2	1	i6{					e	bv		i6		i		6					{	m	1	1	-5, -1, -2		-2	-5	0.0	3.0	0.0	0.0	0.75	0.0
45	42	1/4	1/4	4/4	2	1	i6(#7)					e	bv		i6(#7)		i		6	#7					m	1	1	-5, -1, 3		-2	-5	0.0	5.0	0.0	0.0	0.75	0.0
45	42	1/2	1/2	4/4	2	1	i6					e	bv		i6		i		6						m	1	1	-5, -1, -2		-2	-5	0.0	10.0	0.0	0.0	1.75	0.0
46	43	0	0	4/4	2	1	#viio65(b8)					e	bv		#viio65(b8)		#vii	o	65	b8					o7	1	1	0, -3, -6, 3		3	0	1.0	9.0	0.1	0.5	1.125	0.3076923076923077
46	43	1/2	1/2	4/4	2	1	#viio65					e	bv		#viio65		#vii	o	65						o7	1	1	0, -3, -6, 3		3	0	0.0	4.0	0.0	0.0	1.125	0.0
46	43	7/8	7/8	4/4	2	1	V					e	bv		V		V								M	1	1	-1, 3, 0		-1	-1	0.0	1.0	0.0	0.0	0.125	0.0
47	44	0	0	4/4	2	1	i6					e	bv		i6		i		6						m	1	1	-5, -1, -2		-2	-5	0.0	3.0	0.0	0.0	0.75	0.0
47	44	1/4	1/4	4/4	2	1	i6(#7)					e	bv		i6(#7)		i		6	#7					m	1	1	-5, -1, 3		-2	-5	0.0	5.0	0.0	0.0	0.75	0.0
47	44	1/2	1/2	4/4	2	1	i6					e	bv		i6		i		6						m	1	1	-5, -1, -2		-2	-5	2.0	10.0	0.16666666666666666	0.25	1.375	0.15384615384615385
48	45	0	0	4/4	2	1	#viio65(b8)					e	bv		#viio65(b8)		#vii	o	65	b8					o7	1	1	0, -3, -6, 3		3	0	1.0	9.0	0.1	0.5	1.125	0.3076923076923077
48	45	1/2	1/2	4/4	2	1	#viio65(#7)					e	bv		#viio65(#7)		#vii	o	65	#7					o7	1	1	0, -3, -6, 1		3	0	1.0	3.0	0.25	0.25	0.75	0.25
48	45	3/4	3/4	4/4	2	1	#viio65					e	bv		#viio65		#vii	o	65						o7	1	1	0, -3, -6, 3		3	0	1.0	0.0	1.0	0.25	0.0	1.0
49	46	0	0	4/4	2	1	i.V(64)					e	i		V(64)		V			64					M	1	1	5, 4, 1		5	5	0.0	5.0	0.0	0.0	1.375	0.0
49	46	1/4	1/4	4/4	2	1	V(6+4)					e	i		V(6+4)		V			6+4					M	1	1	5, 9, 1	4	5	5	0.0	7.0	0.0	0.0	1.0	0.0
49	46	1/2	1/2	4/4	2	1	V(64)					e	i		V(64)		V			64					M	1	1	5, 4, 1		5	5	0.0	14.0	0.0	0.0	2.5	0.0
50	47	0	0	4/4	2	1	#viio43(b8)					e	i		#viio43(b8)		#vii	o	43	b8					o7	1	1	3, 0, 9, 6		9	3	2.0	9.0	0.18181818181818182	1.0	1.125	0.47058823529411764
50	47	1/2	1/2	4/4	2	1	#viio43					e	i		#viio43		#vii	o	43						o7	1	1	3, 0, 9, 6		9	3	0.0	5.0	0.0	0.0	1.5	0.0
50	47	7/8	7/8	4/4	2	1	V					e	i		V		V								M	1	1	5, 9, 6		5	5	0.0	2.0	0.0	0.0	0.25	0.0
51	48	0	0	4/4	2	1	i6(9#7)					e	i		i6(9#7)		i		6	9#7					m	1	1	1, 5, 9	6	4	1	0.0	12.0	0.0	0.0	2.375	0.0
51	48	1/2	1/2	4/4	2	1	i6					e	i		i6		i		6						m	1	1	1, 5, 4		4	1	4.0	12.0	0.25	0.5	1.625	0.23529411764705882
52	49	0	0	4/4	2	1	ii%7(6)					e	i		ii%7(6)		ii	%	7	6					%7	1	1	6, 3, 2, 4		6	6	0.0	11.0	0.0	0.0	2.125	0.0
52	49	1/2	1/2	4/4	2	1	ii7					e	i		ii7		ii		7						mm7	1	1	6, 3, 7, 4		6	6	0.0	5.0	0.0	0.0	1.25	0.0
52	49	3/4	3/4	4/4	2	1	ii%7					e	i		ii%7		ii	%	7						%7	1	1	6, 3, 0, 4		6	6	0.0	2.0	0.0	0.0	0.5	0.0
53	50	0	0	4/4	2	1	Fr6(2)					e	i		Fr6(2)	Fr	V		43	b52	V				Fr	1	1	0, 4, 8, 10		6	0	3.0	2.0	0.6	0.625	0.25	0.7142857142857143
53	50	1/4	1/4	4/4	2	1	Fr6					e	i		Fr6	Fr	V		43	b5	V				Fr	1	1	0, 4, 6, 10		6	0	0.0	8.0	0.0	0.0	1.25	0.0
53	50	1/2	1/2	4/4	2	1	ii%43					e	i		ii%43		ii	%	43						%7	1	1	0, 4, 6, 3		6	0	2.0	5.0	0.2857142857142857	0.5	1.25	0.2857142857142857
54	51	0	0	4/4	2	1	bV.I64					e	bV		I64		I		64						M	1	0	-1, -2, 2		-2	-1	7.0	4.0	0.6363636363636364	3.5	1.5	0.7
55	52	0	0	4/4	2	1	IV					e	bV		IV		IV								M	1	0	-3, 1, -2		-3	-3	3.0	1.0	0.75	1.375	0.25	0.8461538461538461
55	52	1/4	1/4	4/4	2	1	iio					e	bV		iio		ii	o							o	1	0	0, -3, -6		0	0	2.0	0.0	1.0	0.375	0.0	1.0
55	52	1/2	1/2	4/4	2	1	V7					e	bV		V7		V		7						Mm7	1	0	-1, 3, 0, -3		-1	-1	3.0	2.0	0.6	0.75	0.25	0.75
56	53	0	0	4/4	2	1	I64					e	bV		I64		I		64						M	1	0	-1, -2, 2		-2	-1	7.0	4.0	0.6363636363636364	3.5	1.5	0.7
57	54	0	0	4/4	2	1	IV					e	bV		IV		IV								M	1	0	-3, 1, -2		-3	-3	3.0	1.0	0.75	1.375	0.25	0.8461538461538461
57	54	1/4	1/4	4/4	2	1	iio					e	bV		iio		ii	o							o	1	0	0, -3, -6		0	0	2.0	0.0	1.0	0.375	0.0	1.0
57	54	1/2	1/2	4/4	2	1	V7					e	bV		V7		V		7						Mm7	1	0	-1, 3, 0, -3		-1	-1	3.0	2.0	0.6	0.75	0.25	0.75
58	55	0	0	4/4	2	1	V.I64					e	V		I64		I		64						M	1	0	6, 5, 9		5	6	8.0	9.0	0.47058823529411764	1.25	3.75	0.25
59	56	0	0	4/4	2	1	viio65(#74)					e	V		viio65(#74)		vii	o	65	#74					o7	1	0	9, 4, 1, 8		10	9	1.0	3.0	0.25	1.0	1.5	0.4
59	56	1/4	1/4	4/4	2	1	viio65					e	V		viio65		vii	o	65						o7	1	0	7, 4, 1, 10		10	7	0.0	2.0	0.0	0.0	0.375	0.0
59	56	1/2	1/2	4/4	2	1	V7					e	V		V7		V		7						Mm7	1	0	6, 10, 7, 4		6	6	2.0	3.0	0.4	0.25	0.75	0.25
60	57	0	0	4/4	2	1	I64					e	V		I64		I		64						M	1	0	6, 5, 9		5	6	8.0	9.0	0.47058823529411764	1.25	3.75	0.25
61	58	0	0	4/4	2	1	viio65(#74)					e	V		viio65(#74)		vii	o	65	#74					o7	1	0	9, 4, 1, 8		10	9	1.0	3.0	0.25	1.0	1.5	0.4
61	58	1/4	1/4	4/4	2	1	viio65					e	V		viio65		vii	o	65						o7	1	0	7, 4, 1, 10		10	7	0.0	2.0	0.0	0.0	0.375	0.0
61	58	1/2	1/2	4/4	2	1	V7|HC}					e	V		V7		V		7				HC	}	Mm7	1	0	6, 10, 7, 4		6	6	2.0	3.0	0.4	0.25	0.75	0.25
62	59	3/4	3/4	4/4	2	1	bv.Ger6					e	bv		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-6, -2, -5, 4		4	-6	0.0	4.0	0.0	0.0	1.0	0.0
63	60	0	0	4/4	2	1	V(64)					e	bv		V(64)		V			64					M	1	1	-1, -2, -5		-1	-1	0.0	5.0	0.0	0.0	2.25	0.0
63	60	1/2	1/2	4/4	2	1	#viio43(4)					e	bv		#viio43(4)		#vii	o	43	4					o7	1	1	-3, -6, 3, -5		3	-3	0.0	4.0	0.0	0.0	2.0	0.0
63	60	3/4	3/4	4/4	2	1	#viio43					e	bv		#viio43		#vii	o	43						o7	1	1	-3, -6, 3, 0		3	-3	0.0	1.0	0.0	0.0	0.25	0.0
64	61	0	0	4/4	2	1	i6(9#7)					e	bv		i6(9#7)		i		6	9#7					m	1	1	-5, -1, 3	0	-2	-5	0.0	5.0	0.0	0.0	5.0	0.0
65	62	0	0	4/4	2	1	i6					e	bv		i6		i		6						m	1	1	-5, -1, -2		-2	-5	0.0	4.0	0.0	0.0	1.0	0.0
65	62	3/4	3/4	4/4	2	1	bii.Ger6	-5.90909	-9.45455	/		e	bii		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-5, -1, -4, 5		5	-5	0.0	5.0	0.0	0.0	1.25	0.0
66	63	0	0	4/4	2	1	V(64)					e	bii		V(64)		V			64					M	1	1	0, -1, -4		0	0	0.0	6.0	0.0	0.0	2.75	0.0
66	63	1/2	1/2	4/4	2	1	#viio43(4)					e	bii		#viio43(4)		#vii	o	43	4					o7	1	1	-2, -5, 4, -4		4	-2	0.0	4.0	0.0	0.0	2.0	0.0
66	63	3/4	3/4	4/4	2	1	#viio43					e	bii		#viio43		#vii	o	43						o7	1	1	-2, -5, 4, 1		4	-2	0.0	1.0	0.0	0.0	0.25	0.0
