mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	e.i6{					e	i		i6		i		6					{	m	1	1	1, 5, 4		4	1	0.0	1.0	0.0	0.0	0.125	0.0
1	1	1/8	1/8	4/4	2	1	ii%7(9)					e	i		ii%7(9)		ii	%	7	9					%7	1	1	6, 3, 0, 4	1	6	6	0.0	9.0	0.0	0.0	1.25	0.0
1	1	3/8	3/8	4/4	2	1	iv43					e	i		iv43		iv		43						mm7	1	1	4, 1, 3, 0		3	4	1.0	5.0	0.16666666666666666	0.125	0.625	0.16666666666666666
1	1	5/8	5/8	4/4	2	1	iv65					e	i		iv65		iv		65						mm7	1	1	0, 4, 1, 3		3	0	1.0	9.0	0.1	0.125	1.125	0.1
1	1	7/8	7/8	4/4	2	1	iv7					e	i		iv7		iv		7						mm7	1	1	3, 0, 4, 1		3	3	0.0	5.0	0.0	0.0	0.625	0.0
2	2	0	0	4/4	2	1	Ger6					e	i		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	0, 4, 1, 10		10	0	0.0	4.0	0.0	0.0	0.625	0.0
2	2	1/4	1/4	4/4	2	1	V(#764)					e	i		V(#764)		V			#764					M	1	1	5, 4, 1	10	5	5	0.0	4.0	0.0	0.0	0.875	0.0
2	2	3/8	3/8	4/4	2	1	V(64)					e	i		V(64)		V			64					M	1	1	5, 4, 1		5	5	0.0	13.0	0.0	0.0	1.75	0.0
3	3	0	0	4/4	2	1	iii.iv6					e	iii		iv6		iv		6						m	1	1	-3, 1, 0		0	-3	1.0	7.0	0.125	0.1875	1.0	0.15789473684210525
3	3	3/8	3/8	4/4	2	1	iv	3.5945	6.29553	/		e	iii		iv		iv								m	1	1	0, -3, 1		0	0	0.0	4.0	0.0	0.0	0.4375	0.0
3	3	1/2	1/2	4/4	2	1	i6					e	iii		i6		i		6						m	1	1	-2, 2, 1		1	-2	0.0	4.0	0.0	0.0	0.625	0.0
3	3	3/4	3/4	4/4	2	1	V43					e	iii		V43		V		43						Mm7	1	1	3, 0, 2, 6		2	3	0.0	4.0	0.0	0.0	0.625	0.0
4	4	0	0	4/4	2	1	i(#7)					e	iii		i(#7)		i			#7					m	1	1	1, -2, 2	6	1	1	0.0	7.0	0.0	0.0	1.25	0.0
4	4	3/8	3/8	4/4	2	1	i|PAC}					e	iii		i		i						PAC	}	m	1	1	1, -2, 2		1	1	0.0	10.0	0.0	0.0	1.625	0.0
