mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	1/8	1/8	6/8	4	1	F#.bIII6{	v(b6){	F#	I		bIII6		bIII		6					{	M	0	0	7, 4, 3		3.0	7.0	0	48	0.0	0.0	5.0	0.0
5	5	3/8	3/8	6/8	4	1	V(b6)	V+	F#	I		V(b6)		V			b6					M	0	0	7, 11, 3		7.0	7.0	0	46	0.0	0.0	4.75	0.0
9	9	3/8	3/8	6/8	4	1	V(64)|HC}		F#	I		V(64)		V			64			HC	}	M	0	0	7, 6, 10		7.0	7.0	2	59	0.03278688524590164	0.25	5.875	0.04081632653061224
18	18	0	0	6/8	4	1	I[I		F#	I	I	I		I								M	0	0	6, 10, 7		6.0	6.0	2	12	0.14285714285714285	0.25	2.0	0.1111111111111111
19	19	0	0	6/8	4	1	I(134)		F#	I		I(134)		I			134					M	0	0	6, 5, 7	9	6.0	6.0	0	3	0.0	0.0	0.625	0.0
19	19	1/4	1/4	6/8	4	1	I		F#	I		I		I								M	0	0	6, 10, 7		6.0	6.0	2	8	0.2	0.25	1.0	0.2
20	20	0	0	6/8	4	1	V7		F#	I		V7		V		7						Mm7	0	0	7, 11, 8, 5		7.0	7.0	5	13	0.2777777777777778	0.625	1.625	0.2777777777777778
21	21	0	0	6/8	4	1	I(7#2)		F#	I		I(7#2)		I			7#2					M	0	0	6, 15, 7	11	6.0	6.0	0	3	0.0	0.0	0.625	0.0
21	21	1/4	1/4	6/8	4	1	I		F#	I		I		I								M	0	0	6, 10, 7		6.0	6.0	4	20	0.16666666666666666	0.5	3.0	0.14285714285714285
23	23	0	0	6/8	4	1	I(134)		F#	I		I(134)		I			134					M	0	0	6, 5, 7	9	6.0	6.0	0	3	0.0	0.0	0.625	0.0
23	23	1/4	1/4	6/8	4	1	I		F#	I		I		I								M	0	0	6, 10, 7		6.0	6.0	2	8	0.2	0.25	1.0	0.2
24	24	0	0	6/8	4	1	V7		F#	I		V7		V		7						Mm7	0	0	7, 11, 8, 5		7.0	7.0	5	13	0.2777777777777778	0.625	1.625	0.2777777777777778
25	25	0	0	6/8	4	1	I|IAC}		F#	I		I		I						IAC	}	M	0	0	6, 10, 7		6.0	6.0	6	29	0.17142857142857143	0.75	4.625	0.13953488372093023
27	27	0	0	6/8	4	1	I(134)		F#	I		I(134)		I			134					M	0	0	6, 5, 7	9	6.0	6.0	0	5	0.0	0.0	1.0	0.0
27	27	1/4	1/4	6/8	4	1	I		F#	I		I		I								M	0	0	6, 10, 7		6.0	6.0	3	14	0.17647058823529413	0.375	1.75	0.17647058823529413
28	28	0	0	6/8	4	1	V7		F#	I		V7		V		7						Mm7	0	0	7, 11, 8, 5		7.0	7.0	11	22	0.3333333333333333	0.90625	2.46875	0.26851851851851855
29	29	0	0	6/8	4	1	I(7#2)		F#	I		I(7#2)		I			7#2					M	0	0	6, 15, 7	11	6.0	6.0	0	5	0.0	0.0	1.0	0.0
